team,spread,o/u,season_year,week
NO,-8.5,53.0,2013,12
TEN,1.0,41.0,2013,12
NYJ,3.5,39.5,2013,12
CHI,1.0,45.5,2013,12
PIT,1.0,40.5,2013,12
JAC,10.0,43.5,2013,12
TB,9.0,48.5,2013,12
SD,4.5,41.5,2013,12
CAR,-4.0,41.0,2013,12
MIN,4.0,43.5,2013,12
DEN,-2.5,54.0,2013,12
IND,1.0,45.0,2013,12
DAL,3.0,44.0,2013,12
SF,-4.0,47.0,2013,12
OAK,9.5,46.5,2013,13
PIT,3.0,40.5,2013,13
GB,6.0,49.5,2013,13
TEN,4.0,44.5,2013,13
TB,8.0,41.5,2013,13
ARI,3.5,49.0,2013,13
MIA,1.0,38.5,2013,13
ATL,3.5,46.0,2013,13
CIN,0.0,48.0,2013,13
JAC,7.0,40.5,2013,13
DEN,-3.0,49.0,2013,13
CHI,1.0,48.5,2013,13
NE,-7.0,49.5,2013,13
STL,9.5,43.0,2013,13
NYG,-1.5,46.0,2013,13
NO,6.0,46.5,2013,13
HOU,-3.0,43.5,2013,14
NYG,3.0,47.5,2013,14
KC,-3.0,45.0,2013,14
MIN,7.0,43.0,2013,14
OAK,3.0,40.5,2013,14
IND,6.0,44.5,2013,14
DET,2.5,54.0,2013,14
MIA,3.0,41.5,2013,14
BUF,3.0,43.0,2013,14
TEN,12.0,50.0,2013,14
STL,7.0,42.5,2013,14
SEA,2.5,41.0,2013,14
CAR,3.0,45.5,2013,14
CLE,11.0,46.0,2013,14
ATL,3.5,44.5,2013,14
DAL,1.0,49.0,2013,14
SD,10.5,54.0,2013,15
WAS,4.5,51.0,2013,15
SF,-4.5,42.0,2013,15
ARI,-3.0,42.0,2013,15
SEA,-7.0,41.5,2013,15
HOU,6.0,46.0,2013,15
BUF,-2.5,44.0,2013,15
NE,-2.5,46.0,2013,15
PHI,-4.0,52.0,2013,15
KC,-3.5,41.0,2013,15
CIN,-3.0,40.5,2013,15
NO,-5.5,47.0,2013,15
NYJ,11.0,41.0,2013,15
CHI,-2.0,44.5,2013,15
GB,7.0,48.0,2013,15
BAL,6.0,48.0,2013,15
MIA,-2.5,43.0,2013,16
NO,3.0,46.5,2013,16
TB,6.0,42.5,2013,16
CHI,3.0,56.0,2013,16
CLE,1.5,40.5,2013,16
DEN,-10.0,52.0,2013,16
TEN,-5.5,44.0,2013,16
ARI,10.0,43.5,2013,16
OAK,10.0,50.5,2013,16
IND,6.5,44.0,2013,16
DAL,-3.0,53.0,2013,16
MIN,7.5,48.0,2013,16
NYG,9.5,49.0,2013,16
NE,2.5,45.0,2013,16
PIT,3.0,45.0,2013,16
ATL,12.0,45.0,2013,16
HOU,7.0,44.0,2013,17
CLE,7.0,44.0,2013,17
WAS,3.5,46.0,2013,17
BAL,6.0,44.5,2013,17
NYJ,6.5,41.0,2013,17
DET,3.0,52.0,2013,17
BUF,8.5,47.0,2013,17
TB,12.5,47.0,2013,17
DEN,-12.0,53.5,2013,17
STL,10.0,43.0,2013,17
PHI,-2.5,56.0,2013,17
JAC,11.5,45.5,2013,17
KC,9.5,45.0,2013,17
SF,-1.5,43.0,2013,17
CAR,-7.0,45.5,2013,17
GB,-3.0,53.0,2013,17
DEN,-7.0,48.0,2013,1
BUF,7.0,53.0,2013,1
PIT,-6.5,43.5,2013,1
NO,-3.0,54.0,2013,1
NYJ,2.0,41.0,2013,1
