team,spread,o/u,season_year,week
MIN,5.0,49.0,2010,1
CAR,6.0,41.0,2010,1
MIA,-3.0,39.0,2010,1
ATL,-1.0,39.0,2010,1
DET,6.5,44.5,2010,1
CIN,5.5,45.0,2010,1
CLE,3.0,37.0,2010,1
DEN,3.0,41.0,2010,1
IND,-1.0,48.0,2010,1
OAK,6.5,40.0,2010,1
GB,-3.0,48.0,2010,1
SF,-3.0,37.0,2010,1
ARI,-3.5,39.5,2010,1
DAL,-3.5,40.0,2010,1
BAL,1.0,36.0,2010,1
SD,-4.0,45.5,2010,1
BUF,12.5,43.0,2010,2
PIT,6.0,37.0,2010,2
ARI,7.0,43.0,2010,2
MIA,5.5,41.0,2010,2
STL,3.5,37.5,2010,2
SEA,3.5,41.5,2010,2
NYG,4.0,47.5,2010,2
PHI,-6.5,41.0,2010,2
CHI,7.5,41.0,2010,2
HOU,-2.5,43.0,2010,2
KC,3.0,38.0,2010,2
BAL,-3.0,39.0,2010,2
JAC,7.0,45.0,2010,2
NE,-3.0,39.5,2010,2
TB,4.0,38.0,2010,2
NO,-4.5,44.0,2010,2
BUF,14.5,42.5,2010,3
CLE,12.0,36.5,2010,3
PIT,-2.5,33.0,2010,3
CIN,-3.0,37.5,2010,3
DET,13.0,43.0,2010,3
DAL,2.5,47.5,2010,3
WAS,-4.5,39.0,2010,3
PHI,-3.0,45.0,2010,3
SD,-4.0,44.0,2010,3
OAK,5.0,39.0,2010,3
NYJ,2.0,35.5,2010,3
TEN,3.0,43.0,2010,3
IND,-5.5,47.0,2010,3
ATL,3.5,49.5,2010,3
SF,-2.5,37.5,2010,3
GB,-3.0,45.5,2010,3
DEN,6.5,43.5,2010,4
BAL,2.5,34.0,2010,4
CIN,-2.5,37.0,2010,4
CAR,12.5,43.5,2010,4
SF,7.0,42.5,2010,4
IND,-7.0,45.5,2010,4
HOU,-3.0,43.5,2010,4
ARI,10.0,47.0,2010,4
WAS,5.0,44.0,2010,4
SEA,-2.0,40.0,2010,4
NYJ,-6.0,36.0,2010,4
DET,14.5,46.0,2010,4
CHI,3.5,43.5,2010,4
NE,-1.0,48.0,2010,4
DEN,9.0,39.0,2010,5
JAC,2.0,41.0,2010,5
KC,7.5,46.0,2010,5
STL,3.0,43.5,2010,5
ATL,-3.0,41.5,2010,5
TB,7.0,38.5,2010,5
GB,-3.0,45.0,2010,5
NO,-7.0,45.5,2010,5
SD,-7.0,44.5,2010,5
TEN,7.0,43.0,2010,5
NYG,3.0,48.5,2010,5
CHI,3.0,33.5,2010,5
PHI,3.5,39.5,2010,5
MIN,4.5,38.0,2010,5
SD,-8.5,44.5,2010,6
KC,4.5,45.5,2010,6
BAL,3.0,44.5,2010,6
NO,-5.5,44.0,2010,6
CLE,14.0,37.0,2010,6
IND,-3.0,44.5,2010,6
DET,10.0,45.5,2010,6
OAK,9.0,41.0,2010,6
NYJ,-3.5,43.0,2010,6
DAL,1.5,43.5,2010,6
ATL,2.0,43.0,2010,6
SEA,6.0,37.5,2010,6
MIA,3.5,43.5,2010,6
TEN,-3.0,43.5,2010,6
PIT,-3.0,40.5,2010,7
CIN,3.5,42.5,2010,7
CLE,12.5,44.0,2010,7
BUF,12.5,39.5,2010,7
SF,-2.5,36.0,2010,7
STL,3.0,39.0,2010,7
ARI,6.5,40.5,2010,7
NE,3.0,49.0,2010,7
MIN,3.0,44.0,2010,7
WAS,3.0,39.5,2010,7
PHI,3.0,41.5,2010,7
OAK,7.0,43.0,2010,7
