season_year,season_type,week,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds.1,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block,team_score,opp_score,opp_team,h/a,DK points
2016,Preseason,1,SD,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0,10,27,TEN,0,5.0
2016,Regular,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,35,39,DET,1,-3.0
2016,Preseason,1,CIN,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0,16,17,MIN,1,10.0
2016,Preseason,1,DET,3,0,1,0,0,1,0,0,0,0,0,0,0,4.0,0,30,17,PIT,0,13.0
2016,Regular,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,19,DAL,0,1.0
2016,Regular,1,OAK,2,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,35,34,NO,0,2.0
2016,Regular,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,39,35,IND,0,-2.0
2016,Preseason,1,TEN,1,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0,27,10,SD,1,10.0
2016,Preseason,1,ARI,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,10,31,OAK,1,1.0
2016,Regular,1,HOU,1,0,0,0,0,0,0,0,1,0,0,0,0,5.0,0,23,14,CHI,1,8.0
2016,Regular,1,JAC,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,23,27,GB,1,1.0
2016,Regular,1,GB,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,27,23,JAC,0,5.0
2016,Preseason,2,PIT,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,17,PHI,1,4.0
2016,Preseason,2,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,13,24,ATL,1,4.0
2016,Regular,2,SF,2,0,3,0,0,0,0,0,1,0,0,0,0,1.0,1,27,46,CAR,0,7.0
2016,Regular,2,CHI,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,0,14,29,PHI,1,7.0
2016,Preseason,2,KC,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,20,21,UNK,0,3.0
2016,Regular,2,MIN,4,0,2,0,0,0,0,0,1,0,0,0,0,5.0,0,17,14,GB,1,12.0
2016,Regular,2,SD,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,38,14,JAC,1,9.0
2016,Regular,2,HOU,2,0,3,0,0,0,0,0,0,0,0,0,0,4.0,0,19,12,KC,1,14.0
2016,Preseason,2,HOU,2,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,16,9,NO,1,12.0
2016,Preseason,2,GB,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,20,12,OAK,1,8.0
2016,Regular,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,35,28,OAK,0,0.0
2016,Regular,2,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,7,40,ARI,0,-3.0
2016,Regular,2,NO,3,0,3,0,0,0,0,0,0,0,0,0,0,2.0,0,13,16,NYG,0,9.0
2016,Regular,2,MIA,3,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0,24,31,NE,0,3.0
2016,Preseason,2,SF,2,0,2,0,0,0,0,0,2,1,0,0,0,6.0,0,31,24,DEN,0,20.0
2016,Preseason,2,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,14,41,DAL,0,-4.0
2016,Regular,2,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0,16,15,DET,0,7.0
2016,Preseason,2,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0,41,14,MIA,1,6.0
2016,Regular,2,BAL,1,0,0,0,0,0,0,0,2,0,0,0,0,3.0,1,25,20,CLE,0,10.0
2016,Preseason,2,CAR,2,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0,26,16,TEN,0,9.0
2016,Preseason,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,16,26,CAR,1,0.0
2016,Regular,2,DEN,1,0,1,1,0,0,0,0,1,1,0,0,0,5.0,0,34,20,IND,1,22.0
2016,Preseason,2,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,3,19,SD,0,2.0
2016,Preseason,2,DEN,3,0,3,0,0,0,0,0,0,0,0,0,0,1.0,0,24,31,SF,1,6.0
2016,Regular,2,NE,2,0,2,0,0,0,0,0,2,0,0,0,0,0.0,0,31,24,MIA,1,8.0
2016,Regular,2,NYJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,37,31,BUF,0,1.0
2016,Preseason,2,NE,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,23,22,CHI,1,3.0
2016,Regular,2,KC,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0,12,19,HOU,0,7.0
2016,Regular,2,ARI,0,0,1,0,0,0,0,0,4,1,0,0,0,2.0,0,40,7,TB,1,22.0
2016,Regular,2,BUF,2,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0,31,37,NYJ,1,5.0
2016,Preseason,2,WAS,3,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0,22,18,NYJ,1,10.0
2016,Preseason,2,NYG,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0,0,21,BUF,0,7.0
2016,Preseason,2,MIN,0,0,0,0,0,0,0,0,1,1,0,0,0,6.0,0,18,11,SEA,0,18.0
2016,Preseason,2,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,18,19,BAL,1,4.0
2016,Regular,2,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,20,34,DEN,0,2.0
2016,Regular,2,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,3,9,LA,0,7.0
2016,Regular,2,CIN,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0,16,24,PIT,0,5.0
2016,Preseason,2,OAK,0,0,0,0,0,0,0,0,0,0,1,1,0,3.0,0,12,20,GB,0,12.0
2016,Regular,2,JAC,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0,14,38,SD,0,1.0
2016,Preseason,2,UNK,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0,21,20,KC,1,6.0
2016,Regular,2,LA,2,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0,9,3,SEA,1,13.0
