Unnamed: 0,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
279,2016,Preseason,2,OAK,Johnny Holton,WR,2,2,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,12,20,GB,0,0,1.0,0.0,12.0,,4.4
280,2016,Preseason,2,OAK,Michael Crabtree,WR,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,20,GB,0,0,1.0,0.0,4.0,,1.4
281,2016,Preseason,2,OAK,Seth Roberts,WR,4,6,0,0,0,5,50,0,0,0,0,0,0,0,0,0,0,12,20,GB,0,0,0.666666666667,0.0,12.5,,9.0
282,2016,Preseason,2,HOU,Braxton Miller,WR,3,4,0,0,0,16,34,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,0.75,0.0,11.3333333333,,6.4
283,2016,Preseason,2,HOU,Cecil Shorts,WR,1,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,0.5,0.0,5.0,,1.5
284,2016,Preseason,2,HOU,DeAndre Hopkins,WR,1,2,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,0.5,0.0,8.0,,1.8
285,2016,Preseason,2,HOU,Jaelen Strong,WR,3,5,0,0,0,8,25,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,0.6,0.0,8.33333333333,,5.5
286,2016,Preseason,2,HOU,Keith Mumphery,WR,2,2,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,0,1.0,0.0,11.0,,4.2
287,2016,Preseason,2,HOU,Will Fuller,WR,4,8,1,0,0,15,73,0,0,0,0,0,0,0,0,0,0,16,9,NO,1,6,0.5,0.375,18.25,,17.3
288,2016,Preseason,2,NO,Brandon Coleman,WR,6,10,0,0,0,18,47,0,0,0,0,0,0,0,0,0,0,9,16,HOU,0,0,0.6,0.0,7.83333333333,,10.7
289,2016,Preseason,2,NO,Jake Lampman,WR,1,3,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,9,16,HOU,0,0,0.333333333333,0.0,19.0,,2.9
290,2016,Preseason,2,NO,Michael Thomas,WR,1,2,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,9,16,HOU,0,0,0.5,0.0,5.0,,1.5
291,2016,Preseason,2,NO,Tommylee Lewis,WR,2,3,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,9,16,HOU,0,0,0.666666666667,0.0,12.5,,4.5
292,2016,Preseason,2,BAL,Chris Moore,WR,3,5,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,19,18,IND,0,0,0.6,0.0,6.66666666667,,5.0
293,2016,Preseason,2,BAL,Jeremy Butler,WR,4,4,1,0,0,4,35,0,0,0,0,0,0,0,0,0,0,19,18,IND,0,6,1.0,0.315789473684,8.75,,13.5
