,season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
41,2016,Preseason,1,CIN,16,MIN,17,CIN,James Wright,WR,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
42,2016,Preseason,1,CIN,16,MIN,17,CIN,Tyler Boyd,WR,1,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
43,2016,Preseason,1,CIN,16,MIN,17,MIN,Adam Thielen,WR,1,1,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0
44,2016,Preseason,1,CIN,16,MIN,17,MIN,Charles Johnson,WR,1,1,1,0,0,2,49,0,0,0,0,0,0,0,0,0,0
45,2016,Preseason,1,CIN,16,MIN,17,MIN,Laquon Treadwell,WR,4,5,0,0,0,37,41,0,0,0,0,0,0,0,0,0,0
46,2016,Preseason,1,CIN,16,MIN,17,MIN,Stefon Diggs,WR,1,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0
47,2016,Preseason,1,GB,17,CLE,11,CLE,Rannell Hall,WR,2,4,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0
48,2016,Preseason,1,GB,17,CLE,11,CLE,Rashard Higgins,WR,1,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
49,2016,Preseason,1,GB,17,CLE,11,CLE,Terrelle Pryor,WR,2,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
50,2016,Preseason,1,GB,17,CLE,11,GB,Geronimo Allison,WR,1,3,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
51,2016,Preseason,1,GB,17,CLE,11,GB,Trevor Davis,WR,2,5,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0
52,2016,Preseason,1,GB,17,CLE,11,GB,Ty Montgomery,WR,1,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
53,2016,Preseason,1,KC,16,SEA,17,KC,De'Anthony Thomas,WR,3,3,0,0,0,19,46,0,0,0,0,0,0,0,0,0,0
54,2016,Preseason,1,KC,16,SEA,17,KC,Jeremy Maclin,WR,1,1,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0
55,2016,Preseason,1,KC,16,SEA,17,KC,Rod Streater,WR,1,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
56,2016,Preseason,1,KC,16,SEA,17,KC,Tyreek Hill,WR,1,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
57,2016,Preseason,1,KC,16,SEA,17,SEA,Doug Baldwin,WR,2,2,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0
58,2016,Preseason,1,KC,16,SEA,17,SEA,Paul Richardson,WR,3,6,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0
59,2016,Preseason,1,KC,16,SEA,17,SEA,Tanner McEvoy,WR,3,6,1,0,0,5,77,0,0,0,0,0,0,0,0,0,0
