Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
10/13/16, Broncos, Chargers,-3,3,44.5
10/16/16, Bengals, Patriots,7,-7,48
10/16/16, Steelers, Dolphins,-7,7,48.5
10/16/16, Jaguars, Bears,2,-2,46.5
10/16/16, 49ers, Bills,7.5,-7.5,45
10/16/16, Rams, Lions,3,-3,44.5
10/16/16, Eagles, Redskins,-3,3,45
10/16/16, Chiefs, Raiders,-2,2,47
10/16/16, Falcons, Seahawks,6.5,-6.5,45
10/16/16, Colts, Texans,3,-3,48
10/16/16, Ravens, Giants,3.5,-3.5,42.5
10/16/16, Browns, Titans,7.5,-7.5,44.5
10/16/16, Cowboys, Packers,5.5,-5.5,47
10/16/16, Panthers, Saints,-3,3,53
10/17/16, Jets, Cardinals,7,-7,45.5
