team,spread,o/u,season_year,week
CLE,13.0,39.5,2009,12
MIA,-3.5,38.5,2009,12
SEA,-3.5,42.5,2009,12
TB,12.5,46.0,2009,12
CAR,3.5,41.0,2009,12
JAC,3.5,42.0,2009,12
KC,13.0,45.0,2009,12
CHI,10.5,47.0,2009,12
WAS,10.0,40.5,2009,12
IND,-3.0,47.5,2009,12
ARI,3.5,44.0,2009,12
PIT,9.0,35.0,2009,12
NE,3.0,56.5,2009,12
NYJ,-3.5,37.0,2009,13
DEN,-5.5,38.5,2009,13
HOU,-1.0,47.0,2009,13
TEN,6.5,46.5,2009,13
DET,13.5,42.0,2009,13
TB,3.5,40.5,2009,13
STL,9.0,41.0,2009,13
SD,-13.5,42.5,2009,13
SF,-1.0,41.0,2009,13
DAL,-1.0,45.5,2009,13
NE,-5.0,46.0,2009,13
PHI,-4.0,43.5,2009,13
NO,-9.0,46.5,2009,13
OAK,15.0,37.0,2009,13
MIN,-3.0,48.0,2009,13
BAL,4.0,43.0,2009,13
PIT,-9.5,34.5,2009,14
DEN,6.5,43.5,2009,14
BUF,-1.0,38.0,2009,14
MIA,1.0,43.5,2009,14
CAR,13.0,43.5,2009,14
SEA,7.0,44.5,2009,14
STL,13.5,41.0,2009,14
WAS,-1.0,37.5,2009,14
SD,3.5,48.5,2009,14
PHI,-1.0,43.0,2009,14
CIN,6.0,42.0,2009,14
GB,-3.5,42.0,2009,14
DET,14.0,40.0,2009,14
NYJ,-3.5,36.0,2009,14
NO,-10.0,50.0,2009,14
ARI,-4.0,44.5,2009,14
IND,-3.0,43.0,2009,15
DAL,9.0,53.5,2009,15
GB,3.0,41.5,2009,15
NE,-7.0,41.5,2009,15
CHI,10.5,39.5,2009,15
CLE,1.0,38.5,2009,15
CIN,7.0,44.0,2009,15
TB,7.0,39.0,2009,15
MIN,-9.0,42.5,2009,15
OAK,14.0,37.0,2009,15
ARI,-14.0,46.5,2009,15
SF,9.0,41.0,2009,15
MIA,5.0,43.0,2009,15
HOU,-14.0,43.0,2009,15
ATL,5.5,36.0,2009,15
NYG,-2.5,44.0,2009,15
SD,1.0,47.5,2009,16
SEA,13.5,43.0,2009,16
KC,13.0,39.0,2009,16
HOU,1.0,46.0,2009,16
TB,13.5,48.0,2009,16
JAC,9.0,44.0,2009,16
BAL,3.0,43.0,2009,16
DEN,7.0,42.5,2009,16
DET,14.0,41.0,2009,16
BUF,9.0,40.0,2009,16
STL,16.0,44.0,2009,16
NYJ,3.5,40.5,2009,16
DAL,-7.0,42.0,2009,16
OAK,3.0,37.0,2009,16
CAR,9.0,42.5,2009,16
MIN,-9.0,41.0,2009,16
JAC,1.5,36.0,2009,17
PHI,3.0,47.0,2009,17
NE,9.0,46.0,2009,17
CIN,9.5,33.5,2009,17
ATL,-2.5,41.5,2009,17
KC,9.5,38.0,2009,17
BAL,-10.0,39.0,2009,17
TEN,-5.5,45.0,2009,17
GB,3.0,41.5,2009,17
WAS,3.5,39.5,2009,17
CHI,-4.0,44.5,2009,17
NYG,9.0,47.5,2009,17
SF,-7.0,39.5,2009,17
PIT,-3.0,45.0,2009,17
IND,9.0,33.0,2009,17
NO,10.0,41.0,2009,17
PIT,-6.0,35.5,2009,1
ATL,-4.0,44.5,2009,1
BAL,-13.0,36.5,2009,1
CAR,3.0,43.5,2009,1
CIN,-4.5,41.0,2009,1
CLE,4.0,39.5,2009,1
IND,-6.0,46.0,2009,1
NO,-14.0,49.5,2009,1
TB,4.5,39.5,2009,1
ARI,-5.0,46.0,2009,1
NYG,-6.5,37.0,2009,1
SEA,-7.0,41.0,2009,1
GB,-4.5,47.0,2009,1
HOU,-4.5,45.0,2009,1
NE,-13.0,47.0,2009,1
OAK,10.0,42.5,2009,1
DET,10.0,45.0,2009,2
TEN,-7.0,41.0,2009,2
ATL,-6.5,43.5,2009,2
WAS,-10.0,37.0,2009,2
JAC,-3.5,44.0,2009,2
SF,-1.0,39.0,2009,2
DEN,-3.5,39.0,2009,2
DAL,-3.0,45.0,2009,2
GB,-9.0,41.5,2009,2
CHI,3.0,38.0,2009,2
KC,-2.5,40.0,2009,2
NYJ,3.5,45.0,2009,2
BUF,-4.0,41.5,2009,2
SD,-1.5,41.0,2009,2
PHI,2.5,46.0,2009,2
MIA,3.0,41.0,2009,2
NYJ,-1.5,36.5,2009,3
HOU,-4.5,47.0,2009,3
BAL,-14.0,38.5,2009,3
DET,6.0,39.5,2009,3
STL,6.0,43.0,2009,3
MIN,-7.0,39.0,2009,3
NE,-4.5,45.5,2009,3
BUF,6.0,51.0,2009,3
CIN,3.5,36.5,2009,3
OAK,2.5,38.0,2009,3
TB,5.5,46.0,2009,3
SEA,1.0,37.5,2009,3
SD,-5.5,45.0,2009,3
ARI,-3.0,49.0,2009,3
PHI,-9.0,39.0,2009,3
DAL,-9.0,48.5,2009,3
HOU,-9.0,42.5,2009,4
JAC,3.0,42.0,2009,4
NE,-1.5,45.0,2009,4
CLE,6.0,37.5,2009,4
KC,9.0,42.5,2009,4
CHI,-9.5,42.5,2009,4
WAS,-9.0,36.5,2009,4
NO,-7.5,47.0,2009,4
PIT,-6.0,43.5,2009,4
MIA,-1.5,37.5,2009,4
SF,-9.0,36.5,2009,4
DEN,3.0,43.0,2009,4
IND,-10.0,44.0,2009,4
MIN,-4.5,46.0,2009,4
CAR,-5.0,38.0,2009,5
