Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
9/4/14, Packers, Seahawks,5,-5,47
9/7/14, Saints, Falcons,-3,3,50.5
9/7/14, Vikings, Rams,3,-3,43.5
9/7/14, Browns, Steelers,6,-6,41.5
9/7/14, Jaguars, Eagles,10,-10,48.5
9/7/14, Raiders, Jets,6.5,-6.5,41
9/7/14, Bengals, Ravens,1,-1,43.5
9/7/14, Bills, Bears,6.5,-6.5,47.5
9/7/14, Redskins, Texans,3,-3,43.5
9/7/14, Titans, Chiefs,3,-3,45
9/7/14, Patriots, Dolphins,-3.5,3.5,47.5
9/7/14, Panthers, Buccaneers,4.5,-4.5,38.5
9/7/14, 49ers, Cowboys,-3.5,3.5,49
9/7/14, Colts, Broncos,8,-8,53.5
9/8/14, Giants, Lions,6,-6,46
9/8/14, Chargers, Cardinals,3,-3,45
9/11/14, Steelers, Ravens,3,-3,44
9/14/14, Dolphins, Bills,1.5,-1.5,43
9/14/14, Jaguars, Redskins,4.5,-4.5,43
9/14/14, Cowboys, Titans,3.5,-3.5,49.5
9/14/14, Cardinals, Giants,2.5,-2.5,42
9/14/14, Patriots, Vikings,-3,3,49.5
9/14/14, Saints, Browns,-5,5,49.5
9/14/14, Falcons, Bengals,5.5,-5.5,48.5
9/14/14, Rams, Buccaneers,4,-4,37.5
9/14/14, Seahawks, Chargers,-4.5,4.5,45
9/14/14, Texans, Raiders,-3,3,41
9/14/14, Jets, Packers,7,-7,46.5
9/14/14, Bears, 49ers,7,-7,47
9/14/14, Chiefs, Broncos,13,-13,48.5
9/14/14, Lions, Panthers,1.5,-1.5,43.5
9/15/14, Eagles, Colts,3,-3,53
9/18/14, Buccaneers, Falcons,6.5,-6.5,46.5
9/21/14, Chargers, Bills,2.5,-2.5,45.5
9/21/14, Texans, Giants,1,-1,41.5
9/21/14, Titans, Bengals,6.5,-6.5,44.5
9/21/14, Ravens, Browns,-2,2,43
9/21/14, Packers, Lions,1,-1,51
9/21/14, Colts, Jaguars,-6.5,6.5,45.5
9/21/14, Raiders, Patriots,14,-14,47.5
9/21/14, Broncos, Seahawks,4,-4,48
9/21/14, Steelers, Panthers,3.5,-3.5,42
9/21/14, Chiefs, Dolphins,4.5,-4.5,42.5
9/21/14, Cowboys, Rams,-2,2,45
9/21/14, Vikings, Saints,9.5,-9.5,50
9/21/14, Redskins, Eagles,4.5,-4.5,49.5
9/21/14, 49ers, Cardinals,-3,3,41.5
9/22/14, Bears, Jets,2,-2,45
9/25/14, Giants, Redskins,3,-3,44.5
9/28/14, Dolphins, Raiders,-3.5,3.5,41.5
9/28/14, Packers, Bears,-1.5,1.5,50.5
9/28/14, Titans, Colts,7,-7,45.5
9/28/14, Lions, Jets,1.5,-1.5,43.5
9/28/14, Jaguars, Chargers,12.5,-12.5,45
9/28/14, Eagles, 49ers,4,-4,48.5
9/28/14, Falcons, Vikings,-5,5,48
9/28/14, Saints, Cowboys,-3,3,53.5
9/28/14, Panthers, Ravens,3.5,-3.5,42.5
9/28/14, Buccaneers, Steelers,7,-7,44
9/28/14, Bills, Texans,3,-3,44
9/29/14, Patriots, Chiefs,-3,3,45.5
10/2/14, Vikings, Packers,9.5,-9.5,46.5
10/5/14, Rams, Eagles,4,-4,48
10/5/14, Falcons, Giants,4.5,-4.5,50.5
10/5/14, Bills, Lions,5,-5,43
10/5/14, Ravens, Colts,3,-3,49.5
10/5/14, Steelers, Jaguars,-6,6,47.5
10/5/14, Cardinals, Broncos,8,-8,47
10/5/14, Chiefs, 49ers,4.5,-4.5,43
10/5/14, Jets, Chargers,6.5,-6.5,45
10/5/14, Bengals, Patriots,-3,3,46
10/5/14, Buccaneers, Saints,10.5,-10.5,47.5
10/5/14, Texans, Cowboys,5,-5,47
10/5/14, Bears, Panthers,1.5,-1.5,46.5
10/5/14, Browns, Titans,-1,1,44
