team,spread,o/u,season_year,week
CAR,-3.0,41.0,2016,1
TB,2.5,46.0,2016,1
MIN,-3.0,40.5,2016,1
CLE,4.0,41.5,2016,1
CIN,-1.5,41.5,2016,1
OAK,2.5,50.0,2016,1
SD,6.0,45.5,2016,1
BUF,3.0,44.0,2016,1
CHI,4.5,42.5,2016,1
GB,-4.0,47.0,2016,1
MIA,11.0,43.5,2016,1
NYG,-1.0,47.5,2016,1
DET,3.0,51.0,2016,1
NE,9.5,44.5,2016,1
PIT,-2.0,49.0,2016,1
LA,-3.0,43.0,2016,1
NYJ,1.0,40.5,2016,2
TEN,5.5,47.5,2016,2
KC,1.0,42.0,2016,2
BAL,-4.5,42.0,2016,2
NO,4.0,53.0,2016,2
IND,6.5,47.5,2016,2
ATL,4.5,47.5,2016,2
JAC,3.0,47.5,2016,2
GB,-1.5,42.0,2016,2
MIA,5.0,42.5,2016,2
TB,7.0,49.0,2016,2
CIN,3.0,48.5,2016,2
DAL,3.5,47.0,2016,2
SF,11.5,44.5,2016,2
SEA,-5.0,38.0,2016,2
PHI,3.0,42.5,2016,2
HOU,1.0,39.5,2016,3
OAK,-1.5,47.5,2016,3
ARI,-5.0,48.0,2016,3
BAL,-2.5,45.5,2016,3
WAS,3.5,46.5,2016,3
SF,10.0,41.5,2016,3
LA,3.5,41.0,2016,3
NYJ,3.0,44.0,2016,3
SD,2.0,51.0,2016,3
DET,6.0,47.0,2016,3
MIN,6.5,43.0,2016,3
CLE,9.5,41.5,2016,3
PIT,-4.0,46.0,2016,3
CHI,6.5,45.0,2016,3
DEN,3.5,42.0,2016,3
ATL,3.0,53.0,2016,3
MIA,7.5,46.5,2016,4
IND,-1.0,48.5,2016,4
CLE,7.0,47.5,2016,4
TEN,4.0,40.5,2016,4
OAK,3.5,45.0,2016,4
DEN,-3.5,43.0,2016,4
LA,9.5,43.5,2016,4
KC,3.0,48.0,2016,4
DET,-3.5,47.5,2016,4
DAL,-1.0,44.5,2016,4
CAR,-3.0,48.5,2016,4
NO,3.5,54.0,2016,4
SEA,-1.0,40.0,2016,4
BUF,3.5,41.0,2016,4
NYG,4.0,42.5,2016,4
ARI,-3.5,42.5,2016,5
TEN,3.0,44.0,2016,5
NE,-10.0,47.0,2016,5
WAS,4.0,44.0,2016,5
PHI,-3.5,46.0,2016,5
CHI,3.5,47.5,2016,5
ATL,3.5,44.5,2016,5
BUF,-2.0,41.5,2016,5
SD,3.5,50.5,2016,5
CIN,-2.5,45.5,2016,5
NYJ,9.0,49.5,2016,5
HOU,6.0,39.0,2016,5
NYG,7.0,48.5,2016,5
TB,6.0,46.5,2016,5
DEN,-3.0,44.5,2016,6
CIN,7.0,48.0,2016,6
PIT,-7.0,48.5,2016,6
JAC,2.0,46.5,2016,6
SF,7.5,45.0,2016,6
LA,3.0,44.5,2016,6
PHI,-3.0,45.0,2016,6
KC,-2.0,47.0,2016,6
ATL,6.5,45.0,2016,6
IND,3.0,48.0,2016,6
BAL,3.5,42.5,2016,6
CLE,7.5,44.5,2016,6
DAL,5.5,47.0,2016,6
CAR,-3.0,53.0,2016,6
NYJ,7.0,45.5,2016,6
CHI,7.5,46.5,2016,7
NYG,-2.5,44.5,2016,7
MIN,-3.0,39.5,2016,7
NO,6.5,51.0,2016,7
WAS,-1.0,49.5,2016,7
CLE,11.0,46.0,2016,7
BUF,-2.5,45.0,2016,7
OAK,2.5,48.0,2016,7
SD,5.5,53.0,2016,7
TB,1.0,45.0,2016,7
IND,4.0,48.5,2016,7
NE,-7.0,49.0,2016,7
BAL,1.5,39.5,2016,7
SEA,2.0,43.0,2016,7
HOU,8.0,40.0,2016,7
JAC,3.0,43.5,2016,8
WAS,3.0,49.0,2016,8
GB,3.0,51.0,2016,8
OAK,-1.0,48.0,2016,8
KC,-3.0,50.5,2016,8
PHI,4.5,44.0,2016,8
NE,-5.5,48.5,2016,8
SEA,-2.0,50.0,2016,8
ARI,2.5,45.5,2016,8
DET,2.0,46.0,2016,8
SD,4.0,43.0,2016,8
NYJ,-2.5,45.5,2016,8
MIN,-4.5,39.5,2016,8
ATL,-4.5,49.5,2016,9
NYJ,4.0,44.5,2016,9
PIT,-3.0,46.0,2016,9
NO,-4.5,53.5,2016,9
CAR,-3.0,44.0,2016,9
IND,7.0,52.5,2016,9
TEN,3.5,47.0,2016,9
DEN,1.0,44.5,2016,9
PHI,3.0,43.0,2016,9
DAL,-7.0,49.0,2016,9
DET,6.0,42.5,2016,9
JAC,7.0,43.0,2016,9
BUF,6.0,43.0,2016,9
CLE,9.0,44.0,2016,10
HOU,2.5,42.5,2016,10
ATL,1.0,49.0,2016,10
MIN,2.0,42.5,2016,10
GB,-3.0,49.0,2016,10
MIA,4.5,48.5,2016,10
SF,13.5,47.0,2016,10
DAL,3.0,50.5,2016,10
KC,3.0,44.0,2016,10
DEN,3.0,49.5,2016,10
LA,-1.0,39.0,2016,10
SEA,7.5,49.0,2016,10
CHI,-2.5,45.0,2016,10
CIN,-1.0,48.5,2016,10
NO,3.5,52.5,2016,11
TEN,3.0,53.5,2016,11
JAC,6.0,47.0,2016,11
TB,7.0,44.5,2016,11
ARI,2.5,40.0,2016,11
BAL,7.0,44.5,2016,11
PIT,-8.5,44.5,2016,11
MIA,1.0,39.5,2016,11
GB,3.0,47.5,2016,11
NE,-11.0,51.5,2016,11
PHI,6.5,43.0,2016,11
CHI,7.0,41.5,2016,11
BUF,2.0,48.0,2016,11
HOU,6.5,45.0,2016,11
MIN,2.0,42.0,2016,12
PIT,-8.0,50.0,2016,12
WAS,6.0,52.0,2016,12
TEN,-6.5,42.0,2016,12
JAC,9.0,44.0,2016,12
CIN,3.5,41.5,2016,12
ARI,4.0,49.5,2016,12
SF,7.5,45.0,2016,12
LA,7.5,44.5,2016,12
NYG,-6.5,45.5,2016,12
SEA,-5.0,45.5,2016,12
KC,3.5,40.0,2016,12
NE,-8.5,47.5,2016,12
SD,-2.5,46.0,2016,12
CAR,3.5,48.0,2016,12
GB,4.0,47.0,2016,12
DAL,-3.0,43.5,2016,13
DET,6.5,53.0,2016,13
SF,-1.5,44.0,2016,13
LA,13.0,44.5,2016,13
MIA,3.5,41.5,2016,13
BUF,3.0,48.5,2016,13
TB,3.5,49.0,2016,13
WAS,2.5,48.5,2016,13
NYG,6.5,49.0,2016,13
CAR,9.0,43.5,2016,13
DEN,-3.5,39.5,2016,13
KC,4.5,49.5,2016,13
HOU,6.5,44.0,2016,13
PHI,1.5,42.0,2016,13
IND,1.0,48.5,2016,13
OAK,3.5,46.0,2016,14
CIN,-4.5,41.5,2016,14
PIT,-1.5,45.0,2016,14
ARI,-2.0,44.0,2016,14
CHI,7.0,41.5,2016,14
MIN,-3.0,38.5,2016,14
NO,2.5,51.0,2016,14
WAS,-2.0,48.0,2016,14
ATL,-4.5,44.0,2016,14
DAL,-3.5,46.5,2016,14
SD,1.5,49.0,2016,14
SEA,-3.0,46.0,2016,14
HOU,6.5,47.0,2016,14
NYJ,3.0,43.5,2016,14
DEN,1.0,43.5,2016,14
BAL,6.0,45.0,2016,14
DEN,3.0,41.0,2016,1
ATL,-2.5,46.0,2016,1
TEN,3.0,40.5,2016,1
PHI,-4.0,41.5,2016,1
NYJ,1.5,41.5,2016,1
NO,-2.5,50.0,2016,1
KC,-6.0,45.5,2016,1
BAL,-3.0,44.0,2016,1
HOU,-4.5,42.5,2016,1
JAC,4.0,47.0,2016,1
SEA,-11.0,43.5,2016,1
DAL,1.0,47.5,2016,1
IND,-3.0,51.0,2016,1
ARI,-9.5,44.5,2016,1
WAS,2.0,49.0,2016,1
SF,3.0,43.0,2016,1
