Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2016-10-06, Cardinals, 49ers, -3.5, +3.5, +42.5
2016-10-09, Titans, Dolphins, +3.0, -3.0, +44.0
2016-10-09, Patriots, Browns, -10.0, +10.0, +47.0
2016-10-09, Redskins, Ravens, +4.0, -4.0, +44.0
2016-10-09, Eagles, Lions, -3.5, +3.5, +46.0
2016-10-09, Bears, Colts, +3.5, -3.5, +47.5
2016-10-09, Falcons, Broncos, +3.5, -3.5, +44.5
2016-10-09, Bills, Rams, -2.0, +2.0, +41.5
2016-10-09, Chargers, Raiders, +3.5, -3.5, +50.5
2016-10-09, Bengals, Cowboys, -2.5, +2.5, +45.5
2016-10-09, Jets, Steelers, +9.0, -9.0, +49.5
2016-10-09, Texans, Vikings, +6.0, -6.0, +39.0
2016-10-09, Giants, Packers, +7.0, -7.0, +48.5
2016-10-10, Buccaneers, Panthers, +6.0, -6.0, +46.5
