team,spread,o/u,season_year,week
NO,4.5,47.5,2011,1
PIT,1.0,36.5,2011,1
DET,1.0,43.0,2011,1
ATL,-1.0,40.5,2011,1
BUF,4.0,39.5,2011,1
IND,9.0,43.5,2011,1
PHI,-4.0,44.0,2011,1
CIN,7.0,36.5,2011,1
TEN,-1.0,38.0,2011,1
NYG,-1.0,40.5,2011,1
CAR,7.0,37.5,2011,1
SEA,5.5,38.0,2011,1
MIN,9.0,43.5,2011,1
DAL,6.0,41.0,2011,1
NE,-7.0,46.5,2011,1
OAK,3.0,41.5,2011,1
CHI,5.0,46.5,2011,2
KC,9.0,45.0,2011,2
ARI,4.5,44.5,2011,2
BAL,-5.0,38.5,2011,2
SEA,14.0,39.5,2011,2
GB,-10.0,45.0,2011,2
TB,1.0,41.0,2011,2
PHI,-2.5,49.5,2011,2
CLE,-1.0,39.0,2011,2
DAL,-3.0,41.0,2011,2
JAC,9.0,38.5,2011,2
OAK,4.0,41.0,2011,2
HOU,-3.0,47.0,2011,2
SD,6.5,53.5,2011,2
CIN,3.5,40.5,2011,2
STL,7.0,44.0,2011,2
SF,1.5,39.0,2011,3
NE,-7.0,54.0,2011,3
HOU,3.5,51.0,2011,3
MIA,-1.5,41.5,2011,3
DEN,7.0,43.5,2011,3
DET,-3.0,44.5,2011,3
JAC,3.5,43.0,2011,3
KC,14.5,44.5,2011,3
ARI,-3.0,43.0,2011,3
GB,-4.0,45.0,2011,3
PIT,-10.5,39.0,2011,3
NYJ,-3.0,41.0,2011,3
ATL,1.5,45.0,2011,3
BAL,-5.5,41.5,2011,3
NYG,9.0,46.5,2011,3
WAS,3.5,44.5,2011,3
CAR,7.0,42.5,2011,4
BUF,-3.0,43.0,2011,4
TEN,1.0,37.5,2011,4
NO,-9.0,45.0,2011,4
MIN,-3.0,40.0,2011,4
NYG,-1.0,44.5,2011,4
ATL,-6.0,39.0,2011,4
DEN,12.5,46.0,2011,4
NE,-6.0,55.0,2011,4
MIA,7.0,44.5,2011,4
NYJ,4.5,43.0,2011,4
PIT,3.5,46.0,2011,4
DET,2.5,46.0,2011,4
WAS,-3.0,44.0,2011,4
SF,10.0,43.5,2011,4
IND,10.5,40.5,2011,4
ARI,3.5,45.0,2011,5
PHI,-3.0,52.5,2011,5
NO,-6.5,51.0,2011,5
CIN,-2.5,36.5,2011,5
SEA,10.0,43.5,2011,5
SD,-3.5,47.0,2011,5
GB,-6.0,53.0,2011,5
NYJ,7.5,50.0,2011,5
OAK,5.0,48.5,2011,5
KC,1.0,38.0,2011,5
TEN,3.5,40.0,2011,5
TB,2.5,41.0,2011,5
CHI,5.5,47.0,2011,5
JAC,12.5,40.0,2011,6
PHI,-3.0,46.5,2011,6
IND,5.0,40.0,2011,6
BUF,3.0,49.5,2011,6
HOU,7.0,44.0,2011,6
CLE,7.0,44.5,2011,6
DAL,7.0,54.5,2011,6
NO,-6.0,49.5,2011,6
STL,14.0,47.0,2011,6
CAR,3.5,49.5,2011,6
SF,5.5,45.0,2011,6
MIN,2.5,41.5,2011,6
MIA,7.0,41.5,2011,6
WAS,2.5,44.5,2011,7
SEA,3.5,41.0,2011,7
HOU,3.0,44.0,2011,7
ATL,4.5,47.0,2011,7
KC,3.5,42.0,2011,7
PIT,-4.0,45.5,2011,7
IND,14.0,49.0,2011,7
CHI,-1.0,44.0,2011,7
STL,14.0,43.0,2011,7
GB,-10.0,46.5,2011,7
SD,-1.0,43.5,2011,7
DEN,-1.0,41.5,2011,7
BAL,-10.0,38.5,2011,7
MIN,3.5,47.0,2011,8
MIA,9.5,42.5,2011,8
WAS,4.0,46.5,2011,8
NE,-3.0,51.5,2011,8
CLE,9.0,38.5,2011,8
DAL,3.0,48.5,2011,8
IND,9.0,43.5,2011,8
CIN,-1.5,38.0,2011,8
JAC,10.0,41.0,2011,8
ARI,11.0,43.0,2011,8
NO,-13.5,48.5,2011,8
DET,-3.0,43.0,2011,8
SD,-3.5,44.5,2011,8
ATL,-6.5,44.5,2011,9
TB,9.0,50.5,2011,9
CLE,10.5,41.5,2011,9
NYJ,2.5,45.0,2011,9
SF,-4.5,37.5,2011,9
CIN,3.0,41.5,2011,9
NYG,9.5,51.5,2011,9
BAL,3.5,42.0,2011,9
SEA,11.0,45.5,2011,9
DEN,7.0,41.5,2011,9
MIA,5.0,40.5,2011,9
GB,-5.5,50.0,2011,9
STL,1.0,41.5,2011,9
CHI,8.0,47.0,2011,9
