Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
9/8/11, Saints, Packers,4.5,-4.5,47.5
9/11/11, Steelers, Ravens,1,-1,36.5
9/11/11, Lions, Buccaneers,1,-1,43
9/11/11, Falcons, Bears,-1,1,40.5
9/11/11, Bills, Chiefs,4,-4,39.5
9/11/11, Colts, Texans,9,-9,43.5
9/11/11, Eagles, Rams,-4,4,44
9/11/11, Bengals, Browns,7,-7,36.5
9/11/11, Titans, Jaguars,-1,1,38
9/11/11, Giants, Redskins,-1,1,40.5
9/11/11, Panthers, Cardinals,7,-7,37.5
9/11/11, Seahawks, 49ers,5.5,-5.5,38
9/11/11, Vikings, Chargers,9,-9,43.5
9/11/11, Cowboys, Jets,6,-6,41
9/12/11, Patriots, Dolphins,-7,7,46.5
9/12/11, Raiders, Broncos,3,-3,41.5
9/18/11, Bears, Saints,5,-5,46.5
9/18/11, Chiefs, Lions,9,-9,45
9/18/11, Cardinals, Redskins,4.5,-4.5,44.5
9/18/11, Ravens, Titans,-5,5,38.5
9/18/11, Seahawks, Steelers,14,-14,39.5
9/18/11, Packers, Panthers,-10,10,45
9/18/11, Buccaneers, Vikings,1,-1,41
9/18/11, Eagles, Falcons,-2.5,2.5,49.5
9/18/11, Browns, Colts,-1,1,39
9/18/11, Cowboys, 49ers,-3,3,41
9/18/11, Jaguars, Jets,9,-9,38.5
9/18/11, Raiders, Bills,4,-4,41
9/18/11, Texans, Dolphins,-3,3,47
9/18/11, Chargers, Patriots,6.5,-6.5,53.5
9/18/11, Bengals, Broncos,3.5,-3.5,40.5
9/19/11, Rams, Giants,7,-7,44
9/25/11, 49ers, Bengals,1.5,-1.5,39
9/25/11, Patriots, Bills,-7,7,54
9/25/11, Texans, Saints,3.5,-3.5,51
9/25/11, Dolphins, Browns,-1.5,1.5,41.5
9/25/11, Broncos, Titans,7,-7,43.5
9/25/11, Lions, Vikings,-3,3,44.5
9/25/11, Jaguars, Panthers,3.5,-3.5,43
9/25/11, Chiefs, Chargers,14.5,-14.5,44.5
9/25/11, Cardinals, Seahawks,-3,3,43
9/25/11, Packers, Bears,-4,4,45
9/25/11, Steelers, Colts,-10.5,10.5,39
9/25/11, Jets, Raiders,-3,3,41
9/25/11, Falcons, Buccaneers,1.5,-1.5,45
9/25/11, Ravens, Rams,-5.5,5.5,41.5
9/25/11, Giants, Eagles,9,-9,46.5
9/26/11, Redskins, Cowboys,3.5,-3.5,44.5
10/2/11, Panthers, Bears,7,-7,42.5
10/2/11, Bills, Bengals,-3,3,43
10/2/11, Titans, Browns,1,-1,37.5
10/2/11, Saints, Jaguars,-9,9,45
10/2/11, Vikings, Chiefs,-3,3,40
10/2/11, Giants, Cardinals,-1,1,44.5
10/2/11, Falcons, Seahawks,-6,6,39
10/2/11, Broncos, Packers,12.5,-12.5,46
10/2/11, Patriots, Raiders,-6,6,55
10/2/11, Dolphins, Chargers,7,-7,44.5
10/2/11, Jets, Ravens,4.5,-4.5,43
10/2/11, Steelers, Texans,3.5,-3.5,46
10/2/11, Lions, Cowboys,2.5,-2.5,46
10/2/11, Redskins, Rams,-3,3,44
10/2/11, 49ers, Eagles,10,-10,43.5
10/3/11, Colts, Buccaneers,10.5,-10.5,40.5
10/9/11, Cardinals, Vikings,3.5,-3.5,45
10/9/11, Eagles, Bills,-3,3,52.5
10/9/11, Saints, Panthers,-6.5,6.5,51
10/9/11, Bengals, Jaguars,-2.5,2.5,36.5
10/9/11, Seahawks, Giants,10,-10,43.5
10/9/11, Chargers, Broncos,-3.5,3.5,47
10/9/11, Packers, Falcons,-6,6,53
10/9/11, Jets, Patriots,7.5,-7.5,50
10/9/11, Raiders, Texans,5,-5,48.5
10/9/11, Chiefs, Colts,1,-1,38
10/9/11, Titans, Steelers,3.5,-3.5,40
10/9/11, Buccaneers, 49ers,2.5,-2.5,41
10/10/11, Bears, Lions,5.5,-5.5,47
10/16/11, Jaguars, Steelers,12.5,-12.5,40
10/16/11, Eagles, Redskins,-3,3,46.5
10/16/11, Colts, Bengals,5,-5,40
10/16/11, Bills, Giants,3,-3,49.5
10/16/11, Texans, Ravens,7,-7,44
10/16/11, Browns, Raiders,7,-7,44.5
10/16/11, Cowboys, Patriots,7,-7,54.5
10/16/11, Saints, Buccaneers,-6,6,49.5
10/16/11, Rams, Packers,14,-14,47
10/16/11, Panthers, Falcons,3.5,-3.5,49.5
10/16/11, 49ers, Lions,5.5,-5.5,45
10/16/11, Vikings, Bears,2.5,-2.5,41.5
10/17/11, Dolphins, Jets,7,-7,41.5
10/23/11, Redskins, Panthers,2.5,-2.5,44.5
10/23/11, Seahawks, Browns,3.5,-3.5,41
10/23/11, Texans, Titans,3,-3,44
10/23/11, Falcons, Lions,4.5,-4.5,47
10/23/11, Chiefs, Raiders,3.5,-3.5,42
10/23/11, Steelers, Cardinals,-4,4,45.5
10/23/11, Colts, Saints,14,-14,49
10/23/11, Bears, Buccaneers,-1,1,44
10/23/11, Rams, Cowboys,14,-14,43
10/23/11, Packers, Vikings,-10,10,46.5
10/23/11, Chargers, Jets,-1,1,43.5
10/23/11, Broncos, Dolphins,-1,1,41.5
10/24/11, Ravens, Jaguars,-10,10,38.5
10/30/11, Vikings, Panthers,3.5,-3.5,47
10/30/11, Dolphins, Giants,9.5,-9.5,42.5
10/30/11, Redskins, Bills,4,-4,46.5
10/30/11, Patriots, Steelers,-3,3,51.5
10/30/11, Browns, 49ers,9,-9,38.5
10/30/11, Cowboys, Eagles,3,-3,48.5
10/30/11, Colts, Titans,9,-9,43.5
10/30/11, Bengals, Seahawks,-1.5,1.5,38
10/30/11, Jaguars, Texans,10,-10,41
10/30/11, Cardinals, Ravens,11,-11,43
10/30/11, Saints, Rams,-13.5,13.5,48.5
10/30/11, Lions, Broncos,-3,3,43
10/31/11, Chargers, Chiefs,-3.5,3.5,44.5
11/6/11, Falcons, Colts,-6.5,6.5,44.5
11/6/11, Buccaneers, Saints,9,-9,50.5
11/6/11, Browns, Texans,10.5,-10.5,41.5
11/6/11, Jets, Bills,2.5,-2.5,45
11/6/11, 49ers, Redskins,-4.5,4.5,37.5
11/6/11, Bengals, Titans,3,-3,41.5
11/6/11, Giants, Patriots,9.5,-9.5,51.5
11/6/11, Ravens, Steelers,3.5,-3.5,42
11/6/11, Seahawks, Cowboys,11,-11,45.5
11/6/11, Broncos, Raiders,7,-7,41.5
11/6/11, Dolphins, Chiefs,5,-5,40.5
11/6/11, Packers, Chargers,-5.5,5.5,50
11/6/11, Rams, Cardinals,1,-1,41.5
11/7/11, Bears, Eagles,8,-8,47
11/10/11, Raiders, Chargers,7,-7,47.5
11/13/11, Broncos, Chiefs,3,-3,42.5
11/13/11, Jaguars, Colts,-3,3,37.5
11/13/11, Bills, Cowboys,5,-5,48.5
11/13/11, Texans, Buccaneers,-3.5,3.5,45.5
11/13/11, Titans, Panthers,3.5,-3.5,47
11/13/11, Redskins, Dolphins,4,-4,38
11/13/11, Saints, Falcons,1,-1,50
11/13/11, Rams, Browns,3,-3,36
11/13/11, Giants, 49ers,4.5,-4.5,42.5
11/13/11, Patriots, Jets,2.5,-2.5,47
11/13/11, Steelers, Bengals,-4,4,40.5
11/13/11, Ravens, Seahawks,-6.5,6.5,39
11/13/11, Lions, Bears,3,-3,42.5
11/13/11, Cardinals, Eagles,13.5,-13.5,47.5
11/14/11, Vikings, Packers,12.5,-12.5,49.5
11/17/11, Jets, Broncos,-6,6,39
11/20/11, Titans, Falcons,6,-6,44
11/20/11, Bills, Dolphins,3,-3,43.5
11/20/11, Bengals, Ravens,7,-7,40.5
11/20/11, Jaguars, Browns,2.5,-2.5,34.5
11/20/11, Panthers, Lions,7,-7,47.5
11/20/11, Cowboys, Redskins,-7,7,42.5
11/20/11, Cardinals, 49ers,9.5,-9.5,41
11/20/11, Seahawks, Rams,3,-3,40.5
11/20/11, Chargers, Bears,4.5,-4.5,45
11/20/11, Eagles, Giants,5.5,-5.5,45
11/20/11, Raiders, Vikings,2,-2,46
11/20/11, Buccaneers, Packers,14,-14,48
11/21/11, Chiefs, Patriots,17,-17,47
11/24/11, Packers, Lions,-5.5,5.5,55
11/24/11, Dolphins, Cowboys,7,-7,44.5
11/24/11, 49ers, Ravens,3.5,-3.5,40
11/27/11, Bills, Jets,9,-9,42
11/27/11, Bears, Raiders,3,-3,41
11/27/11, Browns, Bengals,7,-7,37.5
11/27/11, Texans, Jaguars,-6,6,37.5
11/27/11, Panthers, Colts,-3.5,3.5,46.5
11/27/11, Buccaneers, Titans,3,-3,43
11/27/11, Redskins, Seahawks,3,-3,37.5
11/27/11, Broncos, Chargers,4.5,-4.5,42
11/27/11, Vikings, Falcons,9.5,-9.5,44
11/27/11, Steelers, Chiefs,-10.5,10.5,41
11/27/11, Cardinals, Rams,2.5,-2.5,39.5
11/27/11, Patriots, Eagles,-3,3,50.5
11/28/11, Giants, Saints,7.5,-7.5,51
12/1/11, Eagles, Seahawks,-3,3,43.5
12/4/11, Titans, Bills,1,-1,43
12/4/11, Raiders, Dolphins,3.5,-3.5,43
12/4/11, Ravens, Browns,-7,7,38
12/4/11, Jets, Redskins,-2.5,2.5,38.5
12/4/11, Falcons, Texans,-1,1,38
12/4/11, Panthers, Buccaneers,-1,1,46.5
12/4/11, Rams, 49ers,13.5,-13.5,38
12/4/11, Cowboys, Cardinals,-4.5,4.5,47
12/4/11, Colts, Patriots,20.5,-20.5,48.5
12/4/11, Chiefs, Bears,7,-7,37
12/4/11, Bengals, Steelers,7,-7,42.5
12/4/11, Lions, Saints,9,-9,53.5
12/4/11, Packers, Giants,-6.5,6.5,53.5
12/4/11, Broncos, Vikings,1,-1,37.5
12/5/11, Chargers, Jaguars,-3,3,39.5
12/8/11, Browns, Steelers,14,-14,40
12/11/11, Colts, Ravens,16.5,-16.5,41.5
12/11/11, Texans, Bengals,3,-3,38.5
12/11/11, Raiders, Packers,12.5,-12.5,51.5
12/11/11, Chiefs, Jets,10.5,-10.5,36.5
12/11/11, Patriots, Redskins,-8,8,47.5
12/11/11, Falcons, Panthers,-3,3,47
12/11/11, 49ers, Cardinals,-4,4,39.5
12/11/11, Bears, Broncos,3.5,-3.5,35.5
12/11/11, Giants, Cowboys,4.5,-4.5,50.5
12/11/11, Saints, Titans,-3.5,3.5,50
12/11/11, Eagles, Dolphins,3,-3,45
12/11/11, Bills, Chargers,7,-7,48
12/11/11, Vikings, Lions,10,-10,46.5
12/11/11, Buccaneers, Jaguars,-3,3,40.5
12/12/11, Rams, Seahawks,9.5,-9.5,38
12/15/11, Jaguars, Falcons,13.5,-13.5,42.5
12/17/11, Cowboys, Buccaneers,-7,7,47
12/18/11, Packers, Chiefs,-11.5,11.5,46
12/18/11, Lions, Raiders,-2.5,2.5,47.5
12/18/11, Patriots, Broncos,-7,7,47.5
12/18/11, Jets, Eagles,3,-3,44
12/18/11, Browns, Cardinals,6,-6,37
12/18/11, Ravens, Chargers,-1,1,44
12/18/11, Panthers, Texans,5,-5,45
12/18/11, Titans, Colts,-6.5,6.5,41.5
12/18/11, Redskins, Giants,6,-6,45.5
12/18/11, Saints, Vikings,-7,7,53
12/18/11, Seahawks, Bears,3.5,-3.5,35
12/18/11, Bengals, Rams,-7,7,38.5
12/18/11, Dolphins, Bills,1,-1,42
12/19/11, Steelers, 49ers,2.5,-2.5,38
12/22/11, Texans, Colts,-6.5,6.5,40.5
12/24/11, Raiders, Chiefs,2.5,-2.5,41.5
12/24/11, Broncos, Bills,-2.5,2.5,43
12/24/11, Jaguars, Titans,7,-7,40
12/24/11, Cardinals, Bengals,4.5,-4.5,41
12/24/11, Dolphins, Patriots,9,-9,49.5
12/24/11, Giants, Jets,3,-3,46.5
12/24/11, Vikings, Redskins,7,-7,44
12/24/11, Eagles, Cowboys,-1.5,1.5,49.5
12/24/11, Buccaneers, Panthers,7.5,-7.5,47.5
