team,spread,o/u,season_year,week
DAL,3.5,45.0,2012,1
IND,9.5,43.5,2012,1
PHI,-9.5,43.0,2012,1
BUF,3.0,38.5,2012,1
WAS,9.0,50.5,2012,1
NE,-4.5,47.5,2012,1
JAC,3.5,38.0,2012,1
MIA,12.5,41.5,2012,1
STL,9.0,45.5,2012,1
ATL,-2.0,42.5,2012,1
SF,5.0,46.0,2012,1
CAR,-2.5,46.5,2012,1
SEA,-2.5,40.5,2012,1
PIT,1.5,46.0,2012,1
CIN,7.0,41.0,2012,1
SD,1.0,47.0,2012,1
CHI,5.5,51.0,2012,2
TB,7.5,44.0,2012,2
ARI,13.5,48.0,2012,2
MIN,-3.0,45.0,2012,2
NO,-2.5,52.0,2012,2
KC,3.5,44.5,2012,2
BAL,2.5,46.0,2012,2
OAK,-1.0,39.0,2012,2
CLE,7.0,39.5,2012,2
HOU,-7.0,41.0,2012,2
DAL,-3.0,42.0,2012,2
WAS,-3.5,43.5,2012,2
NYJ,5.0,42.5,2012,2
TEN,7.0,43.0,2012,2
DET,7.0,46.5,2012,2
DEN,3.0,52.0,2012,2
NYG,2.5,49.5,2012,3
STL,7.5,43.0,2012,3
TB,8.0,45.5,2012,3
SF,-6.5,42.5,2012,3
DET,-3.5,47.5,2012,3
CIN,3.0,49.5,2012,3
NYJ,-1.0,41.0,2012,3
KC,9.0,52.5,2012,3
BUF,-3.0,44.5,2012,3
PHI,-3.0,42.0,2012,3
ATL,3.0,47.5,2012,3
HOU,-1.5,44.5,2012,3
PIT,-4.0,45.5,2012,3
NE,2.5,49.5,2012,3
JAC,3.0,43.0,2012,3
GB,-3.0,45.0,2012,3
CLE,11.5,43.5,2012,4
CAR,7.0,48.5,2012,4
SF,-4.0,41.0,2012,4
SD,-1.0,44.5,2012,4
SEA,-3.0,39.0,2012,4
MIA,4.5,40.5,2012,4
OAK,7.0,49.0,2012,4
CIN,-1.0,44.5,2012,4
NO,7.0,53.5,2012,4
WAS,2.5,47.5,2012,4
NYG,2.0,47.5,2012,4
NE,-4.0,49.5,2012,4
TEN,11.0,44.5,2012,4
MIN,4.0,49.0,2012,4
CHI,3.0,41.5,2012,4
ARI,-1.5,39.5,2012,5
ATL,-3.0,50.5,2012,5
PHI,3.5,43.5,2012,5
GB,-7.0,48.0,2012,5
CLE,7.5,43.5,2012,5
TEN,5.5,44.0,2012,5
MIA,3.0,45.5,2012,5
BAL,-6.5,46.0,2012,5
SEA,3.0,42.5,2012,5
CHI,-5.5,40.5,2012,5
DEN,6.5,52.0,2012,5
BUF,10.0,45.5,2012,5
SD,3.5,52.5,2012,5
HOU,-8.0,41.0,2012,5
PIT,-6.0,43.5,2012,6
CIN,-2.5,43.0,2012,6
OAK,9.5,48.5,2012,6
DAL,3.5,44.5,2012,6
DET,3.5,48.0,2012,6
STL,4.5,37.5,2012,6
NE,-3.5,44.0,2012,6
BUF,4.0,44.0,2012,6
NYG,6.5,46.0,2012,6
GB,3.5,47.5,2012,6
KC,4.0,40.5,2012,6
IND,3.5,44.0,2012,6
MIN,-1.0,0.0,2012,6
DEN,1.0,49.0,2012,6
SEA,7.0,37.5,2012,7
TEN,3.5,46.5,2012,7
ARI,7.0,40.5,2012,7
CLE,1.0,45.5,2012,7
BAL,7.0,48.0,2012,7
GB,-4.5,45.5,2012,7
DAL,-1.0,45.5,2012,7
WAS,6.5,51.0,2012,7
NO,-1.0,49.5,2012,7
NYJ,10.5,47.0,2012,7
JAC,6.0,43.5,2012,7
PIT,-1.0,45.5,2012,7
DET,6.0,47.0,2012,7
TB,6.5,42.5,2012,8
NE,-7.0,46.5,2012,8
IND,3.5,47.0,2012,8
SD,-3.0,41.0,2012,8
ATL,1.0,42.5,2012,8
SEA,1.0,43.0,2012,8
MIA,1.5,39.0,2012,8
CAR,9.0,42.5,2012,8
NYG,-2.5,48.0,2012,8
NO,6.0,54.5,2012,8
WAS,4.0,44.5,2012,8
OAK,1.5,41.5,2012,8
JAC,14.0,46.0,2012,8
SF,-7.0,38.5,2012,8
KC,9.0,42.5,2012,9
DEN,-4.0,48.0,2012,9
ARI,10.0,43.5,2012,9
MIA,-1.0,43.0,2012,9
BAL,-3.5,42.5,2012,9
BUF,10.5,48.0,2012,9
CAR,3.0,48.0,2012,9
DET,-5.5,44.5,2012,9
CHI,-3.5,43.5,2012,9
MIN,4.0,39.0,2012,9
TB,1.0,47.0,2012,9
PIT,3.5,47.5,2012,9
DAL,3.5,47.5,2012,9
PHI,3.0,52.0,2012,9
IND,-3.0,42.5,2012,10
BUF,13.0,53.0,2012,10
NYG,-4.0,48.5,2012,10
SD,3.0,47.0,2012,10
DEN,-3.5,47.0,2012,10
TEN,6.0,44.0,2012,10
OAK,9.0,47.5,2012,10
ATL,-1.0,53.0,2012,10
DET,-3.0,46.5,2012,10
NYJ,6.0,39.0,2012,10
DAL,-1.0,44.5,2012,10
STL,12.5,38.5,2012,10
HOU,1.0,40.0,2012,10
KC,11.5,41.0,2012,10
MIA,1.0,45.0,2012,11
GB,-3.0,52.5,2012,11
ARI,9.5,44.0,2012,11
TB,-1.0,48.0,2012,11
CLE,7.5,43.5,2012,11
NYJ,3.5,39.0,2012,11
IND,10.0,54.0,2012,11
JAC,15.5,40.5,2012,11
CIN,-3.5,43.0,2012,11
NO,-4.5,55.0,2012,11
SD,9.0,48.0,2012,11
BAL,-3.5,40.0,2012,11
PHI,3.5,44.0,2012,11
CHI,5.0,35.5,2012,11
HOU,-3.0,50.0,2012,12
WAS,3.5,48.0,2012,12
NE,-7.0,48.5,2012,12
OAK,9.5,51.0,2012,12
BUF,3.0,51.0,2012,12
DEN,-10.0,43.0,2012,12
TEN,-3.5,45.0,2012,12
ATL,-1.0,51.0,2012,12
SEA,-2.5,37.5,2012,12
BAL,-1.0,47.5,2012,12
STL,1.0,37.0,2012,12
GB,3.0,51.0,2012,12
SF,-1.0,49.0,2012,12
PIT,-1.0,34.0,2012,12
MIN,7.0,38.5,2012,12
CAR,-3.0,40.5,2012,12
NO,3.5,55.5,2012,13
SEA,3.5,37.5,2012,13
MIN,7.5,47.0,2012,13
SF,-7.5,40.5,2012,13
ARI,6.0,36.5,2012,13
CAR,-4.0,39.0,2012,13
IND,6.0,50.5,2012,13
JAC,6.0,42.5,2012,13
NE,-7.5,51.0,2012,13
HOU,-6.5,47.5,2012,13
TB,9.0,50.5,2012,13
CIN,-1.0,46.5,2012,13
PHI,10.5,43.0,2012,13
PIT,7.5,36.0,2012,13
CLE,-2.5,37.5,2012,13
NYG,-3.0,51.0,2012,13
DEN,-10.0,48.0,2012,14
BAL,1.0,47.5,2012,14
KC,7.0,38.0,2012,14
TEN,5.0,46.5,2012,14
NYJ,-3.0,38.5,2012,14
CHI,-3.0,39.5,2012,14
ATL,-3.5,47.5,2012,14
STL,3.0,42.5,2012,14
DAL,3.5,46.0,2012,14
MIA,10.5,38.5,2012,14
NO,5.0,53.0,2012,14
ARI,9.5,35.5,2012,14
DET,6.5,48.5,2012,14
PHI,9.0,48.0,2012,14
SD,9.0,39.5,2012,14
HOU,3.5,51.0,2012,14
CIN,-4.5,44.5,2012,15
NYG,1.0,49.5,2012,15
TB,4.0,54.0,2012,15
MIN,2.5,39.0,2012,15
JAC,9.0,38.0,2012,15
IND,10.0,48.0,2012,15
CAR,3.0,45.0,2012,15
SEA,-5.0,43.5,2012,15
DET,-6.5,43.5,2012,15
PIT,-1.0,45.0,2012,15
KC,3.5,43.5,2012,15
SF,4.5,47.0,2012,15
DEN,-3.0,48.0,2012,15
GB,-1.0,43.5,2012,15
WAS,3.0,40.0,2012,15
NYJ,1.0,41.5,2012,15
ATL,-4.0,50.5,2012,16
TEN,12.5,45.0,2012,16
OAK,9.0,46.5,2012,16
BUF,4.5,41.5,2012,16
CIN,3.5,41.5,2012,16
NE,-14.0,51.0,2012,16
IND,-6.0,41.5,2012,16
NO,1.0,53.0,2012,16
STL,3.0,44.0,2012,16
NYG,-1.0,47.5,2012,16
MIN,9.0,45.0,2012,16
CLE,11.5,44.0,2012,16
CHI,-6.0,37.0,2012,16
SF,1.0,39.0,2012,16
SD,2.5,37.5,2012,16
WAS,-6.0,45.5,2012,16
NYJ,3.5,39.5,2012,17
MIA,10.5,47.0,2012,17
BAL,2.5,0.0,2012,17
JAC,999.0,42.0,2012,17
PHI,7.0,45.5,2012,17
DAL,3.5,49.0,2012,17
CHI,-3.0,44.5,2012,17
GB,-3.0,45.5,2012,17
CAR,5.0,54.0,2012,17
KC,16.5,41.5,2012,17
HOU,-7.0,47.0,2012,17
ARI,16.5,38.0,2012,17
STL,11.5,42.0,2012,17
TB,3.5,45.5,2012,17
OAK,999.0,40.5,2012,17
CLE,9.5,35.0,2012,17
NYG,-3.5,45.0,2012,1
CHI,-9.5,43.5,2012,1
CLE,9.5,43.0,2012,1
NYJ,-3.0,38.5,2012,1
NO,-9.0,50.5,2012,1
TEN,4.5,47.5,2012,1
MIN,-3.5,38.0,2012,1
HOU,-12.5,41.5,2012,1
DET,-9.0,45.5,2012,1
KC,2.0,42.5,2012,1
GB,-5.0,46.0,2012,1
TB,2.5,46.5,2012,1
ARI,2.5,40.5,2012,1
DEN,-1.5,46.0,2012,1
BAL,-7.0,41.0,2012,1
OAK,-1.0,47.0,2012,1
GB,-5.5,51.0,2012,2
NYG,-7.5,44.0,2012,2
NE,-13.5,48.0,2012,2
IND,3.0,45.0,2012,2
CAR,2.5,52.0,2012,2
BUF,-3.5,44.5,2012,2
PHI,-2.5,46.0,2012,2
MIA,1.0,39.0,2012,2
CIN,-7.0,39.5,2012,2
JAC,7.0,41.0,2012,2
SEA,3.0,42.0,2012,2
STL,3.5,43.5,2012,2
PIT,-5.0,42.5,2012,2
SD,-7.0,43.0,2012,2
