Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
6;2015;1340;Stafford, Matthew;QB;det;h;chi;37.9;5300
6;2015;1231;Rivers, Philip;QB;sdg;a;gnb;31.12;6300
6;2015;1409;Luck, Andrew;QB;ind;h;nwe;30.98;7600
6;2015;1442;Bortles, Blake;QB;jac;h;hou;28.94;5200
6;2015;1131;Brady, Tom;QB;nwe;a;ind;26.48;8100
6;2015;1242;Fitzpatrick, Ryan;QB;nyj;h;was;26.22;5000
6;2015;1404;Kaepernick, Colin;QB;sfo;h;bal;25.6;5000
6;2015;1336;Hoyer, Brian;QB;hou;a;jac;24.22;5100
6;2015;1263;Cutler, Jay;QB;chi;a;det;23.32;5200
6;2015;1302;Flacco, Joe;QB;bal;a;sfo;22.72;5900
6;2015;1378;Newton, Cam;QB;car;a;sea;21.76;6700
6;2015;1207;Palmer, Carson;QB;ari;a;pit;21.74;6600
6;2015;1421;Manuel, E.J.;QB;buf;h;cin;21.72;5000
6;2015;1403;Dalton, Andy;QB;cin;a;buf;21.52;5700
6;2015;1301;Ryan, Matt;QB;atl;a;nor;19.8;6900
6;2015;1151;Brees, Drew;QB;nor;h;atl;19.68;7000
6;2015;1252;Rodgers, Aaron;QB;gnb;h;sdg;19.6;7700
6;2015;1412;Wilson, Russell;QB;sea;h;car;18.94;6500
6;2015;1410;Tannehill, Ryan;QB;mia;a;ten;18.04;5700
6;2015;1254;Smith, Alex;QB;kan;a;min;16.28;5300
6;2015;1175;McCown, Josh;QB;cle;h;den;14.72;5400
6;2015;1430;Jones, Landry;QB;pit;h;ari;14.62;5000
6;2015;1081;Manning, Peyton;QB;den;a;cle;12.6;6600
6;2015;1344;Bradford, Sam;QB;phi;h;nyg;12.4;6000
6;2015;1439;Bridgewater, Teddy;QB;min;h;kan;11.46;5300
6;2015;1225;Manning, Eli;QB;nyg;a;phi;10.76;6800
6;2015;1415;Cousins, Kirk;QB;was;a;nyj;9.94;5100
6;2015;1466;Mariota, Marcus;QB;ten;h;mia;8.76;5800
6;2015;1155;Vick, Michael;QB;pit;h;ari;4.94;5000
6;2015;1440;Mettenberger, Zach;QB;ten;h;mia;2.92;5000
6;2015;1401;Mallett, Ryan;QB;bal;a;sfo;0;5000
6;2015;1468;Daniels, B.J.;QB;hou;a;jac;0;3000
6;2015;1227;McCown, Luke;QB;nor;h;atl;0;5000
6;2015;5071;Webb, Joe;QB;car;a;sea;0;5000
6;2015;2930;Freeman, Devonta;RB;atl;a;nor;38.6;7000
6;2015;2741;Ivory, Chris;RB;nyj;h;was;31.6;5100
6;2015;2777;Starks, James;RB;gnb;h;sdg;27.7;3300
6;2015;2831;Murray, DeMarco;RB;phi;h;nyg;24.3;6000
6;2015;2721;Blount, LeGarrette;RB;nwe;a;ind;23.4;4400
6;2015;2859;Miller, Lamar;RB;mia;a;ten;22.8;4300
6;2015;2696;Foster, Arian;RB;hou;a;jac;22.2;7000
6;2015;2612;Stewart, Jonathan;RB;car;a;sea;21.6;3900
6;2015;2793;Ingram, Mark;RB;nor;h;atl;20.6;6000
