Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
5;2015;1175;McCown, Josh;QB;cle;a;bal;38.48;5100
5;2015;1225;Manning, Eli;QB;nyg;h;sfo;32.74;6800
5;2015;1442;Bortles, Blake;QB;jac;a;tam;32.22;5100
5;2015;1403;Dalton, Andy;QB;cin;h;sea;31.04;5700
5;2015;1131;Brady, Tom;QB;nwe;a;dal;25.3;7800
5;2015;1231;Rivers, Philip;QB;sdg;h;pit;24.6;6200
5;2015;1302;Flacco, Joe;QB;bal;h;cle;24.6;5600
5;2015;1336;Hoyer, Brian;QB;hou;h;ind;23.88;5000
5;2015;1400;Taylor, Tyrod;QB;buf;a;ten;23.36;5800
5;2015;1344;Bradford, Sam;QB;phi;h;nor;22.62;6000
5;2015;1151;Brees, Drew;QB;nor;a;phi;21.3;7200
5;2015;1404;Kaepernick, Colin;QB;sfo;a;nyg;20.78;5200
5;2015;1263;Cutler, Jay;QB;chi;a;kan;18.58;5300
5;2015;1252;Rodgers, Aaron;QB;gnb;h;stl;18.54;7900
5;2015;1207;Palmer, Carson;QB;ari;a;det;18.34;6600
5;2015;1060;Hasselbeck, Matt;QB;ind;a;hou;16.22;5000
5;2015;1465;Winston, Jameis;QB;tam;h;jac;15.26;5100
5;2015;1412;Wilson, Russell;QB;sea;a;cin;13.62;6900
5;2015;1155;Vick, Michael;QB;pit;a;sdg;13.52;5100
5;2015;1254;Smith, Alex;QB;kan;h;chi;13.34;5500
5;2015;1441;Carr, Derek;QB;oak;h;den;11.86;5500
5;2015;1466;Mariota, Marcus;QB;ten;h;buf;11.18;6000
5;2015;1415;Cousins, Kirk;QB;was;a;atl;10.86;5300
5;2015;1249;Orlovsky, Dan;QB;det;h;ari;10.64;5000
5;2015;1301;Ryan, Matt;QB;atl;h;was;9.16;6700
5;2015;1340;Stafford, Matthew;QB;det;h;ari;8.72;5400
5;2015;1081;Manning, Peyton;QB;den;a;oak;8.64;7000
5;2015;1411;Weeden, Brandon;QB;hou;h;ind;8.32;5100
