Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
9;2014;1232;Roethlisberger, Ben;QB;pit;h;bal;39.7;7500
9;2014;1409;Luck, Andrew;QB;ind;a;nyg;33.66;10000
9;2014;1131;Brady, Tom;QB;nwe;h;den;31.72;8400
9;2014;1410;Tannehill, Ryan;QB;mia;h;sdg;28.22;6300
9;2014;1081;Manning, Peyton;QB;den;a;nwe;26.82;9800
9;2014;1225;Manning, Eli;QB;nyg;h;ind;26.16;7300
9;2014;1302;Flacco, Joe;QB;bal;a;pit;22.32;6100
9;2014;1336;Hoyer, Brian;QB;cle;h;tam;20.9;5300
9;2014;1207;Palmer, Carson;QB;ari;a;dal;20.76;6800
9;2014;1151;Brees, Drew;QB;nor;a;car;20.08;8300
9;2014;1242;Fitzpatrick, Ryan;QB;hou;h;phi;20.02;5700
9;2014;1420;Glennon, Mike;QB;tam;a;cle;18.1;5700
9;2014;1442;Bortles, Blake;QB;jac;a;cin;17.88;5400
9;2014;1439;Bridgewater, Teddy;QB;min;h;was;16.72;5200
9;2014;1403;Dalton, Andy;QB;cin;h;jac;16.42;6300
9;2014;1254;Smith, Alex;QB;kan;h;nyj;15.96;5700
9;2014;1408;Griffin III, Robert;QB;was;a;min;15.44;6400
9;2014;1441;Carr, Derek;QB;oak;a;sea;14.66;5300
9;2014;1339;Sanchez, Mark;QB;phi;a;hou;14.58;5000
9;2014;1378;Newton, Cam;QB;car;h;nor;14.34;8000
9;2014;1155;Vick, Michael;QB;nyj;a;kan;13.64;6600
9;2014;1404;Kaepernick, Colin;QB;sfo;h;stl;12.88;7000
9;2014;1412;Wilson, Russell;QB;sea;h;oak;10.26;7800
9;2014;1411;Weeden, Brandon;QB;dal;h;ari;9.52;5000
9;2014;1413;Foles, Nick;QB;phi;a;hou;8.06;7700
9;2014;1445;Davis, Austin;QB;stl;a;sfo;7.1;5500
9;2014;1231;Rivers, Philip;QB;sdg;a;mia;1.82;8300
9;2014;1436;Simms, Matt;QB;nyj;a;kan;1.76;0
9;2014;1298;Moore, Matt;QB;mia;h;sdg;0.84;5000
9;2014;1262;Clemens, Kellen;QB;sdg;a;mia;0.4;5000
9;2014;1234;Schaub, Matt;QB;oak;a;sea;0;5000
