Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
5;2014;1412;Wilson, Russell;QB;sea;a;was;37.24;7600
5;2014;1081;Manning, Peyton;QB;den;h;ari;35.96;9200
5;2014;1445;Davis, Austin;QB;stl;a;phi;31;5600
5;2014;1263;Cutler, Jay;QB;chi;a;car;24.76;7700
5;2014;1409;Luck, Andrew;QB;ind;h;bal;24.68;8700
5;2014;1233;Romo, Tony;QB;dal;h;hou;22.96;7000
5;2014;1336;Hoyer, Brian;QB;cle;a;ten;22.88;5200
5;2014;1231;Rivers, Philip;QB;sdg;h;nyj;22.82;7000
5;2014;1151;Brees, Drew;QB;nor;h;tam;22.74;8900
5;2014;1131;Brady, Tom;QB;nwe;h;cin;20.98;6600
5;2014;1415;Cousins, Kirk;QB;was;h;sea;19.72;6500
5;2014;1301;Ryan, Matt;QB;atl;a;nyg;18.64;8100
5;2014;1250;Orton, Kyle;QB;buf;a;det;18.32;5000
5;2014;1252;Rodgers, Aaron;QB;gnb;h;min;18.24;9000
5;2014;1403;Dalton, Andy;QB;cin;a;nwe;17.76;6800
5;2014;1378;Newton, Cam;QB;car;h;chi;17.1;7200
5;2014;1420;Glennon, Mike;QB;tam;a;nor;16.96;5500
5;2014;1382;Locker, Jake;QB;ten;h;cle;16.56;5700
5;2014;1225;Manning, Eli;QB;nyg;h;atl;15.7;7500
5;2014;1272;Whitehurst, Charlie;QB;ten;h;cle;15.66;5000
5;2014;1413;Foles, Nick;QB;phi;h;stl;15.58;8500
5;2014;1254;Smith, Alex;QB;kan;a;sfo;14.6;6400
5;2014;1386;Ponder, Christian;QB;min;a;gnb;14.38;5200
5;2014;1404;Kaepernick, Colin;QB;sfo;h;kan;13.84;7800
5;2014;1232;Roethlisberger, Ben;QB;pit;a;jac;13.72;7400
5;2014;1340;Stafford, Matthew;QB;det;h;buf;12.64;8800
5;2014;1302;Flacco, Joe;QB;bal;a;ind;8.4;7000
5;2014;1463;Thomas, Logan;QB;ari;a;den;7.24;5000
5;2014;1442;Bortles, Blake;QB;jac;h;pit;7.04;5200
5;2014;1242;Fitzpatrick, Ryan;QB;hou;a;dal;5.46;5500
5;2014;1290;Stanton, Drew;QB;ari;a;den;4.72;5000
5;2014;1155;Vick, Michael;QB;nyj;a;sdg;3.28;6000
5;2014;1240;Campbell, Jason;QB;cin;a;nwe;1.8;5000
5;2014;1426;Smith, Geno;QB;nyj;a;sdg;0.38;6700
5;2014;1227;McCown, Luke;QB;nor;h;tam;0;5000
5;2014;1262;Clemens, Kellen;QB;sdg;h;nyj;0;5000
5;2014;1307;Flynn, Matt;QB;gnb;h;min;-0.22;5000
5;2014;1452;Garoppolo, Jimmy;QB;nwe;h;cin;-0.4;5000
5;2014;2982;Oliver, Branden;RB;sdg;h;nyj;37.2;3000
5;2014;2613;Forte, Matt;RB;chi;a;car;36.6;7800
5;2014;2696;Foster, Arian;RB;hou;a;dal;34.2;7400
5;2014;2892;Ellington, Andre;RB;ari;a;den;33.4;5600
