Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
15;2016;1151;Brees, Drew;QB;nor;a;ari;33.36;6600
15;2016;1298;Moore, Matt;QB;mia;a;nyj;24.44;5100
15;2016;1207;Palmer, Carson;QB;ari;h;nor;23.72;6000
15;2016;1378;Newton, Cam;QB;car;a;was;23;6400
15;2016;1417;Barkley, Matt;QB;chi;h;gnb;21.48;5000
15;2016;1412;Wilson, Russell;QB;sea;h;lar;21.36;6300
15;2016;1301;Ryan, Matt;QB;atl;h;sfo;19.34;7300
15;2016;1501;Prescott, Dak;QB;dal;h;tam;19.16;6200
15;2016;1409;Luck, Andrew;QB;ind;a;min;18.8;6400
15;2016;1408;Griffin III, Robert;QB;cle;a;buf;18.64;5000
15;2016;1404;Kaepernick, Colin;QB;sfo;a;atl;17.42;5800
15;2016;1225;Manning, Eli;QB;nyg;h;det;16.04;5600
15;2016;1400;Taylor, Tyrod;QB;buf;h;cle;15.86;5700
15;2016;1231;Rivers, Philip;QB;sdg;h;oak;15.24;6200
15;2016;1232;Roethlisberger, Ben;QB;pit;a;cin;14.94;6600
15;2016;1415;Cousins, Kirk;QB;was;h;car;14.7;6800
15;2016;1465;Winston, Jameis;QB;tam;a;dal;14.48;6100
15;2016;1302;Flacco, Joe;QB;bal;h;phi;14.14;5700
15;2016;1254;Smith, Alex;QB;kan;h;ten;12.62;5400
15;2016;1514;Wentz, Carson;QB;phi;a;bal;12.6;5000
15;2016;1441;Carr, Derek;QB;oak;a;sdg;12.02;6300
15;2016;1252;Rodgers, Aaron;QB;gnb;a;chi;11.98;7100
15;2016;1403;Dalton, Andy;QB;cin;h;pit;11.38;5500
15;2016;1340;Stafford, Matthew;QB;det;a;nyg;11.22;6300
15;2016;1488;Siemian, Trevor;QB;den;h;nwe;10.68;5200
15;2016;1472;Petty, Bryce;QB;nyj;h;mia;10.4;5000
15;2016;1443;Savage, Tom;QB;hou;h;jac;10.4;5000
15;2016;1344;Bradford, Sam;QB;min;h;ind;9.64;5000
15;2016;1442;Bortles, Blake;QB;jac;a;hou;8.18;5000
15;2016;1466;Mariota, Marcus;QB;ten;a;kan;7.44;6500
15;2016;1131;Brady, Tom;QB;nwe;a;den;7.42;6700
15;2016;1490;Goff, Jared;QB;lar;a;sea;5.4;5000
15;2016;1242;Fitzpatrick, Ryan;QB;nyj;h;mia;1.34;5000
15;2016;1435;Keenum, Case;QB;lar;a;sea;1.28;5000
15;2016;1234;Schaub, Matt;QB;atl;h;sfo;0.64;5000
15;2016;1421;Manuel, E.J.;QB;buf;h;cle;0.1;5000
15;2016;1433;Tolzien, Scott;QB;ind;a;min;0;5000
15;2016;5071;Webb, Joe;QB;car;a;was;0;5000
15;2016;1262;Clemens, Kellen;QB;sdg;h;oak;0;5000
15;2016;1414;Osweiler, Brock;QB;hou;h;jac;-0.08;5100
15;2016;2930;Freeman, Devonta;RB;atl;h;sfo;37.5;6700
15;2016;2707;McCoy, LeSean;RB;buf;h;cle;34.9;8900
15;2016;5392;Montgomery, Ty;RB;gnb;a;chi;33.3;4800
15;2016;5444;Elliott, Ezekiel;RB;dal;h;tam;30.8;8200
15;2016;2819;Powell, Bilal;RB;nyj;h;mia;27.2;5600
15;2016;5395;Johnson, David;RB;ari;h;nor;26.8;10100
15;2016;2754;Mathews, Ryan;RB;phi;a;bal;25.3;3900
15;2016;5447;Howard, Jordan;RB;chi;h;gnb;21.3;6000
15;2016;2604;Hightower, Tim;RB;nor;a;ari;19.8;4100
15;2016;2867;Turbin, Robert;RB;ind;a;min;19.4;3300
15;2016;2831;Murray, DeMarco;RB;ten;a;kan;19.1;6900
15;2016;2467;Gore, Frank;RB;ind;a;min;18.5;4400
15;2016;2888;Bell, Le'Veon;RB;pit;a;cin;18.1;9800
15;2016;2612;Stewart, Jonathan;RB;car;a;was;18;5200
15;2016;5445;Henry, Derrick;RB;ten;a;kan;17.8;5100
15;2016;2859;Miller, Lamar;RB;hou;h;jac;16.9;5400
15;2016;2929;West, Terrance;RB;bal;h;phi;16.2;3900
15;2016;2935;McKinnon, Jerick;RB;min;h;ind;16.1;4000
15;2016;2869;Cadet, Travaris;RB;nor;a;ari;15.6;3000
15;2016;5493;Kelley, Rob;RB;was;h;car;15.5;4700
15;2016;2997;Johnson, Duke;RB;cle;a;buf;14.3;3200
15;2016;2647;Tolbert, Mike;RB;car;a;was;13.1;3000
15;2016;2914;Ware, Spencer;RB;kan;h;ten;12.5;5700
15;2016;2816;Lewis, Dion;RB;nwe;a;den;12.4;3900
15;2016;2918;Williams, Kerwynn;RB;ari;h;nor;12.3;3000
15;2016;2928;Hill, Jeremy;RB;cin;h;pit;12.1;5600
15;2016;2793;Ingram, Mark;RB;nor;a;ari;11.2;4700
15;2016;2993;Yeldon, T.J.;RB;jac;a;hou;11.2;4100
15;2016;2898;Michael, Christine;RB;gnb;a;chi;10.5;3500
15;2016;2894;Gillislee, Mike;RB;buf;h;cle;9.7;4600
15;2016;5469;Dixon, Kenneth;RB;bal;h;phi;9.6;3800
15;2016;5397;Zenner, Zach;RB;det;a;nyg;9.4;3000
15;2016;2642;Forsett, Justin;RB;den;h;nwe;9.3;3000
15;2016;2899;Murray, Latavius;RB;oak;a;sdg;9.2;5800
15;2016;2721;Blount, LeGarrette;RB;nwe;a;den;9.1;5000
15;2016;5490;Richard, Jalen;RB;oak;a;sdg;8.9;3200
15;2016;2915;Thompson, Chris;RB;was;h;car;8.6;3700
15;2016;2994;Coleman, Tevin;RB;atl;h;sfo;8.6;5000
15;2016;2933;Hyde, Carlos;RB;sfo;a;atl;7.7;5900
15;2016;2890;Burkhead, Rex;RB;cin;h;pit;7;3500
15;2016;2954;White, James;RB;nwe;a;den;6.5;3600
15;2016;5494;Farrow, Kenneth;RB;sdg;h;oak;6.3;4400
15;2016;5483;Washington, Dwayne;RB;det;a;nyg;6;3500
15;2016;5402;Rawls, Thomas;RB;sea;h;lar;5.9;5900
15;2016;5472;Perkins, Paul;RB;nyg;h;det;5.6;3800
15;2016;5468;Booker, Devontae;RB;den;h;nwe;5.3;4200
15;2016;5375;Ward, Terron;RB;atl;h;sfo;5.2;3000
15;2016;2998;Ajayi, Jay;RB;mia;a;nyj;5.1;5700
15;2016;2887;Barner, Kenjon;RB;phi;a;bal;5.1;3600
15;2016;2931;Sims, Charles;RB;tam;a;dal;4.9;3800
15;2016;5524;Marshall, Byron;RB;phi;a;bal;4.8;0
15;2016;2992;Gurley, Todd;RB;lar;a;sea;4.6;4500
15;2016;2908;Juszczyk, Kyle;RB;bal;h;phi;4.5;3000
15;2016;2741;Ivory, Chris;RB;jac;a;hou;4.4;3700
15;2016;5449;Washington, DeAndre;RB;oak;a;sdg;4.4;3400
15;2016;2858;Martin, Doug;RB;tam;a;dal;4.2;5300
15;2016;2830;Vereen, Shane;RB;nyg;h;det;4;4000
15;2016;2880;Dunbar, Lance;RB;dal;h;tam;4;3000
15;2016;2613;Forte, Matt;RB;nyj;h;mia;3.8;5500
15;2016;2658;Jennings, Rashad;RB;nyg;h;det;3.8;4500
15;2016;2916;Whittaker, Fozzy;RB;car;a;was;3.8;3000
15;2016;2881;Grimes, Jonathan;RB;hou;h;jac;3.5;3000
15;2016;2856;Hillman, Ronnie;RB;sdg;h;oak;3.4;3000
15;2016;5371;Langford, Jeremy;RB;chi;h;gnb;3.2;4000
15;2016;2873;Asiata, Matt;RB;min;h;ind;3;3400
15;2016;2969;Crowell, Isaiah;RB;cle;a;buf;2.8;4100
15;2016;2825;Develin, James;RB;nwe;a;den;2.3;3000
15;2016;2553;Peterson, Adrian;RB;min;h;ind;2.3;5000
15;2016;2549;Kuhn, John;RB;nor;a;ari;2.2;3000
15;2016;2624;Felton, Jerome;RB;buf;h;cle;2.2;3000
15;2016;2913;Olawale, Jamize;RB;oak;a;sdg;2.2;3000
15;2016;2665;Reece, Marcel;RB;sea;h;lar;1.9;3000
15;2016;2840;Todman, Jordan;RB;ind;a;min;1.9;3000
15;2016;2892;Ellington, Andre;RB;ari;h;nor;1.9;3500
15;2016;5441;Brown, Malcolm;RB;lar;a;sea;1.8;3000
15;2016;2603;McFadden, Darren;RB;dal;h;tam;1.8;3000
15;2016;5446;Drake, Kenyan;RB;mia;a;nyj;1.6;3000
15;2016;2960;Blue, Alfred;RB;hou;h;jac;1.5;4400
15;2016;5431;Hunt, Akeem;RB;hou;h;jac;1.5;3000
15;2016;2875;Draughn, Shaun;RB;sfo;a;atl;1.5;3000
15;2016;5451;Williams, Jonathan;RB;buf;h;cle;1;3000
15;2016;2987;West, Charcandrick;RB;kan;h;ten;0.5;4800
15;2016;5413;Fowler, Jalston;RB;ten;a;kan;0.3;3000
15;2016;2972;Carey, Ka'Deem;RB;chi;h;gnb;0.1;3000
15;2016;5484;Ferguson, Josh;RB;ind;a;min;0.1;3000
15;2016;5415;Burton, Michael;RB;det;a;nyg;0;3000
15;2016;2912;Line, Zach;RB;min;h;ind;0;3000
15;2016;2957;Williams, Damien;RB;mia;a;nyj;0;3900
15;2016;5405;Grant, Corey;RB;jac;a;hou;0;3000
15;2016;5507;Barber, Peyton;RB;tam;a;dal;0;3000
15;2016;2919;Reynolds, Chase;RB;lar;a;sea;0;3000
15;2016;2719;Bell, Joique;RB;det;a;nyg;0;3000
15;2016;2903;Taylor, Stepfan;RB;ari;h;nor;0;3000
15;2016;2940;Andrews, Antonio;RB;ten;a;kan;0;3000
15;2016;2822;Sherman, Anthony;RB;kan;h;ten;0;3000
15;2016;2874;Bolden, Brandon;RB;nwe;a;den;0;3000
15;2016;2863;Rainey, Bobby;RB;nyg;h;det;0;3000
15;2016;2802;Harris, DuJuan;RB;sfo;a;atl;0;3900
15;2016;5504;Watt, Derek;RB;sdg;h;oak;0;3000
15;2016;5492;Smith, Keith;RB;dal;h;tam;0;3000
15;2016;5403;Nix, Roosevelt;RB;pit;a;cin;0;3000
15;2016;2965;Thompson, Juwan;RB;den;h;nwe;0;3000
15;2016;2949;Atkinson, George;RB;cle;a;buf;0;3000
15;2016;2820;Jones, Taiwan;RB;oak;a;sdg;0;3000
15;2016;2805;DiMarco, Patrick;RB;atl;h;sfo;0;3000
15;2016;2692;Peerman, Cedric;RB;cin;h;pit;0;3000
