Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
4;2015;1231;Rivers, Philip;QB;sdg;h;cle;29.22;6100
4;2015;1175;McCown, Josh;QB;cle;a;sdg;26.24;5100
4;2015;1151;Brees, Drew;QB;nor;h;dal;25.36;7400
4;2015;1344;Bradford, Sam;QB;phi;a;was;24.2;6000
4;2015;1415;Cousins, Kirk;QB;was;h;phi;21.7;5400
4;2015;1403;Dalton, Andy;QB;cin;h;kan;21.44;5900
4;2015;1254;Smith, Alex;QB;kan;a;cin;20.94;5600
4;2015;1207;Palmer, Carson;QB;ari;h;stl;19.98;6800
4;2015;1225;Manning, Eli;QB;nyg;a;buf;19.28;7000
4;2015;1442;Bortles, Blake;QB;jac;a;ind;19.02;5100
4;2015;1413;Foles, Nick;QB;stl;a;ari;18.74;5100
4;2015;1263;Cutler, Jay;QB;chi;h;oak;18.24;5500
4;2015;1412;Wilson, Russell;QB;sea;h;det;17.48;7100
4;2015;1336;Hoyer, Brian;QB;hou;a;atl;17.28;5000
4;2015;1378;Newton, Cam;QB;car;a;tam;17.06;7000
4;2015;1465;Winston, Jameis;QB;tam;h;car;16.68;5100
4;2015;1252;Rodgers, Aaron;QB;gnb;a;sfo;16.26;7900
4;2015;1439;Bridgewater, Teddy;QB;min;a;den;16.06;5700
4;2015;1400;Taylor, Tyrod;QB;buf;h;nyg;15.46;5800
4;2015;1060;Hasselbeck, Matt;QB;ind;h;jac;15.38;5000
4;2015;1242;Fitzpatrick, Ryan;QB;nyj;a;mia;15.12;5100
4;2015;1441;Carr, Derek;QB;oak;a;chi;14.84;5300
4;2015;1411;Weeden, Brandon;QB;hou;a;atl;14.34;5100
4;2015;1410;Tannehill, Ryan;QB;mia;h;nyj;14.32;6200
4;2015;1301;Ryan, Matt;QB;atl;h;hou;14.14;6900
4;2015;1155;Vick, Michael;QB;pit;h;bal;12.26;5000
4;2015;1404;Kaepernick, Colin;QB;sfo;h;gnb;11.1;5500
4;2015;1081;Manning, Peyton;QB;den;h;min;10.32;7200
4;2015;1302;Flacco, Joe;QB;bal;a;pit;9.56;6000
4;2015;1340;Stafford, Matthew;QB;det;a;sea;8.12;5700
4;2015;1401;Mallett, Ryan;QB;bal;a;pit;5;5000
4;2015;1468;Daniels, B.J.;QB;hou;a;atl;2.2;3000
4;2015;1227;McCown, Luke;QB;nor;h;dal;0;5000
4;2015;5071;Webb, Joe;QB;car;a;tam;0;5000
4;2015;1423;Renfree, Sean;QB;atl;h;hou;-0.4;5000
4;2015;2930;Freeman, Devonta;RB;atl;h;hou;37.9;5200
4;2015;2888;Bell, Le'Veon;RB;pit;h;bal;31;7700
4;2015;2858;Martin, Doug;RB;tam;h;car;28.3;4400
4;2015;2997;Johnson, Duke;RB;cle;a;sdg;26.6;3100
4;2015;2741;Ivory, Chris;RB;nyj;a;mia;25.6;4800
4;2015;2928;Hill, Jeremy;RB;cin;h;kan;24;6500
4;2015;2775;Spiller, C.J.;RB;nor;h;dal;21.9;3900
4;2015;2992;Gurley, Todd;RB;stl;a;ari;21.1;4300
4;2015;2856;Hillman, Ronnie;RB;den;h;min;20.8;4700
4;2015;2629;Charles, Jamaal;RB;kan;a;cin;20.5;7600
4;2015;2553;Peterson, Adrian;RB;min;a;den;19.4;7800
4;2015;2793;Ingram, Mark;RB;nor;h;dal;18.8;6000
4;2015;2613;Forte, Matt;RB;chi;h;oak;18.5;7100
4;2015;2642;Forsett, Justin;RB;bal;a;pit;18;6000
4;2015;2689;Woodhead, Danny;RB;sdg;h;cle;17.8;4600
4;2015;2658;Jennings, Rashad;RB;nyg;a;buf;17.2;4200
4;2015;5395;Johnson, David;RB;ari;h;stl;17.1;4200
4;2015;5372;Williams, Karlos;RB;buf;h;nyg;16;3400
4;2015;5375;Ward, Terron;RB;atl;h;hou;16;3000
4;2015;2993;Yeldon, T.J.;RB;jac;a;ind;15.9;4400
4;2015;2969;Crowell, Isaiah;RB;cle;a;sdg;15.5;4100
4;2015;2931;Sims, Charles;RB;tam;h;car;14.3;3600
4;2015;2879;Polk, Chris;RB;hou;a;atl;14;3300
4;2015;2467;Gore, Frank;RB;ind;h;jac;12.7;4700
4;2015;2645;Johnson, Chris;RB;ari;h;stl;12.4;4500
4;2015;2889;Bernard, Giovani;RB;cin;h;kan;12.2;5000
4;2015;2813;Helu, Roy;RB;oak;a;chi;11.5;3000
4;2015;2902;Stacy, Zac;RB;nyj;a;mia;10.5;3000
4;2015;2896;Lacy, Eddie;RB;gnb;a;sfo;10.3;6900
4;2015;2920;Robinson, Khiry;RB;nor;h;dal;10.1;3000
4;2015;2915;Thompson, Chris;RB;was;h;phi;9.7;3500
4;2015;2907;Riddick, Theo;RB;det;a;sea;8.6;3000
4;2015;2900;Randle, Joseph;RB;dal;a;nor;8.6;5500
4;2015;2871;Morris, Alfred;RB;was;h;phi;8.5;4100
4;2015;2899;Murray, Latavius;RB;oak;a;chi;8.1;6300
4;2015;2924;Anderson, C.J.;RB;den;h;min;8;5900
4;2015;2549;Kuhn, John;RB;gnb;a;sfo;7.9;3000
4;2015;2520;Jackson, Fred;RB;sea;h;det;7.4;3000
