Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
3;2016;1488;Siemian, Trevor;QB;den;a;cin;31.98;5100
3;2016;1340;Stafford, Matthew;QB;det;a;gnb;30.5;6800
3;2016;1465;Winston, Jameis;QB;tam;h;lar;30.5;6000
3;2016;1151;Brees, Drew;QB;nor;h;atl;29.94;7900
3;2016;1252;Rodgers, Aaron;QB;gnb;h;det;26.4;7700
3;2016;1410;Tannehill, Ryan;QB;mia;h;cle;24.96;6200
3;2016;1514;Wentz, Carson;QB;phi;h;pit;24.04;5500
3;2016;1501;Prescott, Dak;QB;dal;h;chi;23.52;5700
3;2016;1336;Hoyer, Brian;QB;chi;a;dal;22.38;5000
3;2016;1301;Ryan, Matt;QB;atl;a;nor;19.9;7400
3;2016;1415;Cousins, Kirk;QB;was;a;nyg;19.34;6400
3;2016;1225;Manning, Eli;QB;nyg;h;was;19;7000
3;2016;1409;Luck, Andrew;QB;ind;h;sdg;18.24;7600
3;2016;1400;Taylor, Tyrod;QB;buf;h;ari;17.36;5800
3;2016;1378;Newton, Cam;QB;car;h;min;16.08;7800
3;2016;1231;Rivers, Philip;QB;sdg;a;ind;15.4;6700
3;2016;1496;Brissett, Jacoby;QB;nwe;h;hou;14.92;5000
3;2016;1435;Keenum, Case;QB;lar;a;tam;14.7;5000
3;2016;1442;Bortles, Blake;QB;jac;h;bal;14.46;6500
3;2016;1412;Wilson, Russell;QB;sea;h;sfo;14.02;7100
3;2016;1302;Flacco, Joe;QB;bal;a;jac;13.76;6100
3;2016;1254;Smith, Alex;QB;kan;h;nyj;13.18;5800
3;2016;1441;Carr, Derek;QB;oak;a;ten;12.86;6900
3;2016;1403;Dalton, Andy;QB;cin;h;den;11.24;5700
3;2016;1492;Kessler, Cody;QB;cle;a;mia;10.66;5000
3;2016;1344;Bradford, Sam;QB;min;a;car;10.64;5300
3;2016;1232;Roethlisberger, Ben;QB;pit;a;phi;8.98;7300
3;2016;1414;Osweiler, Brock;QB;hou;a;nwe;8.14;6000
3;2016;1466;Mariota, Marcus;QB;ten;h;oak;7.76;5900
3;2016;1207;Palmer, Carson;QB;ari;a;buf;7.48;7200
3;2016;1381;Gabbert, Blaine;QB;sfo;a;sea;5.96;5000
3;2016;1493;Boykin, Trevone;QB;sea;h;sfo;5.4;5000
3;2016;1242;Fitzpatrick, Ryan;QB;nyj;a;kan;3.72;5900
3;2016;1239;Anderson, Derek;QB;car;h;min;0.12;5000
3;2016;5071;Webb, Joe;QB;car;h;min;0;5000
3;2016;2930;Freeman, Devonta;RB;atl;a;nor;34.7;5800
3;2016;2994;Coleman, Tevin;RB;atl;a;nor;29.9;4500
3;2016;2707;McCoy, LeSean;RB;buf;h;ari;29.6;6500
3;2016;2831;Murray, DeMarco;RB;ten;h;oak;29.5;6300
3;2016;2933;Hyde, Carlos;RB;sfo;a;sea;28.5;4400
3;2016;2898;Michael, Christine;RB;sea;h;sfo;28.1;5000
3;2016;2484;Sproles, Darren;RB;phi;h;pit;27.7;3700
3;2016;5395;Johnson, David;RB;ari;a;buf;26.1;7700
3;2016;2721;Blount, LeGarrette;RB;nwe;h;hou;25.5;4400
