Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
16;2015;1415;Cousins, Kirk;QB;was;a;phi;35.2;5500
16;2015;1442;Bortles, Blake;QB;jac;a;nor;34.22;6500
16;2015;1151;Brees, Drew;QB;nor;h;jac;31.18;6800
16;2015;1242;Fitzpatrick, Ryan;QB;nyj;h;nwe;24.14;5200
16;2015;1340;Stafford, Matthew;QB;det;h;sfo;24.14;6100
16;2015;1411;Weeden, Brandon;QB;hou;a;ten;22.1;5100
16;2015;1344;Bradford, Sam;QB;phi;h;was;21.6;5100
16;2015;1412;Wilson, Russell;QB;sea;h;stl;21.46;7200
16;2015;1465;Winston, Jameis;QB;tam;h;chi;19.8;5500
16;2015;1301;Ryan, Matt;QB;atl;h;car;18.34;5200
16;2015;1438;Manziel, Johnny;QB;cle;a;kan;18.24;5100
16;2015;1410;Tannehill, Ryan;QB;mia;h;ind;17.96;5100
16;2015;1207;Palmer, Carson;QB;ari;h;gnb;17.6;7000
16;2015;1254;Smith, Alex;QB;kan;h;cle;17.4;5100
16;2015;1381;Gabbert, Blaine;QB;sfo;a;det;16.9;5000
16;2015;1414;Osweiler, Brock;QB;den;h;cin;16.46;5100
16;2015;1441;Carr, Derek;QB;oak;h;sdg;16.16;5600
16;2015;1378;Newton, Cam;QB;car;a;atl;15.28;7500
16;2015;1231;Rivers, Philip;QB;sdg;a;oak;15.08;5700
16;2015;1401;Mallett, Ryan;QB;bal;h;pit;14.96;5000
16;2015;1467;McCarron, A.J.;QB;cin;a;den;13.1;5100
16;2015;1400;Taylor, Tyrod;QB;buf;h;dal;12.86;5500
16;2015;1263;Cutler, Jay;QB;chi;a;tam;12.34;5200
16;2015;1131;Brady, Tom;QB;nwe;a;nyj;12.14;7500
16;2015;1439;Bridgewater, Teddy;QB;min;h;nyg;11.92;5200
16;2015;1440;Mettenberger, Zach;QB;ten;h;hou;11.36;5100
16;2015;1252;Rodgers, Aaron;QB;gnb;a;ari;10.94;7000
16;2015;1225;Manning, Eli;QB;nyg;a;min;10.36;5600
16;2015;1435;Keenum, Case;QB;stl;a;sea;8.52;5100
16;2015;1422;Nassib, Ryan;QB;nyg;a;min;6.72;5000
16;2015;1458;Moore, Kellen;QB;dal;a;buf;6.34;5000
16;2015;1232;Roethlisberger, Ben;QB;pit;a;bal;5.8;6800
16;2015;1060;Hasselbeck, Matt;QB;ind;a;mia;3.96;5100
16;2015;1272;Whitehurst, Charlie;QB;ind;a;mia;3.02;5000
16;2015;1468;Daniels, B.J.;QB;hou;a;ten;0.88;0
16;2015;1433;Tolzien, Scott;QB;gnb;a;ari;0.16;5000
16;2015;5071;Webb, Joe;QB;car;a;atl;0;5000
16;2015;1290;Stanton, Drew;QB;ari;h;gnb;-0.04;5000
16;2015;1213;Hill, Shaun;QB;min;h;nyg;-0.4;5000
16;2015;2500;Williams, DeAngelo;RB;pit;a;bal;36.3;6500
16;2015;2604;Hightower, Tim;RB;nor;h;jac;34.9;4500
16;2015;2935;McKinnon, Jerick;RB;min;h;nyg;23.7;3500
16;2015;2467;Gore, Frank;RB;ind;a;mia;23.5;4000
16;2015;2899;Murray, Latavius;RB;oak;h;sdg;22.7;5000
16;2015;5370;Allen, Javorius;RB;bal;h;pit;22.4;4200
16;2015;2553;Peterson, Adrian;RB;min;h;nyg;21.9;7300
16;2015;5395;Johnson, David;RB;ari;h;gnb;21.7;5800
16;2015;2931;Sims, Charles;RB;tam;h;chi;20.7;3300
16;2015;2894;Gillislee, Mike;RB;buf;h;dal;18.9;4500
16;2015;2689;Woodhead, Danny;RB;sdg;a;oak;18.8;4400
16;2015;2930;Freeman, Devonta;RB;atl;h;car;18;7400
16;2015;2859;Miller, Lamar;RB;mia;h;ind;17.7;6400
16;2015;5372;Williams, Karlos;RB;buf;h;dal;16.7;4500
16;2015;2869;Cadet, Travaris;RB;nor;h;jac;16.5;3000
16;2015;2992;Gurley, Todd;RB;stl;a;sea;16.2;6200
16;2015;2598;Thomas, Pierre;RB;was;a;phi;15.9;3000
16;2015;2896;Lacy, Eddie;RB;gnb;a;ari;15.8;4900
16;2015;2658;Jennings, Rashad;RB;nyg;a;min;15.6;3500
16;2015;2907;Riddick, Theo;RB;det;h;sfo;15.3;4100
16;2015;2969;Crowell, Isaiah;RB;cle;a;kan;14.8;3700
16;2015;2972;Carey, Ka'Deem;RB;chi;a;tam;14.7;3000
16;2015;2954;White, James;RB;nwe;a;nyj;14.2;4700
16;2015;2831;Murray, DeMarco;RB;phi;h;was;14.1;3800
16;2015;2924;Anderson, C.J.;RB;den;h;cin;14.1;3700
16;2015;2819;Powell, Bilal;RB;nyj;h;nwe;14;3900
16;2015;2705;Brown, Donald;RB;sdg;a;oak;14;3000
16;2015;2484;Sproles, Darren;RB;phi;h;was;13.5;4200
16;2015;2901;Robinson, Denard;RB;jac;a;nor;12.1;5400
