Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
3;2014;1409;Luck, Andrew;QB;ind;a;jac;35.3;9200
3;2014;1415;Cousins, Kirk;QB;was;a;phi;31.58;7300
3;2014;1413;Foles, Nick;QB;phi;h;was;29.2;8500
3;2014;1445;Davis, Austin;QB;stl;h;dal;25.98;5400
3;2014;1412;Wilson, Russell;QB;sea;h;den;24.02;6800
3;2014;1081;Manning, Peyton;QB;den;a;sea;24.02;8800
3;2014;1301;Ryan, Matt;QB;atl;h;tam;23.64;7800
3;2014;1242;Fitzpatrick, Ryan;QB;hou;a;nyg;21.96;5400
3;2014;1254;Smith, Alex;QB;kan;a;mia;20.14;6300
3;2014;1426;Smith, Geno;QB;nyj;h;chi;19.64;6100
3;2014;1151;Brees, Drew;QB;nor;h;min;19.52;8900
3;2014;1290;Stanton, Drew;QB;ari;h;sfo;19.36;5000
3;2014;1231;Rivers, Philip;QB;sdg;a;buf;19.34;7100
3;2014;1404;Kaepernick, Colin;QB;sfo;a;ari;19.2;6600
3;2014;1442;Bortles, Blake;QB;jac;h;ind;17.92;5000
3;2014;1263;Cutler, Jay;QB;chi;a;nyj;17.4;8100
3;2014;1225;Manning, Eli;QB;nyg;h;hou;17.26;6300
3;2014;1233;Romo, Tony;QB;dal;a;stl;17.08;6500
3;2014;1336;Hoyer, Brian;QB;cle;h;bal;16;5200
3;2014;1232;Roethlisberger, Ben;QB;pit;a;car;15.94;6800
3;2014;1421;Manuel, E.J.;QB;buf;h;sdg;15.92;5800
3;2014;1403;Dalton, Andy;QB;cin;h;ten;14.86;6600
3;2014;1378;Newton, Cam;QB;car;h;pit;13.7;7400
3;2014;1410;Tannehill, Ryan;QB;mia;h;kan;13.1;6300
3;2014;1131;Brady, Tom;QB;nwe;h;oak;12.66;6900
3;2014;1302;Flacco, Joe;QB;bal;a;cle;12.28;6400
3;2014;1420;Glennon, Mike;QB;tam;a;atl;10.74;5000
3;2014;1252;Rodgers, Aaron;QB;gnb;a;det;10.48;9200
3;2014;1382;Locker, Jake;QB;ten;a;cin;10.4;5500
3;2014;1439;Bridgewater, Teddy;QB;min;a;nor;8.7;5000
3;2014;1340;Stafford, Matthew;QB;det;h;gnb;7.64;8800
3;2014;1239;Anderson, Derek;QB;car;h;pit;7.2;6400
3;2014;1441;Carr, Derek;QB;oak;a;nwe;5.96;6500
3;2014;1241;Cassel, Matt;QB;min;a;nor;2.62;5400
3;2014;1399;Yates, T.J.;QB;atl;h;tam;1.56;5000
3;2014;1309;Henne, Chad;QB;jac;h;ind;1.32;5800
3;2014;1175;McCown, Josh;QB;tam;a;atl;1.32;6000
3;2014;1060;Hasselbeck, Matt;QB;ind;a;jac;0.7;5000
3;2014;1155;Vick, Michael;QB;nyj;h;chi;0.3;5000
3;2014;1438;Manziel, Johnny;QB;cle;h;bal;0;5400
3;2014;1227;McCown, Luke;QB;nor;h;min;0;5000
3;2014;1240;Campbell, Jason;QB;cin;h;ten;-0.12;5000
3;2014;1258;Gradkowski, Bruce;QB;pit;a;car;-0.2;5000
3;2014;2552;Lynch, Marshawn;RB;sea;h;den;27.8;7900
3;2014;2658;Jennings, Rashad;RB;nyg;h;hou;26.6;5200
3;2014;2520;Jackson, Fred;RB;buf;h;sdg;25.2;3900
3;2014;2831;Murray, DeMarco;RB;dal;a;stl;25.1;7900
3;2014;2756;McKnight, Joe;RB;kan;a;mia;24.7;3000
3;2014;2495;Bush, Reggie;RB;det;h;gnb;21.9;5000
3;2014;2891;Davis, Knile;RB;kan;a;mia;21.2;6200
3;2014;2721;Blount, LeGarrette;RB;nwe;h;oak;20.8;3000
3;2014;2888;Bell, Le'Veon;RB;pit;a;car;20.7;7300
3;2014;2859;Miller, Lamar;RB;mia;h;kan;20.2;5000
3;2014;2889;Bernard, Giovani;RB;cin;h;ten;18.4;7300
3;2014;2902;Stacy, Zac;RB;stl;h;dal;17.1;5600
3;2014;2535;Bradshaw, Ahmad;RB;ind;a;jac;16.3;4800
3;2014;2863;Rainey, Bobby;RB;tam;a;atl;15.5;5800
3;2014;2975;Taliaferro, Lorenzo;RB;bal;a;cle;15.1;3000
3;2014;2908;Juszczyk, Kyle;RB;bal;a;cle;14.4;3000
3;2014;2598;Thomas, Pierre;RB;nor;h;min;14.1;4900
3;2014;2705;Brown, Donald;RB;sdg;a;buf;13.9;3500
3;2014;2613;Forte, Matt;RB;chi;a;nyj;13.6;7600
3;2014;2741;Ivory, Chris;RB;nyj;h;chi;13.6;5000
3;2014;2813;Helu, Roy;RB;was;a;phi;12.6;3100
3;2014;2929;West, Terrance;RB;cle;h;bal;12.1;5600
3;2014;2969;Crowell, Isaiah;RB;cle;h;bal;11.5;3000
3;2014;2418;Jackson, Steven;RB;atl;h;tam;11.4;4600
3;2014;2865;Richardson, Trent;RB;ind;a;jac;11;5000
3;2014;2642;Forsett, Justin;RB;bal;a;cle;10.5;5400
3;2014;2892;Ellington, Andre;RB;ari;h;sfo;10.5;5400
3;2014;2603;McFadden, Darren;RB;oak;a;nwe;10.5;4200
3;2014;2873;Asiata, Matt;RB;min;a;nor;10.1;4600
3;2014;2774;Smith, Antone;RB;atl;h;tam;10;3300
3;2014;2928;Hill, Jeremy;RB;cin;h;ten;9.9;4000
3;2014;2960;Blue, Alfred;RB;hou;a;nyg;9.8;3000
3;2014;2709;Greene, Shonn;RB;ten;a;cin;9.3;3300
3;2014;2775;Spiller, C.J.;RB;buf;h;sdg;9.2;6200
3;2014;2933;Hyde, Carlos;RB;sfo;a;ari;9.1;3000
3;2014;2736;Gerhart, Toby;RB;jac;h;ind;8.3;4000
3;2014;2927;Sankey, Bishop;RB;ten;a;cin;8;3100
3;2014;2612;Stewart, Jonathan;RB;car;h;pit;8;4000
3;2014;2854;Gray, Cyrus;RB;kan;a;mia;7.8;3000
3;2014;2830;Vereen, Shane;RB;nwe;h;oak;7.7;5100
3;2014;2871;Morris, Alfred;RB;was;a;phi;7.7;6100
3;2014;2791;Young, Darrel;RB;was;a;phi;7.5;3100
3;2014;2829;Ridley, Stevan;RB;nwe;h;oak;7.1;4700
3;2014;2484;Sproles, Darren;RB;phi;h;was;7;5200
3;2014;2920;Robinson, Khiry;RB;nor;h;min;6.9;3900
3;2014;2805;DiMarco, Patrick;RB;atl;h;tam;6.5;3000
3;2014;2879;Polk, Chris;RB;phi;h;was;6;3000
3;2014;2665;Reece, Marcel;RB;oak;a;nwe;5.6;3000
3;2014;2886;Ball, Montee;RB;den;a;sea;5.4;5900
3;2014;2647;Tolbert, Mike;RB;car;h;pit;5.4;3300
3;2014;2794;Thomas, Daniel;RB;mia;h;kan;4.6;0
3;2014;2881;Grimes, Jonathan;RB;hou;a;nyg;4.6;3000
3;2014;2896;Lacy, Eddie;RB;gnb;a;det;4.5;5900
3;2014;2911;Cunningham, Benny;RB;stl;h;dal;4.4;3100
3;2014;2819;Powell, Bilal;RB;nyj;h;chi;3.9;3000
3;2014;2777;Starks, James;RB;gnb;a;det;3.8;3500
3;2014;2654;Ta'ufo'ou, Will;RB;jac;h;ind;3.6;3000
3;2014;3953;McCluster, Dexter;RB;ten;a;cin;3.5;3500
3;2014;2645;Johnson, Chris;RB;nyj;h;chi;3.4;4500
3;2014;2901;Robinson, Denard;RB;jac;h;ind;3.3;3000
