Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
10;2016;1252;Rodgers, Aaron;QB;gnb;a;ten;32.54;7600
10;2016;1232;Roethlisberger, Ben;QB;pit;h;dal;31.42;6800
10;2016;1412;Wilson, Russell;QB;sea;a;nwe;29.52;6200
10;2016;1466;Mariota, Marcus;QB;ten;h;gnb;28.6;5700
10;2016;1151;Brees, Drew;QB;nor;h;den;26.02;6900
10;2016;1378;Newton, Cam;QB;car;h;kan;24.84;6800
10;2016;1302;Flacco, Joe;QB;bal;h;cle;24.14;6200
10;2016;1231;Rivers, Philip;QB;sdg;h;mia;24.04;6700
10;2016;1404;Kaepernick, Colin;QB;sfo;a;ari;23.9;5800
10;2016;1501;Prescott, Dak;QB;dal;a;pit;22.76;6100
10;2016;1465;Winston, Jameis;QB;tam;h;chi;22.48;6300
10;2016;1344;Bradford, Sam;QB;min;a;was;22.28;5000
10;2016;1207;Palmer, Carson;QB;ari;h;sfo;20.64;6500
10;2016;1225;Manning, Eli;QB;nyg;h;cin;20;5900
10;2016;1442;Bortles, Blake;QB;jac;h;hou;19.7;5500
10;2016;1410;Tannehill, Ryan;QB;mia;a;sdg;19.2;5300
10;2016;1415;Cousins, Kirk;QB;was;h;min;18.38;5400
10;2016;1488;Siemian, Trevor;QB;den;a;nor;16.82;5600
10;2016;1131;Brady, Tom;QB;nwe;h;sea;15.34;7400
10;2016;1414;Osweiler, Brock;QB;hou;a;jac;14.26;5400
10;2016;1301;Ryan, Matt;QB;atl;a;phi;13.68;7300
10;2016;1403;Dalton, Andy;QB;cin;a;nyg;12.66;5800
10;2016;1472;Petty, Bryce;QB;nyj;h;lar;9.52;5000
10;2016;1254;Smith, Alex;QB;kan;a;car;9.42;5400
10;2016;1514;Wentz, Carson;QB;phi;h;atl;9.24;5400
10;2016;1263;Cutler, Jay;QB;chi;a;tam;8.98;5300
10;2016;1492;Kessler, Cody;QB;cle;a;bal;7.94;5000
10;2016;1435;Keenum, Case;QB;lar;a;nyj;7.7;5000
10;2016;1470;Hundley, Brett;QB;gnb;a;ten;0.32;5000
10;2016;1495;Hogan, Kevin;QB;cle;a;bal;0.1;5000
10;2016;1430;Jones, Landry;QB;pit;h;dal;0;5000
10;2016;1420;Glennon, Mike;QB;tam;h;chi;0;5000
10;2016;5071;Webb, Joe;QB;car;h;kan;0;5000
10;2016;1262;Clemens, Kellen;QB;sdg;h;mia;0;5000
10;2016;1401;Mallett, Ryan;QB;bal;h;cle;-0.3;5000
10;2016;1175;McCown, Josh;QB;cle;a;bal;-0.64;5200
10;2016;5444;Elliott, Ezekiel;RB;dal;a;pit;43.9;7900
10;2016;2888;Bell, Le'Veon;RB;pit;h;dal;34.4;7700
10;2016;2754;Mathews, Ryan;RB;phi;h;atl;32.9;3700
10;2016;2831;Murray, DeMarco;RB;ten;h;gnb;31;6900
10;2016;5395;Johnson, David;RB;ari;h;sfo;27.1;8400
10;2016;2721;Blount, LeGarrette;RB;nwe;h;sea;24.9;4900
10;2016;5448;Prosise, C.J.;RB;sea;a;nwe;22.3;3900
10;2016;2819;Powell, Bilal;RB;nyj;h;lar;21.9;5000
10;2016;2991;Gordon, Melvin;RB;sdg;h;mia;18.2;7100
10;2016;2484;Sproles, Darren;RB;phi;h;atl;15.6;4300
10;2016;2957;Williams, Damien;RB;mia;a;sdg;15;3900
10;2016;2658;Jennings, Rashad;RB;nyg;h;cin;13.9;3600
10;2016;2777;Starks, James;RB;gnb;a;ten;13.4;4200
10;2016;5469;Dixon, Kenneth;RB;bal;h;cle;13;3900
10;2016;2613;Forte, Matt;RB;nyj;h;lar;12.9;6100
10;2016;5447;Howard, Jordan;RB;chi;a;tam;12;6000
10;2016;2858;Martin, Doug;RB;tam;h;chi;11.6;5800
10;2016;2930;Freeman, Devonta;RB;atl;a;phi;11.1;6800
10;2016;5468;Booker, Devontae;RB;den;a;nor;10.8;7000
10;2016;2928;Hill, Jeremy;RB;cin;a;nyg;10.6;4400
10;2016;5493;Kelley, Rob;RB;was;h;min;10.5;3600
10;2016;2914;Ware, Spencer;RB;kan;a;car;10.2;6700
10;2016;2998;Ajayi, Jay;RB;mia;a;sdg;9;7000
10;2016;2993;Yeldon, T.J.;RB;jac;h;hou;8.9;3700
10;2016;2929;West, Terrance;RB;bal;h;cle;8.7;5700
10;2016;2873;Asiata, Matt;RB;min;a;was;8.5;3800
10;2016;2969;Crowell, Isaiah;RB;cle;a;bal;8.3;4200
10;2016;2859;Miller, Lamar;RB;hou;a;jac;8.3;6400
10;2016;2793;Ingram, Mark;RB;nor;h;den;8.3;5400
10;2016;2992;Gurley, Todd;RB;lar;a;nyj;8.2;5300
10;2016;2954;White, James;RB;nwe;h;sea;7.7;4500
10;2016;2911;Cunningham, Benny;RB;lar;a;nyj;7.7;3700
