Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
6;2014;1378;Newton, Cam;QB;car;a;cin;38.06;6100
6;2014;1302;Flacco, Joe;QB;bal;a;tam;35.24;6700
6;2014;1131;Brady, Tom;QB;nwe;a;buf;33.74;6000
6;2014;1404;Kaepernick, Colin;QB;sfo;a;stl;32.42;7200
6;2014;1409;Luck, Andrew;QB;ind;a;hou;29.6;9000
6;2014;1231;Rivers, Philip;QB;sdg;a;oak;28.82;8200
6;2014;1441;Carr, Derek;QB;oak;h;sdg;26.48;5200
6;2014;1252;Rodgers, Aaron;QB;gnb;a;mia;25.96;8400
6;2014;1263;Cutler, Jay;QB;chi;a;atl;25.34;8000
6;2014;1403;Dalton, Andy;QB;cin;h;car;24.42;6500
6;2014;1442;Bortles, Blake;QB;jac;a;ten;23.24;5700
6;2014;1420;Glennon, Mike;QB;tam;h;bal;22.56;5900
6;2014;1415;Cousins, Kirk;QB;was;a;ari;22.16;6700
6;2014;1081;Manning, Peyton;QB;den;a;nyj;21.48;9400
6;2014;1410;Tannehill, Ryan;QB;mia;h;gnb;20.66;6100
6;2014;1250;Orton, Kyle;QB;buf;h;nwe;19.96;6000
6;2014;1207;Palmer, Carson;QB;ari;h;was;17.7;6800
6;2014;1233;Romo, Tony;QB;dal;a;sea;16.9;6100
6;2014;1413;Foles, Nick;QB;phi;h;nyg;16.42;6800
6;2014;1426;Smith, Geno;QB;nyj;h;den;15.7;5500
6;2014;1301;Ryan, Matt;QB;atl;h;chi;13.74;8600
6;2014;1232;Roethlisberger, Ben;QB;pit;a;cle;12.82;6500
6;2014;1336;Hoyer, Brian;QB;cle;h;pit;12.68;6100
6;2014;1445;Davis, Austin;QB;stl;h;sfo;12.34;6400
6;2014;1242;Fitzpatrick, Ryan;QB;hou;h;ind;11.98;5300
6;2014;1340;Stafford, Matthew;QB;det;a;min;11.5;8200
6;2014;1412;Wilson, Russell;QB;sea;h;dal;11.24;7600
6;2014;1272;Whitehurst, Charlie;QB;ten;h;jac;9.42;6200
6;2014;1225;Manning, Eli;QB;nyg;a;phi;6.34;7800
6;2014;1439;Bridgewater, Teddy;QB;min;h;det;5.62;6300
6;2014;1422;Nassib, Ryan;QB;nyg;a;phi;2.4;5000
6;2014;1438;Manziel, Johnny;QB;cle;h;pit;0;5000
6;2014;1258;Gradkowski, Bruce;QB;pit;a;cle;0;5000
6;2014;1400;Taylor, Tyrod;QB;bal;a;tam;-0.3;5000
6;2014;2613;Forte, Matt;RB;chi;a;atl;37.7;8800
6;2014;2696;Foster, Arian;RB;hou;h;ind;32.1;8100
6;2014;2831;Murray, DeMarco;RB;dal;a;sea;29.6;7600
6;2014;2889;Bernard, Giovani;RB;cin;h;car;28.7;7700
6;2014;2982;Oliver, Branden;RB;sdg;a;oak;25.4;5500
6;2014;2707;McCoy, LeSean;RB;phi;h;nyg;20.4;6000
6;2014;2779;Tate, Ben;RB;min;h;det;19.8;5500
6;2014;2907;Riddick, Theo;RB;det;a;min;19.1;3000
6;2014;2719;Bell, Joique;RB;det;a;min;17.7;3700
6;2014;2856;Hillman, Ronnie;RB;den;a;nyj;17.6;3000
6;2014;2859;Miller, Lamar;RB;mia;h;gnb;17.3;5800
6;2014;2774;Smith, Antone;RB;atl;h;chi;16.9;3400
6;2014;2892;Ellington, Andre;RB;ari;h;was;15.3;5100
6;2014;2535;Bradshaw, Ahmad;RB;ind;a;hou;14.9;4900
