Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
17;2015;1378;Newton, Cam;QB;car;h;tam;32.72;7500
17;2015;1458;Moore, Kellen;QB;dal;h;was;29.4;5000
17;2015;1232;Roethlisberger, Ben;QB;pit;a;cle;28.76;6900
17;2015;1410;Tannehill, Ryan;QB;mia;h;nwe;26.7;5100
17;2015;1340;Stafford, Matthew;QB;det;a;chi;24.92;6200
17;2015;1301;Ryan, Matt;QB;atl;h;nor;23.36;5500
17;2015;1344;Bradford, Sam;QB;phi;a;nyg;22.6;5300
17;2015;1225;Manning, Eli;QB;nyg;h;phi;22.08;5600
17;2015;1465;Winston, Jameis;QB;tam;a;car;21.4;5300
17;2015;1412;Wilson, Russell;QB;sea;a;ari;21.18;7000
17;2015;1381;Gabbert, Blaine;QB;sfo;h;stl;20.86;5000
17;2015;1151;Brees, Drew;QB;nor;a;atl;19.42;6700
17;2015;1415;Cousins, Kirk;QB;was;a;dal;19.04;5400
17;2015;1400;Taylor, Tyrod;QB;buf;h;nyj;18.38;5300
17;2015;1254;Smith, Alex;QB;kan;h;oak;18.34;5100
17;2015;1231;Rivers, Philip;QB;sdg;a;den;16.62;5300
17;2015;1263;Cutler, Jay;QB;chi;h;det;15.9;5100
17;2015;1252;Rodgers, Aaron;QB;gnb;h;min;14.84;6800
17;2015;1467;McCarron, A.J.;QB;cin;h;bal;14.6;5300
17;2015;1401;Mallett, Ryan;QB;bal;a;cin;14.08;5000
17;2015;1242;Fitzpatrick, Ryan;QB;nyj;a;buf;13.44;5400
17;2015;1336;Hoyer, Brian;QB;hou;h;jac;12.96;5100
17;2015;1441;Carr, Derek;QB;oak;a;kan;11.96;5300
17;2015;1330;Freeman, Josh;QB;ind;h;ten;11.36;0
17;2015;1414;Osweiler, Brock;QB;den;h;sdg;10.28;5100
17;2015;1435;Keenum, Case;QB;stl;a;sfo;9.44;5100
17;2015;1361;McCoy, Colt;QB;was;a;dal;8.82;5000
17;2015;1445;Davis, Austin;QB;cle;h;pit;8.8;5000
17;2015;1207;Palmer, Carson;QB;ari;h;sea;8.16;6500
17;2015;1444;Tanney, Alex;QB;ten;a;ind;7.96;5000
17;2015;1440;Mettenberger, Zach;QB;ten;a;ind;6.92;5100
17;2015;1442;Bortles, Blake;QB;jac;a;hou;6.56;6700
17;2015;1416;Lindley, Ryan;QB;ind;h;ten;6.32;
17;2015;1131;Brady, Tom;QB;nwe;a;mia;5.26;7400
17;2015;1439;Bridgewater, Teddy;QB;min;a;gnb;3.16;5100
17;2015;1081;Manning, Peyton;QB;den;h;sdg;2.56;5800
17;2015;1290;Stanton, Drew;QB;ari;h;sea;1.36;5000
17;2015;1260;Jackson, Tarvaris;QB;sea;a;ari;0.92;5000
17;2015;1452;Garoppolo, Jimmy;QB;nwe;a;mia;0.24;5000
17;2015;1421;Manuel, E.J.;QB;buf;h;nyj;0;5000
17;2015;1241;Cassel, Matt;QB;dal;h;was;0;5000
17;2015;1468;Daniels, B.J.;QB;hou;h;jac;0;5000
17;2015;5071;Webb, Joe;QB;car;h;tam;0;5000
17;2015;1239;Anderson, Derek;QB;car;h;tam;-0.2;5000
17;2015;2658;Jennings, Rashad;RB;nyg;h;phi;28.6;3700
17;2015;2856;Hillman, Ronnie;RB;den;h;sdg;23.7;4200
17;2015;2802;Harris, DuJuan;RB;sfo;h;stl;23.3;3500
17;2015;2604;Hightower, Tim;RB;nor;a;atl;21.7;5500
17;2015;2881;Grimes, Jonathan;RB;hou;h;jac;21.4;3000
17;2015;2613;Forte, Matt;RB;chi;h;det;20;6200
17;2015;2928;Hill, Jeremy;RB;cin;h;bal;19.5;4700
17;2015;2603;McFadden, Darren;RB;dal;h;was;18.5;4900
17;2015;2931;Sims, Charles;RB;tam;a;car;17.9;3900
17;2015;2858;Martin, Doug;RB;tam;a;car;17.8;6700
17;2015;2930;Freeman, Devonta;RB;atl;h;nor;16.9;7600
17;2015;2924;Anderson, C.J.;RB;den;h;sdg;15;3700
17;2015;2830;Vereen, Shane;RB;nyg;h;phi;14.4;3800
17;2015;2960;Blue, Alfred;RB;hou;h;jac;14.4;3700
17;2015;2689;Woodhead, Danny;RB;sdg;a;den;14.2;5000
