Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
15;2015;1378;Newton, Cam;QB;car;a;nyg;48.6;7800
15;2015;1415;Cousins, Kirk;QB;was;h;buf;38.86;5200
15;2015;1439;Bridgewater, Teddy;QB;min;h;chi;32.94;5100
15;2015;1414;Osweiler, Brock;QB;den;a;pit;30.74;5100
15;2015;1151;Brees, Drew;QB;nor;h;det;29.74;6600
15;2015;1232;Roethlisberger, Ben;QB;pit;h;den;27.9;6400
15;2015;1400;Taylor, Tyrod;QB;buf;a;was;27.3;5600
15;2015;1412;Wilson, Russell;QB;sea;h;cle;26.56;7000
15;2015;1231;Rivers, Philip;QB;sdg;h;mia;25.44;5500
15;2015;1442;Bortles, Blake;QB;jac;h;atl;25.28;6100
15;2015;1225;Manning, Eli;QB;nyg;h;car;25.2;5600
15;2015;1465;Winston, Jameis;QB;tam;a;stl;24.02;5500
15;2015;1344;Bradford, Sam;QB;phi;h;ari;22.84;5100
15;2015;1340;Stafford, Matthew;QB;det;a;nor;22.06;6100
15;2015;1441;Carr, Derek;QB;oak;h;gnb;21.24;5600
15;2015;1350;Clausen, Jimmy;QB;bal;h;kan;20.24;5000
15;2015;1131;Brady, Tom;QB;nwe;h;ten;18.68;7800
15;2015;1435;Keenum, Case;QB;stl;h;tam;17.06;5000
15;2015;1242;Fitzpatrick, Ryan;QB;nyj;a;dal;16.26;5400
15;2015;1440;Mettenberger, Zach;QB;ten;a;nwe;16.18;5000
15;2015;1263;Cutler, Jay;QB;chi;a;min;15.34;5300
15;2015;1410;Tannehill, Ryan;QB;mia;a;sdg;15.04;5100
15;2015;1207;Palmer, Carson;QB;ari;a;phi;14.96;7000
15;2015;1381;Gabbert, Blaine;QB;sfo;h;cin;13.8;5100
15;2015;1301;Ryan, Matt;QB;atl;a;jac;12.84;5700
15;2015;1254;Smith, Alex;QB;kan;a;bal;12.54;5100
15;2015;1467;McCarron, A.J.;QB;cin;a;sfo;11.88;5400
15;2015;1438;Manziel, Johnny;QB;cle;a;sea;11.14;5100
15;2015;1252;Rodgers, Aaron;QB;gnb;a;oak;11.06;7400
15;2015;1060;Hasselbeck, Matt;QB;ind;h;hou;8.98;5000
15;2015;1411;Weeden, Brandon;QB;hou;a;ind;8.8;5000
15;2015;1458;Moore, Kellen;QB;dal;h;nyj;7.32;5000
15;2015;1399;Yates, T.J.;QB;hou;a;ind;2.42;5000
15;2015;1421;Manuel, E.J.;QB;buf;a;was;0.6;5000
15;2015;1272;Whitehurst, Charlie;QB;ind;h;hou;0.52;5000
15;2015;1241;Cassel, Matt;QB;dal;h;nyj;0.48;5100
15;2015;1466;Mariota, Marcus;QB;ten;a;nwe;0.28;5500
15;2015;1339;Sanchez, Mark;QB;phi;h;ari;0;5000
15;2015;5071;Webb, Joe;QB;car;a;nyg;0;5000
15;2015;1488;Siemian, Trevor;QB;den;a;pit;-0.1;5000
15;2015;1260;Jackson, Tarvaris;QB;sea;h;cle;-0.1;5000
15;2015;1262;Clemens, Kellen;QB;sdg;h;mia;-0.1;5000
15;2015;1334;Daniel, Chase;QB;kan;a;bal;-0.2;5000
15;2015;1290;Stanton, Drew;QB;ari;a;phi;-0.2;5000
15;2015;5395;Johnson, David;RB;ari;a;phi;47.9;5700
15;2015;2689;Woodhead, Danny;RB;sdg;h;mia;36;4200
15;2015;2930;Freeman, Devonta;RB;atl;a;jac;23.1;7500
15;2015;2613;Forte, Matt;RB;chi;a;min;22.4;6500
15;2015;2830;Vereen, Shane;RB;nyg;h;car;21.2;3700
15;2015;2819;Powell, Bilal;RB;nyj;a;dal;20.9;3600
15;2015;2954;White, James;RB;nwe;h;ten;20.7;4600
15;2015;2658;Jennings, Rashad;RB;nyg;h;car;19.7;3500
15;2015;2935;McKinnon, Jerick;RB;min;h;chi;18.6;3000
15;2015;2719;Bell, Joique;RB;det;a;nor;18.1;4100
15;2015;2500;Williams, DeAngelo;RB;pit;h;den;16.6;6600
15;2015;2987;West, Charcandrick;RB;kan;a;bal;16.5;4800
15;2015;2603;McFadden, Darren;RB;dal;h;nyj;16.3;4900
15;2015;2894;Gillislee, Mike;RB;buf;a;was;16.3;3000
15;2015;2992;Gurley, Todd;RB;stl;h;tam;15.9;6700
15;2015;2995;Abdullah, Ameer;RB;det;a;nor;15.9;3900
15;2015;2901;Robinson, Denard;RB;jac;h;atl;15.4;4600
15;2015;2928;Hill, Jeremy;RB;cin;a;sfo;14.1;5000
15;2015;2908;Juszczyk, Kyle;RB;bal;h;kan;13.6;3000
15;2015;2997;Johnson, Duke;RB;cle;a;sea;13.5;3500
15;2015;2960;Blue, Alfred;RB;hou;a;ind;12.7;3700
15;2015;2705;Brown, Donald;RB;sdg;h;mia;12.4;3000
15;2015;2940;Andrews, Antonio;RB;ten;a;nwe;12;3600
15;2015;2604;Hightower, Tim;RB;nor;h;det;11.5;3900
15;2015;2999;Artis-Payne, Cameron;RB;car;a;nyg;11.3;3000
15;2015;2998;Ajayi, Jay;RB;mia;a;sdg;11.2;3000
15;2015;5426;Gaskins, Kendall;RB;sfo;h;cin;11.2;3000
15;2015;2858;Martin, Doug;RB;tam;a;stl;10.7;6600
15;2015;2931;Sims, Charles;RB;tam;a;stl;10.2;3300
15;2015;2889;Bernard, Giovani;RB;cin;a;sfo;9.1;4500
15;2015;5415;Burton, Michael;RB;det;a;nor;9;3000
15;2015;2899;Murray, Latavius;RB;oak;h;gnb;9;4500
15;2015;2898;Michael, Christine;RB;sea;h;cle;8.4;0
15;2015;2871;Morris, Alfred;RB;was;h;buf;8.4;3600
15;2015;2834;Miller, Bruce;RB;sfo;h;cin;8.3;3000
15;2015;2912;Line, Zach;RB;min;h;chi;7.7;3000
15;2015;2869;Cadet, Travaris;RB;nor;h;det;7.6;3000
15;2015;2874;Bolden, Brandon;RB;nwe;h;ten;7.4;3200
15;2015;2549;Kuhn, John;RB;gnb;a;oak;7.2;3000
15;2015;2467;Gore, Frank;RB;ind;h;hou;6.9;4000
15;2015;2665;Reece, Marcel;RB;oak;h;gnb;6.7;3000
15;2015;5371;Langford, Jeremy;RB;chi;a;min;6.7;3900
15;2015;2929;West, Terrance;RB;bal;h;kan;6.6;3500
15;2015;2553;Peterson, Adrian;RB;min;h;chi;6.3;7100
15;2015;2754;Mathews, Ryan;RB;phi;h;ari;6.1;4000
15;2015;2969;Crowell, Isaiah;RB;cle;a;sea;6;4000
15;2015;2991;Gordon, Melvin;RB;sdg;h;mia;5.7;3800
15;2015;2918;Williams, Kerwynn;RB;ari;a;phi;5.6;3000
15;2015;2777;Starks, James;RB;gnb;a;oak;5.6;4400
15;2015;2484;Sproles, Darren;RB;phi;h;ari;5.5;4200
15;2015;5431;Hunt, Akeem;RB;hou;a;ind;5.4;3000
15;2015;2927;Sankey, Bishop;RB;ten;a;nwe;5.3;3000
15;2015;2741;Ivory, Chris;RB;nyj;a;dal;5.2;5200
15;2015;2875;Draughn, Shaun;RB;sfo;h;cin;5.2;4600
15;2015;5438;Iosefa, Joey;RB;nwe;h;ten;5.1;0
15;2015;2907;Riddick, Theo;RB;det;a;nor;5;4000
15;2015;2707;McCoy, LeSean;RB;buf;a;was;4.7;6300
15;2015;3552;Jones, Matt;RB;was;h;buf;4.6;4000
15;2015;2859;Miller, Lamar;RB;mia;a;sdg;4.4;6300
15;2015;2873;Asiata, Matt;RB;min;h;chi;4.4;3000
15;2015;2851;Brown, Bryce;RB;sea;h;cle;4.3;0
15;2015;5372;Williams, Karlos;RB;buf;a;was;4.1;3600
15;2015;2972;Carey, Ka'Deem;RB;chi;a;min;3.8;3000
15;2015;2775;Spiller, C.J.;RB;nor;h;det;3.8;3200
15;2015;2856;Hillman, Ronnie;RB;den;a;pit;3.8;4300
15;2015;2520;Jackson, Fred;RB;sea;h;cle;3.7;4400
15;2015;2916;Whittaker, Fozzy;RB;car;a;nyg;3.6;3000
15;2015;2957;Williams, Damien;RB;mia;a;sdg;3.2;3000
15;2015;2924;Anderson, C.J.;RB;den;a;pit;3;4000
15;2015;2994;Coleman, Tevin;RB;atl;a;jac;2.3;3500
15;2015;2896;Lacy, Eddie;RB;gnb;a;oak;2.3;5200
15;2015;2934;Williams, Andre;RB;nyg;h;car;2.1;3000
15;2015;2730;Dixon, Anthony;RB;buf;a;was;1.9;3000
15;2015;5413;Fowler, Jalston;RB;ten;a;nwe;1.8;3000
15;2015;5439;Magee, Terrence;RB;bal;h;kan;1.7;0
15;2015;2855;Herron, Dan;RB;ind;h;hou;1.6;3500
15;2015;2791;Young, Darrel;RB;was;h;buf;1.6;3000
15;2015;2979;Johnson, Austin;RB;nor;h;det;1.6;3000
15;2015;2891;Davis, Knile;RB;kan;a;bal;1.4;3000
15;2015;2932;Mason, Tre;RB;stl;h;tam;1.3;3000
15;2015;2903;Taylor, Stepfan;RB;ari;a;phi;1.1;3000
15;2015;2829;Ridley, Stevan;RB;nyj;a;dal;1.1;3000
15;2015;2647;Tolbert, Mike;RB;car;a;nyg;1;3000
15;2015;2909;Coleman, Derrick;RB;sea;h;cle;1;3500
15;2015;2996;Cobb, David;RB;ten;a;nwe;0.9;3200
15;2015;2911;Cunningham, Benny;RB;stl;h;tam;0.8;3000
15;2015;5370;Allen, Javorius;RB;bal;h;kan;0.8;4500
15;2015;2879;Polk, Chris;RB;hou;a;ind;0.6;3600
15;2015;2988;Tipton, Zurlon;RB;ind;h;hou;0.4;3200
15;2015;2831;Murray, DeMarco;RB;phi;h;ari;0.3;4000
15;2015;2814;Hunter, Kendall;RB;nor;h;det;0.2;0
15;2015;2980;Prosch, Jay;RB;hou;a;ind;0.2;3000
15;2015;2881;Grimes, Jonathan;RB;hou;a;ind;0.1;3000
15;2015;2867;Turbin, Robert;RB;dal;h;nyj;0.1;3500
15;2015;5414;Mostert, Raheem;RB;cle;a;sea;0;3000
15;2015;2986;Tukuafu, Will;RB;sea;h;cle;0;3000
15;2015;2890;Burkhead, Rex;RB;cin;a;sfo;0;3000
15;2015;2976;Darkwa, Orleans;RB;nyg;h;car;0;3300
15;2015;2877;Johnson, Will;RB;pit;h;den;0;3000
15;2015;2919;Reynolds, Chase;RB;stl;h;tam;0;3000
15;2015;2887;Barner, Kenjon;RB;phi;h;ari;0;3000
15;2015;2910;Bohanon, Tommy;RB;nyj;a;dal;0;3000
15;2015;2822;Sherman, Anthony;RB;kan;a;bal;0;3000
15;2015;2914;Ware, Spencer;RB;kan;a;bal;0;4000
15;2015;2863;Rainey, Bobby;RB;tam;a;stl;0;3000
15;2015;2878;Lane, Jorvorskie;RB;tam;a;stl;0;3000
15;2015;2598;Thomas, Pierre;RB;was;h;buf;0;3000
15;2015;5403;Nix, Roosevelt;RB;pit;h;den;0;3000
15;2015;2624;Felton, Jerome;RB;buf;a;was;0;3000
15;2015;2965;Thompson, Juwan;RB;den;a;pit;0;3000
15;2015;2905;Banyard, Joe;RB;jac;h;atl;0;3000
15;2015;2820;Jones, Taiwan;RB;oak;h;gnb;0;3000
15;2015;3191;Smith, Rod;RB;dal;h;nyj;0;3000
15;2015;2805;DiMarco, Patrick;RB;atl;a;jac;0;3000
15;2015;2692;Peerman, Cedric;RB;cin;a;sfo;0;3000
15;2015;2824;Clutts, Tyler;RB;dal;h;nyj;0;3000
15;2015;5406;Ripkowski, Aaron;RB;gnb;a;oak;0;3000
15;2015;2990;Toussaint, Fitzgerald;RB;pit;h;den;0;3000
15;2015;2913;Olawale, Jamize;RB;oak;h;gnb;0;3000
15;2015;3953;McCluster, Dexter;RB;ten;a;nwe;0;3000
15;2015;3474;Brown, Antonio;WR;pit;h;den;49.9;8700
15;2015;3983;Sanders, Emmanuel;WR;den;a;pit;39.5;5500
15;2015;5376;Cooper, Amari;WR;oak;h;gnb;33;6000
15;2015;5254;Matthews, Jordan;WR;phi;h;ari;32.9;4300
15;2015;5255;Cooks, Brandin;WR;nor;h;det;31.4;5900
15;2015;5252;Watkins, Sammy;WR;buf;a;was;31.1;6200
