Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2016-09-22, Texans, Patriots, +1.0, -1.0, +39.5
2016-09-25, Raiders, Titans, -1.5, +1.5, +47.5
2016-09-25, Cardinals, Bills, -5.0, +5.0, +48.0
2016-09-25, Ravens, Jaguars, -2.5, +2.5, +45.5
2016-09-25, Redskins, Giants, +3.5, -3.5, +46.5
2016-09-25, 49ers, Seahawks, +10.0, -10.0, +41.5
2016-09-25, Rams, Buccaneers, +3.5, -3.5, +41.0
2016-09-25, Jets, Chiefs, +3.0, -3.0, +44.0
2016-09-25, Chargers, Colts, +2.0, -2.0, +51.0
2016-09-25, Lions, Packers, +6.0, -6.0, +47.0
2016-09-25, Vikings, Panthers, +6.5, -6.5, +43.0
2016-09-25, Browns, Dolphins, +9.5, -9.5, +41.5
2016-09-25, Steelers, Eagles, -4.0, +4.0, +46.0
2016-09-25, Bears, Cowboys, +6.5, -6.5, +45.0
2016-09-25, Broncos, Bengals, +3.5, -3.5, +42.0
2016-09-26, Falcons, Saints, +3.0, -3.0, +53.0
