Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
9/3/15, Bengals, Colts,-2.5,2.5,39
9/3/15, Eagles, Jets,-5.5,5.5,44
9/3/15, Buccaneers, Dolphins,3.5,-3.5,37.5
9/3/15, Saints, Packers,-1.5,1.5,39.5
9/3/15, Bills, Lions,1,-1,38
9/3/15, Panthers, Steelers,1,-1,40
9/3/15, Jaguars, Redskins,4.5,-4.5,40
9/3/15, Vikings, Titans,2,-2,38.5
9/3/15, Chiefs, Rams,2.5,-2.5,39
9/3/15, Texans, Cowboys,-4,4,39
9/3/15, Browns, Bears,1,-1,38
9/3/15, Cardinals, Broncos,6,-6,38
9/3/15, Chargers, 49ers,3,-3,37
9/3/15, Raiders, Seahawks,3.5,-3.5,38
9/3/15, Ravens, Falcons,1,-1,39.5
9/3/15, Giants, Patriots,3,-3,40
9/10/15, Steelers, Patriots,7,-7,50.5
9/13/15, Packers, Bears,-6,6,48.5
9/13/15, Chiefs, Texans,-1.5,1.5,41
9/13/15, Browns, Jets,3.5,-3.5,39
9/13/15, Colts, Bills,1,-1,44.5
9/13/15, Dolphins, Redskins,-3.5,3.5,45.5
9/13/15, Panthers, Jaguars,-3,3,41
9/13/15, Seahawks, Rams,-3.5,3.5,42
9/13/15, Saints, Cardinals,2.5,-2.5,48.5
9/13/15, Lions, Chargers,3.5,-3.5,45
9/13/15, Titans, Buccaneers,3,-3,40.5
9/13/15, Bengals, Raiders,-3,3,43
9/13/15, Ravens, Broncos,4.5,-4.5,46.5
9/13/15, Giants, Cowboys,6.5,-6.5,52
9/14/15, Eagles, Falcons,-3,3,55
9/14/15, Vikings, 49ers,-2.5,2.5,41.5
9/17/15, Broncos, Chiefs,3,-3,42
9/20/15, Texans, Panthers,3,-3,41.5
9/20/15, Buccaneers, Saints,8.5,-8.5,47
9/20/15, Patriots, Bills,1.5,-1.5,45
9/20/15, Cardinals, Bears,-2,2,45.5
9/20/15, Titans, Browns,1,-1,41
9/20/15, Chargers, Bengals,3.5,-3.5,47.5
9/20/15, Rams, Redskins,-3.5,3.5,41.5
9/20/15, Dolphins, Jaguars,-6,6,42.5
9/20/15, Seahawks, Packers,3,-3,49
9/20/15, 49ers, Steelers,5.5,-5.5,46
9/20/15, Lions, Vikings,2.5,-2.5,44
9/20/15, Falcons, Giants,1.5,-1.5,49
9/20/15, Cowboys, Eagles,7,-7,54
9/20/15, Ravens, Raiders,-5,5,42.5
9/21/15, Jets, Colts,6,-6,45
9/24/15, Chargers, Vikings,2,-2,45
9/24/15, Buccaneers, Texans,6.5,-6.5,40.5
9/24/15, Saints, Panthers,3.5,-3.5,45
9/24/15, Jaguars, Patriots,13.5,-13.5,47
9/24/15, Bengals, Ravens,3,-3,44.5
9/24/15, Raiders, Browns,4.5,-4.5,41.5
9/24/15, 49ers, Cardinals,6.5,-6.5,43.5
9/24/15, Bills, Dolphins,3,-3,43.5
9/24/15, Redskins, Giants,3.5,-3.5,44
9/27/15, Steelers, Rams,1,-1,48.5
9/27/15, Chargers, Vikings,2.5,-2.5,45.5
9/27/15, Buccaneers, Texans,5.5,-5.5,41
9/27/15, Saints, Panthers,10,-10,43
9/27/15, Jaguars, Patriots,13.5,-13.5,49
9/27/15, Bengals, Ravens,1.5,-1.5,45.5
9/27/15, Raiders, Browns,3.5,-3.5,43
9/27/15, 49ers, Cardinals,6.5,-6.5,44.5
9/27/15, Bills, Dolphins,1.5,-1.5,43.5
9/27/15, Falcons, Cowboys,-1,1,43
9/27/15, Eagles, Jets,3,-3,47
9/27/15, Colts, Titans,-3.5,3.5,46.5
9/27/15, Bears, Seahawks,15.5,-15.5,43.5
9/27/15, Broncos, Lions,-3,3,44.5
9/28/15, Chiefs, Packers,4.5,-4.5,47
10/1/15, Ravens, Steelers,-3,3,44
10/4/15, Jets, Dolphins,-2.5,2.5,42.5
10/4/15, Jaguars, Colts,4.5,-4.5,43.5
10/4/15, Panthers, Buccaneers,-3,3,40.5
10/4/15, Giants, Bills,6,-6,46.5
10/4/15, Eagles, Redskins,-3,3,46.5
10/4/15, Browns, Chargers,5,-5,44.5
10/4/15, Rams, Cardinals,7,-7,43.5
10/4/15, Texans, Falcons,4,-4,47
10/4/15, Raiders, Bears,-3,3,44.5
10/4/15, Vikings, Broncos,6.5,-6.5,43
10/4/15, Chiefs, Bengals,3,-3,44.5
10/4/15, Packers, 49ers,-7,7,48
10/4/15, Cowboys, Saints,3,-3,49.5
10/5/15, Lions, Seahawks,10,-10,43
10/8/15, Colts, Texans,5,-5,40.5
10/11/15, Jaguars, Buccaneers,2,-2,41.5
10/11/15, Bills, Titans,1,-1,43
10/11/15, Browns, Ravens,6.5,-6.5,43
10/11/15, Redskins, Falcons,7,-7,48
10/11/15, Bears, Chiefs,10,-10,44.5
10/11/15, Rams, Packers,9.5,-9.5,45
10/11/15, Broncos, Raiders,-4.5,4.5,45
10/11/15, 49ers, Giants,7,-7,43.5
10/11/15, Saints, Eagles,6.5,-6.5,49
10/11/15, Patriots, Cowboys,-8,8,50.5
10/11/15, Seahawks, Bengals,3,-3,44
10/11/15, Cardinals, Lions,-4,4,46
10/12/15, Steelers, Chargers,4,-4,45.5
10/15/15, Falcons, Saints,-3.5,3.5,51.5
10/18/15, Broncos, Browns,-3.5,3.5,42
10/18/15, Chiefs, Vikings,3.5,-3.5,43
10/18/15, Texans, Jaguars,1,-1,43
10/18/15, Bears, Lions,3.5,-3.5,44
10/18/15, Redskins, Jets,6.5,-6.5,40.5
10/18/15, Dolphins, Titans,1,-1,43.5
10/18/15, Panthers, Seahawks,6.5,-6.5,41
10/18/15, Bengals, Bills,-3,3,43
10/18/15, Ravens, 49ers,-2,2,43
10/18/15, Cardinals, Steelers,-3.5,3.5,45
10/18/15, Chargers, Packers,10,-10,50.5
10/18/15, Patriots, Colts,-9.5,9.5,54
10/19/15, Giants, Eagles,3.5,-3.5,51
10/22/15, Seahawks, 49ers,-6.5,6.5,42
