Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
11/17/16, Saints, Panthers,3.5,-3.5,52.5
11/20/16, Titans, Colts,3,-3,53.5
11/20/16, Jaguars, Lions,6,-6,47
11/20/16, Buccaneers, Chiefs,7,-7,44.5
11/20/16, Cardinals, Vikings,2.5,-2.5,40
11/20/16, Ravens, Cowboys,7,-7,44.5
11/20/16, Steelers, Browns,-8.5,8.5,44.5
11/20/16, Dolphins, Rams,1,-1,39.5
11/20/16, Packers, Redskins,3,-3,47.5
11/20/16, Patriots, 49ers,-11,11,51.5
11/20/16, Eagles, Seahawks,6.5,-6.5,43
11/20/16, Bears, Giants,7,-7,41.5
11/20/16, Bills, Bengals,2,-2,48
11/21/16, Texans, Raiders,6.5,-6.5,45
