,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points,mean_receiving_rec_last_4_weeks,mean_receiving_tar_last_4_weeks,mean_receiving_tds_last_4_weeks,mean_receiving_twopta_last_4_weeks,mean_receiving_twoptm_last_4_weeks,mean_receiving_yac_last_4_weeks,mean_receiving_yds_last_4_weeks,mean_fumbles_total_last_4_weeks,mean_fumble_rec_tds_last_4_weeks,mean_kicking_rec_tds_last_4_weeks,mean_kickret_tds_last_4_weeks,mean_puntret_tds_last_4_weeks,mean_rushing_att_last_4_weeks,mean_rushing_yds_last_4_weeks,mean_rushing_tds_last_4_weeks,mean_rushing_loss_yards_last_4_weeks,mean_rushing_twoptm_last_4_weeks,mean_team_score_last_4_weeks,mean_opp_score_last_4_weeks,mean_total_points_last_4_weeks,mean_rec_percentage_last_4_weeks,mean_score_percentage_last_4_weeks,mean_yds_per_rec_last_4_weeks,mean_yds_per_rush_last_4_weeks,opp_fp_allowed_last_week,opp_fp_allowed_last_4_weeks
25,2009,Regular,1,SD,Vincent Jackson,WR,5,7,1,0,0,16,56,0,0,0,0,0,0,0,0,0,0,24,20,OAK,0,6,0.714285714286,0.25,11.2,0.0,16.6,5.0,7.0,1.0,0.0,0.0,16.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,6.0,0.714285714286,0.25,11.2,0.0,0.0,16.6
26,2009,Regular,1,PIT,Mike Wallace,WR,3,6,0,0,0,13,32,0,0,0,0,0,0,0,0,0,0,13,10,TEN,1,0,0.5,0.0,10.6666666667,0.0,6.2,3.0,6.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.5,0.0,10.6666666667,0.0,0.0,6.2
27,2009,Regular,1,TEN,Kenny Britt,WR,4,6,0,0,0,22,85,0,0,0,0,0,0,0,0,0,0,10,13,PIT,0,0,0.666666666667,0.0,21.25,0.0,12.5,4.0,6.0,0.0,0.0,0.0,22.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.666666666667,0.0,21.25,0.0,0.0,12.5
47,2009,Regular,2,CAR,Steve Smith,WR,8,15,0,0,0,32,131,0,0,0,0,0,0,0,0,0,0,20,28,ATL,0,0,0.533333333333,0.0,16.375,0.0,24.1,3.0,13.0,0.0,0.0,0.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,10.0,38.0,0.0,0.230769230769,0.0,7.0,4.0,,5.5
48,2009,Regular,2,CHI,Devin Hester,WR,4,7,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,17,14,PIT,1,0,0.571428571429,0.0,5.25,0.0,6.1,4.0,4.0,1.0,0.0,0.0,34.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,6.0,1.0,0.4,22.5,0.0,,12.5
49,2009,Regular,2,PIT,Mike Wallace,WR,2,3,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,14,17,CHI,0,0,0.666666666667,0.0,6.5,0.0,3.3,3.0,6.0,0.0,0.0,0.0,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.5,0.0,10.6666666667,0.0,0.0,8.25
50,2009,Regular,2,DEN,Brandon Marshall,WR,3,6,0,0,0,11,34,0,0,0,0,0,1,14,0,0,0,27,6,CLE,1,0,0.5,0.0,11.3333333333,14.0,7.8,4.0,7.0,0.0,1.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.571428571429,0.0,6.75,0.0,,14.8
51,2009,Regular,2,DEN,Eddie Royal,WR,3,9,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,27,6,CLE,1,0,0.333333333333,0.0,6.66666666667,0.0,5.0,2.0,4.0,0.0,0.0,0.0,25.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.5,0.0,9.0,0.0,,14.8
52,2009,Regular,2,MIN,Percy Harvin,WR,5,5,1,0,0,34,41,0,0,0,0,0,2,14,0,0,0,27,13,DET,0,6,1.0,0.222222222222,8.2,7.0,16.5,3.0,4.0,1.0,0.0,0.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,34.0,20.0,6.0,0.75,0.176470588235,12.0,11.0,0.0,9.4
53,2009,Regular,2,GB,Jordy Nelson,WR,1,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,24,31,CIN,1,0,1.0,0.0,11.0,0.0,2.1,1.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,0.0,1.0,0.0,11.0,0.0,,6.7
