,season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,puntret_tds,kickret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points,mean_receiving_rec_last_4_weeks,mean_receiving_tar_last_4_weeks,mean_receiving_tds_last_4_weeks,mean_receiving_twopta_last_4_weeks,mean_receiving_twoptm_last_4_weeks,mean_receiving_yac_last_4_weeks,mean_receiving_yds_last_4_weeks,mean_fumbles_total_last_4_weeks,mean_fumble_rec_tds_last_4_weeks,mean_kicking_rec_tds_last_4_weeks,mean_puntret_tds_last_4_weeks,mean_kickret_tds_last_4_weeks,mean_rushing_att_last_4_weeks,mean_rushing_yds_last_4_weeks,mean_rushing_tds_last_4_weeks,mean_rushing_loss_yards_last_4_weeks,mean_rushing_twoptm_last_4_weeks,mean_team_score_last_4_weeks,mean_opp_score_last_4_weeks,mean_total_points_last_4_weeks,mean_rec_percentage_last_4_weeks,mean_score_percentage_last_4_weeks,mean_yds_per_rec_last_4_weeks,mean_yds_per_rush_last_4_weeks,opp_fp_allowed_last_week,opp_fp_allowed_last_4_weeks
24,2009,Regular,1,DAL,Martellus Bennett,TE,1,2,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,34,21,TB,0,0,0.5,0.0,13.0,0.0,2.3,1.0,2.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.5,0.0,13.0,0.0,0.0,12.1
42,2009,Regular,2,CHI,Greg Olsen,TE,3,6,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,17,14,PIT,1,0,0.5,0.0,13.6666666667,0.0,7.1,1.0,6.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,0.166666666667,0.0,8.0,0.0,0.0,7.775
43,2009,Regular,2,CHI,Kellen Davis,TE,5,6,1,0,0,9,38,0,0,0,0,0,0,0,0,0,0,17,14,PIT,1,6,0.833333333333,0.352941176471,7.6,0.0,14.8,5.0,6.0,1.0,0.0,0.0,9.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,6.0,0.833333333333,0.352941176471,7.6,0.0,0.0,7.775
44,2009,Regular,2,DAL,Jason Witten,TE,5,7,1,0,0,7,33,0,0,0,0,0,0,0,0,0,0,31,33,NYG,1,6,0.714285714286,0.193548387097,6.6,0.0,14.3,5.0,7.0,0.0,0.0,0.0,39.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.714285714286,0.0,14.2,0.0,0.0,4.825
45,2009,Regular,2,DAL,Martellus Bennett,TE,1,4,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,31,33,NYG,1,0,0.25,0.0,11.0,0.0,2.1,1.0,2.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.5,0.0,13.0,0.0,0.0,4.825
46,2009,Regular,2,JAC,Marcedes Lewis,TE,3,5,1,0,0,21,62,0,0,0,0,0,0,0,0,0,0,17,31,ARI,1,6,0.6,0.352941176471,20.6666666667,0.0,15.2,3.0,6.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.5,0.0,7.66666666667,0.0,,2.7
47,2009,Regular,2,MIA,Anthony Fasano,TE,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,23,27,IND,1,0,0.5,0.0,1.0,0.0,1.1,2.0,3.0,0.0,0.0,0.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,0.0,0.666666666667,0.0,5.0,0.0,,5.3
48,2009,Regular,2,NE,Benjamin Watson,TE,3,4,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,9,16,NYJ,0,0,0.75,0.0,7.66666666667,0.0,5.3,6.0,7.0,2.0,1.0,0.0,17.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,12.0,0.857142857143,0.48,12.8333333333,0.0,0.0,7.25
49,2009,Regular,2,PHI,Brent Celek,TE,8,11,0,0,0,41,104,0,0,0,0,0,0,0,0,0,0,22,48,NO,1,0,0.727272727273,0.0,13.0,0.0,21.4,6.0,7.0,1.0,0.0,0.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,10.0,6.0,0.857142857143,0.157894736842,6.16666666667,0.0,0.0,4.75
50,2009,Regular,2,SD,Antonio Gates,TE,5,7,0,0,0,22,78,1,0,0,0,0,0,0,0,0,0,26,31,BAL,1,0,0.714285714286,0.0,15.6,0.0,11.8,5.0,9.0,0.0,0.0,0.0,12.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.555555555556,0.0,16.6,0.0,0.0,5.9
