season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
2016,Preseason,1,UNK,28,DAL,24,DAL,0,0,0,0,0,1,0,0,2,0,0,0,0,1.0,0
2016,Preseason,1,ATL,23,WAS,17,WAS,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Preseason,1,CHI,0,DEN,22,CHI,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,1,HOU,23,CHI,14,CHI,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Regular,1,SF,28,LA,0,LA,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Preseason,1,UNK,28,DAL,24,UNK,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,1,PHI,29,CLE,10,PHI,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,1,KC,33,SD,27,SD,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,1,SEA,12,MIA,10,SEA,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Regular,1,NYJ,22,CIN,23,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0
2016,Preseason,2,BUF,21,NYG,0,NYG,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,2,CAR,46,SF,27,CAR,1,0,1,1,0,0,0,0,2,0,0,0,0,2.0,0
2016,Regular,2,LA,9,SEA,3,LA,2,0,2,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,2,PIT,24,CIN,16,PIT,1,0,2,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,2,DET,15,TEN,16,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
2016,Regular,2,WAS,23,DAL,27,DAL,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,2,DET,14,CIN,30,CIN,1,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0
2016,Preseason,2,IND,18,BAL,19,BAL,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,2,WAS,22,NYJ,18,WAS,3,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,2,WAS,23,DAL,27,WAS,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Regular,2,BUF,31,NYJ,37,BUF,2,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,2,IND,18,BAL,19,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Preseason,2,NE,23,CHI,22,NE,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Preseason,2,DEN,24,SF,31,SF,2,0,2,0,0,0,0,0,2,1,0,0,0,6.0,0
2016,Preseason,2,BUF,21,NYG,0,BUF,2,0,2,0,0,0,0,0,2,0,0,0,0,3.0,0
2016,Regular,2,CLE,20,BAL,25,BAL,1,0,0,0,0,0,0,0,2,0,0,0,0,3.0,1
2016,Preseason,2,SD,19,ARI,3,SD,0,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0
2016,Preseason,2,TEN,16,CAR,26,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Preseason,2,DAL,41,MIA,14,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,2,OAK,28,ATL,35,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,2,DEN,24,SF,31,DEN,3,0,3,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,2,ARI,40,TB,7,ARI,0,0,1,0,0,0,0,0,4,1,0,0,0,2.0,0
2016,Regular,2,PIT,24,CIN,16,CIN,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0
2016,Preseason,2,CLE,13,ATL,24,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,2,TEN,16,CAR,26,CAR,2,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Regular,2,MIN,17,GB,14,GB,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Regular,2,NYG,16,NO,13,NO,3,0,3,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,2,CHI,14,PHI,29,PHI,2,0,2,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,2,DAL,41,MIA,14,DAL,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,2,PIT,0,PHI,17,PIT,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,2,HOU,19,KC,12,HOU,2,0,3,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Regular,2,OAK,28,ATL,35,OAK,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Regular,2,DET,15,TEN,16,DET,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,0
2016,Regular,2,NYG,16,NO,13,NYG,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,0
2016,Regular,2,HOU,19,KC,12,KC,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Regular,2,DEN,34,IND,20,DEN,1,0,1,1,0,0,0,0,1,1,0,0,0,5.0,0
2016,Preseason,2,JAC,21,TB,27,JAC,1,0,0,0,0,0,0,0,2,1,0,0,0,1.0,0
2016,Regular,2,NE,31,MIA,24,MIA,3,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,2,SD,19,ARI,3,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,2,WAS,22,NYJ,18,NYJ,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Regular,2,LA,9,SEA,3,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,2,GB,20,OAK,12,GB,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0
2016,Preseason,2,HOU,16,NO,9,HOU,2,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Preseason,2,DET,14,CIN,30,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,2,DEN,34,IND,20,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Regular,2,MIN,17,GB,14,MIN,4,0,2,0,0,0,0,0,1,0,0,0,0,5.0,0
2016,Preseason,2,GB,20,OAK,12,OAK,0,0,0,0,0,0,0,0,0,0,1,1,0,3.0,0
2016,Regular,2,CLE,20,BAL,25,CLE,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0
2016,Preseason,2,UNK,21,KC,20,UNK,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Preseason,2,SEA,11,MIN,18,MIN,0,0,0,0,0,0,0,0,1,1,0,0,0,6.0,0
2016,Regular,2,SD,38,JAC,14,SD,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Preseason,2,SEA,11,MIN,18,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,2,SD,38,JAC,14,JAC,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Regular,2,ARI,40,TB,7,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,2,PIT,0,PHI,17,PHI,0,0,0,0,0,0,0,0,4,1,0,0,0,4.0,0
2016,Preseason,2,UNK,21,KC,20,KC,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,2,BUF,31,NYJ,37,NYJ,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
2016,Preseason,2,HOU,16,NO,9,NO,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,2,NE,23,CHI,22,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Regular,2,NE,31,MIA,24,NE,2,0,2,0,0,0,0,0,2,0,0,0,0,0.0,0
2016,Preseason,2,JAC,21,TB,27,TB,0,0,0,0,0,0,0,0,4,0,0,0,0,1.0,0
2016,Regular,2,CAR,46,SF,27,SF,2,0,3,0,0,0,0,0,1,0,0,0,0,1.0,1
2016,Preseason,2,CLE,13,ATL,24,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,2,CHI,14,PHI,29,CHI,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,0
2016,Preseason,3,NYJ,20,NYG,21,NYJ,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0
2016,Preseason,3,WAS,21,BUF,16,WAS,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,3,NYG,27,WAS,29,NYG,2,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,3,NE,27,HOU,0,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,3,CAR,10,MIN,22,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,3,DAL,31,CHI,17,DAL,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,3,IND,26,SD,22,SD,2,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,3,OAK,14,TEN,27,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,3,BUF,33,ARI,18,BUF,1,0,1,1,0,0,0,0,4,0,0,0,0,5.0,0
2016,Preseason,3,MIN,23,SD,10,MIN,1,0,1,0,0,0,0,0,3,0,0,0,0,2.0,0
2016,Preseason,3,MIA,17,ATL,6,MIA,2,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,3,TB,30,CLE,13,CLE,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Preseason,3,NYJ,20,NYG,21,NYG,3,0,1,0,0,0,0,0,2,1,0,0,0,2.0,0
2016,Preseason,3,IND,23,PHI,33,IND,0,0,0,0,0,0,0,0,1,0,1,1,0,1.0,0
2016,Regular,3,GB,34,DET,27,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,3,SF,10,GB,21,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Preseason,3,DEN,17,UNK,9,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0
2016,Preseason,3,SF,10,GB,21,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0
2016,Regular,3,MIA,30,CLE,24,CLE,1,0,1,0,0,0,0,0,2,1,0,0,0,1.0,0
2016,Regular,3,CIN,17,DEN,29,CIN,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,1
2016,Regular,3,NE,27,HOU,0,NE,2,0,2,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,3,SEA,27,DAL,17,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Preseason,3,OAK,14,TEN,27,TEN,1,0,1,1,0,0,0,0,2,0,0,0,0,1.0,0
2016,Preseason,3,IND,23,PHI,33,PHI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,3,GB,34,DET,27,GB,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,3,KC,24,NYJ,3,KC,3,0,2,1,0,0,0,0,6,1,0,0,0,0.0,0
2016,Preseason,3,SEA,27,DAL,17,SEA,1,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Regular,3,DAL,31,CHI,17,CHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,3,TB,32,LA,37,LA,1,0,1,1,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,3,HOU,34,ARI,24,HOU,1,0,1,0,0,0,0,0,4,1,0,0,0,3.0,0
2016,Preseason,3,JAC,26,CIN,21,JAC,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,0
2016,Preseason,3,NO,14,PIT,27,PIT,2,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0
2016,Preseason,3,BAL,30,DET,9,DET,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,3,TB,30,CLE,13,TB,1,0,0,0,0,0,1,1,0,0,0,0,0,8.0,0
2016,Preseason,3,MIA,17,ATL,6,ATL,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
2016,Regular,3,TEN,10,OAK,17,OAK,1,0,1,0,0,0,0,0,2,0,0,0,0,1.0,0
2016,Regular,3,JAC,17,BAL,19,BAL,0,1,0,0,0,0,0,0,3,0,0,0,0,4.0,0
2016,Preseason,3,BAL,30,DET,9,BAL,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,0
2016,Regular,3,PHI,34,PIT,3,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Regular,3,SEA,37,SF,18,SEA,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
2016,Preseason,3,CAR,17,NE,19,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,3,MIN,23,SD,10,SD,4,0,2,0,0,0,0,0,0,0,0,0,0,5.0,0
2016,Regular,3,TEN,10,OAK,17,TEN,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
2016,Regular,3,KC,24,NYJ,3,NYJ,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Preseason,3,DEN,17,UNK,9,UNK,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0
2016,Regular,3,NO,32,ATL,45,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,3,TB,32,LA,37,TB,1,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0
2016,Preseason,3,CHI,7,KC,23,CHI,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Preseason,3,CAR,17,NE,19,NE,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0,0
2016,Regular,3,NYG,27,WAS,29,WAS,3,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Regular,3,SEA,37,SF,18,SF,1,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
2016,Regular,3,MIA,30,CLE,24,MIA,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,0
2016,Preseason,3,JAC,26,CIN,21,CIN,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
2016,Preseason,3,HOU,34,ARI,24,ARI,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0
2016,Regular,3,IND,26,SD,22,IND,3,0,3,0,0,0,0,0,0,0,0,0,0,2.0,1
2016,Regular,3,JAC,17,BAL,19,JAC,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
2016,Preseason,3,NO,14,PIT,27,NO,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
2016,Regular,3,PHI,34,PIT,3,PHI,1,1,1,0,0,0,0,0,1,0,0,0,0,4.0,0
2016,Regular,3,CAR,10,MIN,22,MIN,0,0,0,0,0,0,1,1,3,0,0,0,1,8.0,0
2016,Preseason,3,CHI,7,KC,23,KC,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2016,Regular,3,CIN,17,DEN,29,DEN,1,0,1,0,0,0,0,0,1,0,0,0,0,4.0,0
