season_year,season_type,week,home_team,home_score,away_team,away_score,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm
2016,Preseason,1,BUF,18,IND,19,IND,Chester Rogers,WR,2,2,1,0,0,49,63,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,IND,Josh Boyce,WR,2,5,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,IND,Mekale McKay,WR,1,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,IND,Phillip Dorsett,WR,2,4,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,IND,T.Y. Hilton,WR,1,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,BUF,18,IND,19,IND,Tevaun Smith,WR,3,6,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,CHI,Alshon Jeffery,WR,1,1,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,CHI,Daniel Braverman,WR,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,CHI,Deonte Thompson,WR,2,4,0,0,0,12,33,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,CHI,Josh Bellamy,WR,3,5,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,CHI,Kevin White,WR,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Bennie Fowler,WR,3,7,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Cody Latimer,WR,7,8,0,0,0,37,82,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Demaryius Thomas,WR,2,2,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Emmanuel Sanders,WR,2,2,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CHI,0,DEN,22,DEN,Jordan Taylor,WR,2,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,A.J. Green,WR,3,4,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Alex Erickson,WR,1,2,1,0,0,0,3,0,0,0,0,1,1,3,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Brandon Tate,WR,2,2,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Cody Core,WR,3,5,0,0,0,11,33,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Jake Kumerow,WR,1,2,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,James Wright,WR,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Mario Alford,WR,1,1,0,0,0,17,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,CIN,Tyler Boyd,WR,1,2,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,Adam Thielen,WR,1,1,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,Charles Johnson,WR,1,1,1,0,0,2,49,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,Isaac Fruechte,WR,2,3,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,Laquon Treadwell,WR,4,5,0,0,0,37,41,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,CIN,16,MIN,17,MIN,Stefon Diggs,WR,1,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,CLE,Rannell Hall,WR,2,4,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,CLE,Rashard Higgins,WR,1,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,GB,Geronimo Allison,WR,1,3,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,GB,Jared Abbrederis,WR,2,4,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,GB,Trevor Davis,WR,2,5,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,GB,17,CLE,11,GB,Ty Montgomery,WR,1,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,KC,Da'Ron Brown,WR,1,3,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,KC,Jeremy Maclin,WR,1,1,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,KC,Rod Streater,WR,1,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,KC,Tyreek Hill,WR,1,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Doug Baldwin,WR,2,2,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Kenny Lawler,WR,2,4,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Paul Richardson,WR,3,6,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0
2016,Preseason,1,KC,16,SEA,17,SEA,Tanner McEvoy,WR,3,6,1,0,0,5,77,0,0,0,0,0,0,0,0,0,0
