season_year,season_type,week,team,full_name,position,receiving_rec,receiving_tar,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yac,receiving_yds,fumbles_total,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,rushing_att,rushing_yds,rushing_tds,rushing_loss_yards,rushing_twoptm,team_score,opp_score,opp_team,h/a,total_points,rec_percentage,score_percentage,yds_per_rec,yds_per_rush,DK points
2016,Preseason,2,ARI,Jaron Brown,WR,2,3,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,3,19,SD,0,0,0.666666666667,0.0,20.0,,6.0
2016,Preseason,2,ARI,Michael Floyd,WR,1,3,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3,19,SD,0,0,0.333333333333,0.0,2.0,,1.2
2016,Preseason,2,SD,Dom Williams,WR,4,6,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,0.666666666667,0.0,13.75,,9.5
2016,Preseason,2,SD,Isaiah Burse,WR,1,4,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,0.25,0.0,9.0,,1.9
2016,Preseason,2,SD,Keenan Allen,WR,2,2,0,0,0,11,41,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,1.0,0.0,20.5,,6.1
2016,Preseason,2,SD,Travis Benjamin,WR,1,4,0,0,0,6,11,0,0,0,0,0,1,-5,0,0,0,19,3,ARI,1,0,0.25,0.0,11.0,-5.0,1.6
2016,Preseason,2,SD,Tyrell Williams,WR,4,6,0,0,0,5,47,0,0,0,0,0,0,0,0,0,0,19,3,ARI,1,0,0.666666666667,0.0,11.75,,8.7
2016,Preseason,2,MIN,Adam Thielen,WR,4,6,0,0,0,14,61,0,0,0,0,0,0,0,0,0,0,18,11,SEA,0,0,0.666666666667,0.0,15.25,,10.1
2016,Preseason,2,MIN,Cordarrelle Patterson,WR,2,2,0,0,0,21,17,0,0,0,0,0,0,0,0,0,0,18,11,SEA,0,0,1.0,0.0,8.5,,3.7
2016,Preseason,2,MIN,Stefon Diggs,WR,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,18,11,SEA,0,0,1.0,0.0,3.0,,1.3
2016,Preseason,2,SEA,Antwan Goodley,WR,5,9,0,0,0,18,65,0,0,0,0,0,0,0,0,0,0,11,18,MIN,1,0,0.555555555556,0.0,13.0,,11.5
2016,Preseason,2,SEA,Kenny Lawler,WR,3,6,0,0,0,20,47,0,0,0,0,0,0,0,0,0,0,11,18,MIN,1,0,0.5,0.0,15.6666666667,,7.7
2016,Preseason,2,SEA,Tanner McEvoy,WR,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,18,MIN,1,0,0.5,0.0,8.0,,1.8
2016,Preseason,2,SEA,Tyler Lockett,WR,2,3,0,0,0,8,39,0,0,0,0,0,0,0,0,0,0,11,18,MIN,1,0,0.666666666667,0.0,19.5,,5.9
2016,Preseason,2,CAR,Corey Brown,WR,2,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,1.0,0.0,8.0,,3.6
2016,Preseason,2,CAR,Damiere Byrd,WR,3,6,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,0.5,0.0,12.0,,6.6
2016,Preseason,2,CAR,Devin Funchess,WR,2,4,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,0.5,0.0,9.5,,3.9
2016,Preseason,2,CAR,Kelvin Benjamin,WR,2,3,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,0.666666666667,0.0,14.5,,4.9
2016,Preseason,2,CAR,Kevin Norwood,WR,3,4,1,0,0,19,31,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,6,0.75,0.230769230769,10.3333333333,,12.1
2016,Preseason,2,CAR,LaRon Byrd,WR,2,2,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,1.0,0.0,9.0,,3.8
2016,Preseason,2,CAR,Marcus Lucas,WR,3,3,0,0,0,24,39,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,0,1.0,0.0,13.0,,6.9
2016,Preseason,2,CAR,Ted Ginn,WR,1,1,1,0,0,51,61,0,0,0,0,0,0,0,0,0,0,26,16,TEN,0,6,1.0,0.230769230769,61.0,,13.1
2016,Preseason,2,TEN,Harry Douglas,WR,3,5,1,0,0,13,39,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,6,0.6,0.375,13.0,,12.9
2016,Preseason,2,TEN,Justin Hunter,WR,4,7,0,1,0,4,54,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,0,0.571428571429,0.0,13.5,,9.4
2016,Preseason,2,TEN,Rishard Matthews,WR,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,26,CAR,1,0,1.0,0.0,6.0,,1.6
2016,Preseason,2,TEN,Tajae Sharpe,WR,6,6,0,0,0,9,68,0,0,0,0,0,1,-11,0,0,0,16,26,CAR,1,0,1.0,0.0,11.3333333333,-11.0,11.7
