,player,salary,team,position,opp,ceiling,floor,proj_points
0,DeVante Parker,4100,MIA,WR,LAR,15.8964,4.4836,10.19
1,Kenny Stills,3600,MIA,WR,LAR,13.36,3.34,8.35
2,Jarvis Landry,6600,MIA,WR,LAR,21.4785,11.8215,16.65
3,Tyreek Hill,4500,KCC,WR,TBB,18.2435,5.2965,11.77
4,Albert Wilson,3400,KCC,WR,TBB,10.064,1.776,5.92
5,Jakeem Grant,3000,MIA,WR,LAR,2.9726,0.5874,1.78
6,Kenny Britt,5200,LAR,WR,MIA,19.832,6.968,13.4
7,Julian Edelman,6300,NEP,WR,SFO,19.2896,10.8504,15.07
8,Danny Amendola,3500,NEP,WR,SFO,11.934,3.366,7.65
9,Bradley Marquez,3000,LAR,WR,MIA,2.26,0,1.13
10,Brian Quick,3400,LAR,WR,MIA,12.6768,4.0032,8.34
11,Tavon Austin,3900,LAR,WR,MIA,16.7022,3.9178,10.31
12,Chris Conley,3300,KCC,WR,TBB,15.1308,3.5492,9.34
13,Cecil Shorts,3000,TBB,WR,KCC,9.632,1.568,5.6
14,Walter Powell,3000,BUF,WR,CIN,10.6622,1.3178,5.99
15,Marquise Goodwin,3500,BUF,WR,CIN,13.8996,3.9204,8.91
16,Justin Hunter,3000,BUF,WR,CIN,8.6172,1.4028,5.01
17,Robert Woods,4900,BUF,WR,CIN,17.1768,8.0832,12.63
18,Cobi Hamilton,3000,PIT,WR,CLE,9.6096,2.7104,6.16
19,A.J. Green,8300,CIN,WR,BUF,28.8696,12.9704,20.92
20,Brandon LaFell,4000,CIN,WR,BUF,15.7314,3.1086,9.42
21,Adam Humphries,3900,TBB,WR,KCC,12.8615,4.8785,8.87
22,Freddie Martino,3000,TBB,WR,KCC,7.314,1.886,4.6
23,Mike Evans,8100,TBB,WR,KCC,31.2597,13.0803,22.17
24,Percy Harvin,3300,BUF,WR,CIN,11.3812,3.9988,7.69
25,Tyler Boyd,3000,CIN,WR,BUF,14.195,2.805,8.5
26,Malcolm Mitchell,3000,NEP,WR,SFO,8.224,2.056,5.14
27,Torrey Smith,3400,SFO,WR,NEP,12.024,2.376,7.2
28,Jamison Crowder,5400,WAS,WR,GBP,17.2788,8.9012,13.09
29,DeSean Jackson,4800,WAS,WR,GBP,18.6,5.4,12
30,Pierre Garcon,3900,WAS,WR,GBP,14.2,8.52,11.36
31,Jeff Janis,3000,GBP,WR,WAS,4.8,0,2.4
32,Jordy Nelson,7800,GBP,WR,WAS,28.7716,11.4684,20.12
33,DeAndre Hopkins,6500,HOU,WR,OAK,22.5404,7.9196,15.23
34,Will Fuller,5300,HOU,WR,OAK,18.9574,5.6626,12.31
35,Seth Roberts,3000,OAK,WR,HOU,13.05,4.35,8.7
36,Andre Holmes,3000,OAK,WR,HOU,4.6046,1.1154,2.86
37,Michael Crabtree,6500,OAK,WR,HOU,23.4818,10.7982,17.14
38,Amari Cooper,7500,OAK,WR,HOU,25.7872,10.5328,18.16
39,Braxton Miller,3000,HOU,WR,OAK,8.8,0,4.4
40,Davante Adams,6700,GBP,WR,WAS,22.5936,8.7864,15.69
41,Randall Cobb,5900,GBP,WR,WAS,21.7155,6.3045,14.01
42,Jordan Matthews,5400,PHI,WR,SEA,18.7582,7.6618,13.21
43,Nelson Agholor,3000,PHI,WR,SEA,9.9144,3.0456,6.48
44,Rod Streater,3000,SFO,WR,NEP,3.78,0,1.89
45,Jeremy Kerley,3500,SFO,WR,NEP,14.5435,5.5165,10.03
46,Quinton Patton,3000,SFO,WR,NEP,14.6376,4.6224,9.63
47,Dorial Green-Beckham,3000,PHI,WR,SEA,9.5118,1.9482,5.73
48,Bryce Treggs,3000,PHI,WR,SEA,9.7188,1.2012,5.46
49,Paul Richardson,3000,SEA,WR,PHI,4.556,0.804,2.68
50,Ty Montgomery,5100,GBP,WR,WAS,12.393,3.807,8.1
51,Tyler Lockett,3600,SEA,WR,PHI,14.6452,3.2148,8.93
52,Jermaine Kearse,3000,SEA,WR,PHI,10.3194,2.4206,6.37
53,Doug Baldwin,5700,SEA,WR,PHI,23.725,8.775,16.25
54,Corey Coleman,4700,CLE,WR,PIT,18.054,5.546,11.8
55,Ricardo Louis,3000,CLE,WR,PIT,8.432,2.448,5.44
56,Eddie Royal,3400,CHI,WR,NYG,18.2988,8.2212,13.26
57,Cameron Meredith,4100,CHI,WR,NYG,20.4714,6.2886,13.38
58,Josh Bellamy,3000,CHI,WR,NYG,9.2196,2.6004,5.91
59,Brice Butler,3200,DAL,WR,BAL,4.8,0,2.4
60,Cole Beasley,5300,DAL,WR,BAL,16.184,6.936,11.56
61,Deonte Thompson,3000,CHI,WR,NYG,7.12,0,3.56
62,Odell Beckham,8500,NYG,WR,CHI,32.2036,12.8364,22.52
63,Allen Robinson,7400,JAC,WR,DET,24.4905,9.2895,16.89
64,Allen Hurns,4100,JAC,WR,DET,17.6118,6.0282,11.82
65,Roger Lewis,3300,NYG,WR,CHI,5.42,0,2.71
66,Victor Cruz,3700,NYG,WR,CHI,9.765,5.735,7.75
67,Sterling Shepard,4700,NYG,WR,CHI,16.6881,6.6519,11.67
68,Terrance Williams,3300,DAL,WR,BAL,12.9168,3.6432,8.28
69,Dez Bryant,7200,DAL,WR,BAL,24.8256,9.6544,17.24
70,Brandon Coleman,3000,NOS,WR,CAR,8.1954,2.2446,5.22
71,Kelvin Benjamin,7300,CAR,WR,NOS,27.2074,9.3126,18.26
72,Michael Thomas,6600,NOS,WR,CAR,21.462,7.938,14.7
73,Willie Snead,5000,NOS,WR,CAR,23.2601,5.2799,14.27
74,Brandin Cooks,7000,NOS,WR,CAR,22.3934,9.1466,15.77
75,Ted Ginn,3900,CAR,WR,NOS,16.2486,3.8114,10.03
76,Devin Funchess,3700,CAR,WR,NOS,11.3367,2.9233,7.13
77,Kamar Aiken,3300,BAL,WR,DAL,5.0464,1.0336,3.04
78,Breshad Perriman,3400,BAL,WR,DAL,11.5506,2.7094,7.13
79,Steve Smith,6000,BAL,WR,DAL,19.3765,7.7235,13.55
80,Mike Wallace,5500,BAL,WR,DAL,19.98,7.02,13.5
81,Philly Brown,3000,CAR,WR,NOS,9.472,3.328,6.4
82,Marqise Lee,4000,JAC,WR,DET,14.578,5.122,9.85
83,Rashad Greene,3000,JAC,WR,DET,3.94,0,1.97
84,Stefon Diggs,7000,MIN,WR,ARI,27.5064,10.1736,18.84
85,Adam Thielen,3800,MIN,WR,ARI,13.3569,4.1031,8.73
86,J.J. Nelson,4700,ARI,WR,MIN,15.213,3.227,9.22
87,John Brown,4100,ARI,WR,MIN,17.0345,4.9455,10.99
88,Michael Floyd,4000,ARI,WR,MIN,14.062,1.738,7.9
89,Charles Johnson,3000,MIN,WR,ARI,4.1,0,2.05
