,player,salary,team,position,opp,ceiling,floor,proj_points
0,Philip Rivers,6700,SDC,QB,MIA,21.7616,15.7584,18.76
1,Colin Kaepernick,5800,SFO,QB,ARI,21.2852,12.2348,16.76
2,Ryan Tannehill,5300,MIA,QB,SDC,18.3375,11.0025,14.67
3,Marcus Mariota,5700,TEN,QB,GBP,24.6648,13.5752,19.12
4,Kirk Cousins,5400,WAS,QB,MIN,21.8655,12.0345,16.95
5,Aaron Rodgers,7600,GBP,QB,TEN,29.7792,15.3408,22.56
6,Carson Palmer,6500,ARI,QB,SFO,27.8452,13.7148,20.78
7,Dak Prescott,6100,DAL,QB,PIT,25.0668,12.9132,18.99
8,Andy Dalton,5800,CIN,QB,NYG,24.622,13.258,18.94
9,Eli Manning,5900,NYG,QB,CIN,22.7416,11.9784,17.36
10,Tom Brady,7400,NEP,QB,SEA,24.8406,18.7394,21.79
11,Russell Wilson,6200,SEA,QB,NEP,21.4484,15.5316,18.49
12,Ben Roethlisberger,6800,PIT,QB,DAL,31.0761,17.1039,24.09
13,Sam Bradford,5000,MIN,QB,WAS,19.4304,10.9296,15.18
14,Jameis Winston,6300,TBB,QB,CHI,23.1068,14.7732,18.94
15,Trevor Siemian,5600,DEN,QB,NOS,22.617,13.283,17.95
16,Drew Brees,6900,NOS,QB,DEN,25.75,15.45,20.6
17,Carson Wentz,5400,PHI,QB,ATL,20.8128,11.7072,16.26
18,Matt Ryan,7300,ATL,QB,PHI,25.15,15.09,20.12
19,Joe Flacco,6200,BAL,QB,CLE,21.1715,15.6485,18.41
20,Cody Kessler,5000,CLE,QB,BAL,18.6024,8.3576,13.48
21,Brock Osweiler,5400,HOU,QB,JAC,19.0619,7.5981,13.33
22,Blake Bortles,5500,JAC,QB,HOU,20.648,14.952,17.8
23,Cam Newton,6800,CAR,QB,KCC,24.9305,16.9695,20.95
24,Jay Cutler,5300,CHI,QB,TBB,22.545,10.855,16.7
25,Alex Smith,5400,KCC,QB,CAR,20.9655,10.0945,15.53
26,Ryan Fitzpatrick,5200,NYJ,QB,LAR,19.877,10.703,15.29
27,Case Keenum,5000,LAR,QB,NYJ,22.0184,10.3616,16.19
28,player,salary,team,pos,opp,ceil,floor,fpts
