,player,salary,team,position,opp,ceiling,floor,proj_points
0,Benny Cunningham,4000,LAR,RB,MIA,5.7505,1.6695,3.71
1,Todd Gurley,5000,LAR,RB,MIA,21.1936,7.4464,14.32
2,Jay Ajayi,6800,MIA,RB,LAR,25.1624,10.2776,17.72
3,LeGarrette Blount,6400,NEP,RB,SFO,23.0608,9.4192,16.24
4,James White,4800,NEP,RB,SFO,14.2444,4.8756,9.56
5,Carlos Hyde,4900,SFO,RB,NEP,20.3,7.7,14
6,Dion Lewis,3300,NEP,RB,SFO,10.8216,2.5384,6.68
7,Damien Williams,3900,MIA,RB,LAR,6.7462,0.8338,3.79
8,Jerick McKinnon,3500,MIN,RB,ARI,11.592,5.208,8.4
9,Rashad Jennings,3600,NYG,RB,CHI,16.3995,6.2205,11.31
10,Jeremy Langford,4000,CHI,RB,NYG,8.346,2.354,5.35
11,Paul Perkins,3900,NYG,RB,CHI,12.4,3.6,8
12,David Johnson,7900,ARI,RB,MIN,27.3108,14.0692,20.69
13,Matt Asiata,3800,MIN,RB,ARI,12.54,3.96,8.25
14,Andre Ellington,3500,ARI,RB,MIN,4.356,0.484,2.42
15,Shaun Draughn,3200,SFO,RB,NEP,6.3154,0.6246,3.47
16,Ryan Mathews,4200,PHI,RB,SEA,13.547,3.933,8.74
17,DeAndre Washington,3900,OAK,RB,HOU,7.8936,2.2264,5.06
18,Latavius Murray,5500,OAK,RB,HOU,21.608,7.592,14.6
19,Lamar Miller,5800,HOU,RB,OAK,21.762,10.478,16.12
20,Jalen Richard,3300,OAK,RB,HOU,5.7834,1.3566,3.57
21,Thomas Rawls,4300,SEA,RB,PHI,13.5564,3.6036,8.58
22,Tyler Ervin,3000,HOU,RB,OAK,3.8781,1.7019,2.79
23,Ronnie Hillman,3300,MIN,RB,ARI,3.9456,1.5344,2.74
24,Ryan Grant,3000,WAS,WR,GBP,4.32,0,2.16
25,Chris Thompson,3600,WAS,RB,GBP,14.0883,4.5717,9.33
26,C.J. Prosise,4200,SEA,RB,PHI,20.1985,7.6615,13.93
27,Darren Sproles,4500,PHI,RB,SEA,17.5764,5.7036,11.64
28,James Starks,4200,GBP,RB,WAS,19.4532,5.4868,12.47
29,Ty Montgomery,5100,GBP,WR,WAS,12.393,3.807,8.1
30,Robert Kelley,4400,WAS,RB,GBP,16.2144,6.3056,11.26
31,DuJuan Harris,4000,SFO,RB,NEP,6.96,0,3.48
32,Ka'Deem Carey,3900,CHI,RB,NYG,3.6803,1.2597,2.47
33,Jordan Howard,5800,CHI,RB,NYG,19.6836,8.2364,13.96
34,Terrance West,4400,BAL,RB,DAL,15.03,5.01,10.02
35,Duke Johnson,3800,CLE,RB,PIT,15.2862,5.6538,10.47
36,Isaiah Crowell,3900,CLE,RB,PIT,16.4455,4.7745,10.61
37,Kenneth Dixon,3900,BAL,RB,DAL,11.1386,7.1214,9.13
38,Ezekiel Elliott,8000,DAL,RB,BAL,25.5759,12.8841,19.23
39,T.J. Yeldon,3500,JAC,RB,DET,12.1856,5.7344,8.96
40,Alfred Morris,4700,DAL,RB,BAL,4.4032,0.7168,2.56
41,Fitzgerald Toussaint,3000,PIT,RB,CLE,3.503,1.017,2.26
42,Le'Veon Bell,8800,PIT,RB,CLE,38.1996,20.1204,29.16
43,Travaris Cadet,3000,NOS,RB,CAR,4.752,1.848,3.3
44,Mark Ingram,5300,NOS,RB,CAR,16.4604,8.4796,12.47
45,Jonathan Stewart,5900,CAR,RB,NOS,21.4866,9.6534,15.57
46,Fozzy Whittaker,3200,CAR,RB,NOS,3.567,1.353,2.46
47,Mike Tolbert,3000,CAR,RB,NOS,5.2416,0.9984,3.12
48,Tim Hightower,4700,NOS,RB,CAR,16.4106,3.8494,10.13
49,Chris Ivory,3600,JAC,RB,DET,12.8042,4.7358,8.77
50,Theo Riddick,5100,DET,RB,JAC,20.8651,9.5949,15.23
51,Doug Martin,5400,TBB,RB,KCC,19.7582,5.9018,12.83
52,Giovani Bernard,4600,CIN,RB,BUF,15.4845,7.4555,11.47
53,Peyton Barber,3900,TBB,RB,KCC,5.6214,1.3186,3.47
54,Mike James,3100,TBB,RB,KCC,3.52,0,1.76
55,Charcandrick West,5000,KCC,RB,TBB,8.339,2.421,5.38
56,Spencer Ware,6000,KCC,RB,TBB,21.507,10.593,16.05
57,Jeremy Hill,4400,CIN,RB,BUF,14.9184,5.8016,10.36
58,LeSean McCoy,6900,BUF,RB,CIN,22.7172,11.7028,17.21
59,DeMarco Murray,8200,TEN,RB,IND,28.2123,15.5277,21.87
60,Dwayne Washington,3500,DET,RB,JAC,7.5816,1.7784,4.68
61,Derrick Henry,5300,TEN,RB,IND,8.1432,2.2968,5.22
62,Frank Gore,5000,IND,RB,TEN,18.3939,9.2661,13.83
63,Mike Gillislee,4100,BUF,RB,CIN,6.9948,3.4452,5.22
64,Robert Turbin,3400,IND,RB,TEN,9.0072,2.1128,5.56
65,player,salary,team,pos,opp,ceil,floor,fpts
