,player,salary,team,position,opp,ceiling,floor,proj_points
0,Antonio Gates,3900,SDC,TE,MIA,15.3504,9.6096,12.48
1,MarQueis Gray,2500,MIA,TE,SDC,6.757,2.563,4.66
2,Hunter Henry,3000,SDC,TE,MIA,10.336,4.864,7.6
3,Vance McDonald,2700,SFO,TE,ARI,12.7013,3.4787,8.09
4,Garrett Celek,2600,SFO,TE,ARI,10.1032,1.5768,5.84
5,Dominique Jones,2500,MIA,TE,SDC,11.441,2.019,6.73
6,Anthony Fasano,2500,TEN,TE,GBP,3.094,0.546,1.82
7,Jordan Reed,6200,WAS,TE,MIN,20.148,7.452,13.8
8,Rhett Ellison,2500,MIN,TE,WAS,4.08,0,2.04
9,Vernon Davis,2700,WAS,TE,MIN,6.9336,1.6264,4.28
10,Richard Rodgers,2800,GBP,TE,TEN,10.665,5.135,7.9
11,Delanie Walker,4600,TEN,TE,GBP,17.679,7.221,12.45
12,Jermaine Gresham,2500,ARI,TE,SFO,4.4998,1.5402,3.02
13,Darren Fells,2500,ARI,TE,SFO,4.7859,2.6341,3.71
14,Tyler Eifert,5200,CIN,TE,NYG,22.3236,5.2364,13.78
15,Martellus Bennett,3400,NEP,TE,SEA,14.168,3.432,8.8
16,Tyler Kroft,2500,CIN,TE,NYG,2.772,1.428,2.1
17,Larry Donnell,2500,NYG,TE,CIN,7.7922,1.8278,4.81
18,Will Tye,2500,NYG,TE,CIN,10.8965,3.1635,7.03
19,Rob Gronkowski,6900,NEP,TE,SEA,27.7538,9.0062,18.38
20,Brandon Williams,2500,SEA,TE,NEP,3.5644,1.7556,2.66
21,Geoff Swaim,2500,DAL,TE,PIT,3.9424,1.1776,2.56
22,Jason Witten,4000,DAL,TE,PIT,17.01,5.67,11.34
23,Jesse James,2700,PIT,TE,DAL,9.295,5.005,7.15
24,Xavier Grimble,2500,PIT,TE,DAL,,,2.03
25,Jimmy Graham,5300,SEA,TE,NEP,21.9626,7.5174,14.74
26,Kyle Rudolph,3600,MIN,TE,WAS,17.7225,7.7775,12.75
27,Brandon Myers,2500,TBB,TE,CHI,3.971,0.209,2.09
28,Coby Fleener,3300,NOS,TE,DEN,17.3376,2.8224,10.08
29,Jeff Heuerman,2500,DEN,TE,NOS,4.64,0,2.32
30,Josh Hill,2500,NOS,TE,DEN,5.1688,0.5112,2.84
31,C.J. Fiedorowicz,3500,HOU,TE,JAC,17.4952,5.5248,11.51
32,Ryan Griffin,2500,HOU,TE,JAC,8.0409,2.8991,5.47
33,Virgil Green,2900,DEN,TE,NOS,12.87,3.63,8.25
34,Trey Burton,2500,PHI,TE,ATL,6.3024,1.7776,4.04
35,Dennis Pitta,4000,BAL,TE,CLE,19.2324,9.9076,14.57
36,Gary Barnidge,3400,CLE,TE,BAL,14.5452,6.5348,10.54
37,Jacob Tamme,2800,ATL,TE,PHI,10.53,2.47,6.5
38,Austin Hooper,3100,ATL,TE,PHI,8.9487,2.0313,5.49
39,Zach Ertz,3700,PHI,TE,ATL,15.6004,2.5396,9.07
40,Julius Thomas,2900,JAC,TE,HOU,15.708,4.692,10.2
41,Marcedes Lewis,2500,JAC,TE,HOU,5.4978,1.9822,3.74
42,Ed Dickson,2500,CAR,TE,KCC,3.3966,1.0434,2.22
43,Greg Olsen,5900,CAR,TE,KCC,23.1176,8.1224,15.62
44,Zach Miller,3600,CHI,TE,TBB,17.55,8.45,13
45,Logan Paulsen,2500,CHI,TE,TBB,2.9322,0.3078,1.62
46,Cameron Brate,3500,TBB,TE,CHI,15.0234,5.4166,10.22
47,Demetrius Harris,2500,KCC,TE,CAR,4.22,0,2.11
48,Travis Kelce,5600,KCC,TE,CAR,19.241,7.859,13.55
49,Lance Kendricks,3000,LAR,TE,NYJ,15.7388,5.8212,10.78
50,Tyler Higbee,2500,LAR,TE,NYJ,6.62,0,3.31
51,Austin Seferian-Jenkins,2500,NYJ,TE,LAR,6.4476,1.5124,3.98
52,Brandon Bostick,2500,NYJ,TE,LAR,3.02,0,1.51
53,player,salary,team,pos,opp,ceil,floor,fpts
