,player,salary,team,position,opp,ceiling,floor,proj_points
0,Case Keenum,5000,LAR,QB,CAR,16.6,9.96,13.28
1,Marcus Mariota,5900,TEN,QB,SDC,24.0792,13.8408,18.96
2,Cam Newton,7000,CAR,QB,LAR,25.2992,17.5808,21.44
3,Colin Kaepernick,5600,SFO,QB,NOS,28.8405,10.9395,19.89
4,Drew Brees,7200,NOS,QB,SFO,25.6592,18.5808,22.12
5,Philip Rivers,6500,SDC,QB,TEN,29.181,13.419,21.3
6,Andrew Luck,6700,IND,QB,GBP,24.1192,16.7608,20.44
7,Tyrod Taylor,5000,BUF,QB,SEA,20.5326,13.1274,16.83
8,Russell Wilson,6400,SEA,QB,BUF,22.6914,15.7686,19.23
9,Derek Carr,6300,OAK,QB,DEN,22.068,14.712,18.39
10,Trevor Siemian,5100,DEN,QB,OAK,19.2875,11.5725,15.43
11,Aaron Rodgers,7800,GBP,QB,IND,32.1621,13.4579,22.81
12,Joe Flacco,5500,BAL,QB,PIT,19.8145,14.6455,17.23
13,Ben Roethlisberger,6600,PIT,QB,BAL,24.8124,15.2076,20.01
14,Josh McCown,5400,CLE,QB,DAL,,,16.27
15,Ryan Fitzpatrick,5700,NYJ,QB,MIA,20.1144,9.4656,14.79
16,Dak Prescott,6100,DAL,QB,CLE,20.9196,17.8204,19.37
17,Jameis Winston,6100,TBB,QB,ATL,23.196,15.464,19.33
18,Matt Ryan,7100,ATL,QB,TBB,24.1845,17.8755,21.03
19,Ryan Tannehill,5600,MIA,QB,NYJ,19.5344,14.1456,16.84
20,Carson Wentz,5100,PHI,QB,NYG,20.2335,12.6665,16.45
21,Matthew Stafford,5600,DET,QB,MIN,22.3647,12.8553,17.61
22,Sam Bradford,5000,MIN,QB,DET,20.5683,16.4917,18.53
23,Alex Smith,5300,KCC,QB,JAC,19.5951,10.7849,15.19
24,Blake Bortles,5800,JAC,QB,KCC,21.3555,15.7845,18.57
25,Eli Manning,5700,NYG,QB,PHI,21.9982,11.0818,16.54
26,player,salary,team,pos,opp,ceil,floor,fpts
