Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
1;2016;1409;Luck, Andrew;QB;ind;h;det;38.5;8300
1;2016;1151;Brees, Drew;QB;nor;h;oak;35.42;8100
1;2016;1254;Smith, Alex;QB;kan;h;sdg;32.02;6500
1;2016;1340;Stafford, Matthew;QB;det;a;ind;29.1;7200
1;2016;1301;Ryan, Matt;QB;atl;h;tam;27.36;7100
1;2016;1465;Winston, Jameis;QB;tam;a;atl;26.54;6600
1;2016;1232;Roethlisberger, Ben;QB;pit;a;was;25.8;7800
1;2016;1441;Carr, Derek;QB;oak;a;nor;25.36;7300
1;2016;1252;Rodgers, Aaron;QB;gnb;a;jac;23.56;8500
1;2016;1378;Newton, Cam;QB;car;a;den;22.16;7700
1;2016;1403;Dalton, Andy;QB;cin;a;nyj;21.34;6800
1;2016;1225;Manning, Eli;QB;nyg;a;dal;19.28;7500
1;2016;1514;Wentz, Carson;QB;phi;h;cle;19.22;5000
1;2016;1442;Bortles, Blake;QB;jac;h;gnb;19;7200
1;2016;1207;Palmer, Carson;QB;ari;h;nwe;18.94;7100
1;2016;1466;Mariota, Marcus;QB;ten;h;min;18.74;6400
1;2016;1414;Osweiler, Brock;QB;hou;h;chi;17.64;6300
1;2016;1242;Fitzpatrick, Ryan;QB;nyj;h;cin;16.06;6500
1;2016;1452;Garoppolo, Jimmy;QB;nwe;a;ari;16.06;6200
1;2016;1410;Tannehill, Ryan;QB;mia;a;sea;15.14;5900
1;2016;1415;Cousins, Kirk;QB;was;h;pit;14.96;7400
1;2016;1231;Rivers, Philip;QB;sdg;a;kan;14.62;7000
1;2016;1381;Gabbert, Blaine;QB;sfo;h;lar;14.5;5200
1;2016;1412;Wilson, Russell;QB;sea;h;mia;13.92;7900
1;2016;1302;Flacco, Joe;QB;bal;h;buf;13.02;6700
1;2016;1263;Cutler, Jay;QB;chi;a;hou;12.84;6300
1;2016;1488;Siemian, Trevor;QB;den;h;car;11.12;5200
1;2016;1408;Griffin III, Robert;QB;cle;a;phi;10.3;5600
1;2016;1501;Prescott, Dak;QB;dal;h;nyg;10.28;5000
1;2016;1213;Hill, Shaun;QB;min;a;ten;10.24;5000
1;2016;1400;Taylor, Tyrod;QB;buf;a;bal;5.54;6900
1;2016;1435;Keenum, Case;QB;lar;a;sfo;4.2;5400
1;2016;1404;Kaepernick, Colin;QB;sfo;h;lar;0;5000
1;2016;5071;Webb, Joe;QB;car;a;den;0;5000
1;2016;2500;Williams, DeAngelo;RB;pit;a;was;38.1;7000
1;2016;2914;Ware, Spencer;RB;kan;h;sdg;35.9;4400
1;2016;2924;Anderson, C.J.;RB;den;h;car;29.9;5900
1;2016;2907;Riddick, Theo;RB;det;a;ind;27.8;4000
1;2016;2831;Murray, DeMarco;RB;ten;h;min;23.7;5300
1;2016;2933;Hyde, Carlos;RB;sfo;h;lar;23.3;5600
1;2016;5395;Johnson, David;RB;ari;h;nwe;23.2;7500
1;2016;2689;Woodhead, Danny;RB;sdg;a;kan;23;5000
1;2016;2995;Abdullah, Ameer;RB;det;a;ind;23;4900
1;2016;2613;Forte, Matt;RB;nyj;h;cin;20.5;6100
1;2016;2859;Miller, Lamar;RB;hou;h;chi;18.7;7000
1;2016;2991;Gordon, Melvin;RB;sdg;a;kan;17.7;4600
1;2016;5490;Richard, Jalen;RB;oak;a;nor;17.5;3000
1;2016;2707;McCoy, LeSean;RB;buf;a;bal;17;6400
1;2016;2993;Yeldon, T.J.;RB;jac;h;gnb;16.9;4100
1;2016;2994;Coleman, Tevin;RB;atl;h;tam;16.7;4200
1;2016;2969;Crowell, Isaiah;RB;cle;a;phi;15.8;4200
1;2016;2858;Martin, Doug;RB;tam;a;atl;14.6;6200
1;2016;5371;Langford, Jeremy;RB;chi;a;hou;14.3;4700
1;2016;2899;Murray, Latavius;RB;oak;a;nor;14.2;5600
1;2016;2754;Mathews, Ryan;RB;phi;h;cle;13.7;5700
1;2016;2931;Sims, Charles;RB;tam;a;atl;13.1;4400
1;2016;2696;Foster, Arian;RB;mia;a;sea;13;5800
1;2016;5444;Elliott, Ezekiel;RB;dal;h;nyg;12.2;7300
1;2016;2721;Blount, LeGarrette;RB;nwe;a;ari;12;3700
1;2016;2915;Thompson, Chris;RB;was;h;pit;11.9;4000
1;2016;2467;Gore, Frank;RB;ind;h;det;11.8;5500
1;2016;2793;Ingram, Mark;RB;nor;h;oak;10.7;6600
1;2016;2875;Draughn, Shaun;RB;sfo;h;lar;10.6;3700
1;2016;2869;Cadet, Travaris;RB;nor;h;oak;10.5;3000
1;2016;2954;White, James;RB;nwe;a;ari;9.4;3600
1;2016;2898;Michael, Christine;RB;sea;h;mia;9.1;3700
1;2016;2830;Vereen, Shane;RB;nyg;a;dal;9.1;3800
1;2016;2928;Hill, Jeremy;RB;cin;a;nyj;9.1;4600
1;2016;2896;Lacy, Eddie;RB;gnb;a;jac;8.8;6700
1;2016;2658;Jennings, Rashad;RB;nyg;a;dal;8.8;5400
1;2016;5402;Rawls, Thomas;RB;sea;h;mia;8.8;6000
1;2016;5482;Janovich, Andy;RB;den;h;car;8.8;3000
1;2016;2642;Forsett, Justin;RB;bal;h;buf;8.6;4600
1;2016;2987;West, Charcandrick;RB;kan;h;sdg;8.3;3500
1;2016;2997;Johnson, Duke;RB;cle;a;phi;8;5100
1;2016;2930;Freeman, Devonta;RB;atl;h;tam;8;6900
1;2016;2819;Powell, Bilal;RB;nyj;h;cin;6.8;4300
1;2016;2612;Stewart, Jonathan;RB;car;a;den;6.4;5100
1;2016;5445;Henry, Derrick;RB;ten;h;min;6.4;4000
1;2016;2913;Olawale, Jamize;RB;oak;a;nor;6.2;3000
1;2016;5483;Washington, Dwayne;RB;det;a;ind;6.1;3000
1;2016;2929;West, Terrance;RB;bal;h;buf;5.8;4100
1;2016;2484;Sproles, Darren;RB;phi;h;cle;5.6;4200
1;2016;2992;Gurley, Todd;RB;lar;a;sfo;5.2;7800
1;2016;2889;Bernard, Giovani;RB;cin;a;nyj;5;4800
1;2016;2957;Williams, Damien;RB;mia;a;sea;4.8;3000
1;2016;5484;Ferguson, Josh;RB;ind;h;det;4.4;3500
1;2016;3552;Jones, Matt;RB;was;h;pit;4.3;4700
1;2016;2908;Juszczyk, Kyle;RB;bal;h;buf;4.3;3100
1;2016;2887;Barner, Kenjon;RB;phi;h;cle;4.2;3000
1;2016;2867;Turbin, Robert;RB;ind;h;det;3.9;3000
1;2016;2871;Morris, Alfred;RB;dal;h;nyg;3.5;3800
1;2016;5449;Washington, DeAndre;RB;oak;a;nor;3.4;3700
1;2016;2553;Peterson, Adrian;RB;min;a;ten;3.1;7600
1;2016;2820;Jones, Taiwan;RB;oak;a;nor;2.9;3000
1;2016;4663;Johnson, Malcolm;RB;cle;a;phi;2.9;3000
1;2016;2892;Ellington, Andre;RB;ari;h;nwe;2.8;4100
1;2016;2916;Whittaker, Fozzy;RB;car;a;den;2.7;3000
1;2016;2880;Dunbar, Lance;RB;dal;h;nyg;2.6;3000
1;2016;5441;Brown, Malcolm;RB;lar;a;sfo;2.3;3000
1;2016;2777;Starks, James;RB;gnb;a;jac;2.3;4800
1;2016;5448;Prosise, C.J.;RB;sea;h;mia;2.1;3900
1;2016;2604;Hightower, Tim;RB;nor;h;oak;2;4300
1;2016;2935;McKinnon, Jerick;RB;min;a;ten;1.9;4600
1;2016;2911;Cunningham, Benny;RB;lar;a;sfo;1.8;3700
1;2016;5470;Ervin, Tyler;RB;hou;h;chi;1.8;3000
1;2016;2805;DiMarco, Patrick;RB;atl;h;tam;1.8;3000
1;2016;2647;Tolbert, Mike;RB;car;a;den;1.7;3000
1;2016;2963;Bibbs, Kapri;RB;den;h;car;1.6;3000
1;2016;2873;Asiata, Matt;RB;min;a;ten;1.3;3300
1;2016;2901;Robinson, Denard;RB;jac;h;gnb;0.7;3100
1;2016;2990;Toussaint, Fitzgerald;RB;pit;a;was;0.6;3500
1;2016;2894;Gillislee, Mike;RB;buf;a;bal;0.6;3800
1;2016;2972;Carey, Ka'Deem;RB;chi;a;hou;0.4;3500
1;2016;2549;Kuhn, John;RB;nor;h;oak;0.4;0
1;2016;2874;Bolden, Brandon;RB;nwe;a;ari;0.4;3000
1;2016;2960;Blue, Alfred;RB;hou;h;chi;0.4;3600
1;2016;5492;Smith, Keith;RB;dal;h;nyg;0.3;0
1;2016;2645;Johnson, Chris;RB;ari;h;nwe;0.2;3700
1;2016;2980;Prosch, Jay;RB;hou;h;chi;0.2;3000
1;2016;5473;Smallwood, Wendell;RB;phi;h;cle;0.1;3000
1;2016;5320;Davis, Mike;RB;sfo;h;lar;0.1;3000
1;2016;2825;Develin, James;RB;nwe;a;ari;0;3000
1;2016;5415;Burton, Michael;RB;det;a;ind;0;3000
1;2016;2890;Burkhead, Rex;RB;cin;a;nyj;0;3000
1;2016;2912;Line, Zach;RB;min;a;ten;0;3000
1;2016;2976;Darkwa, Orleans;RB;nyg;a;dal;0;3000
1;2016;2864;Richardson, Daryl;RB;pit;a;was;0;3000
1;2016;5405;Grant, Corey;RB;jac;h;gnb;0;3000
1;2016;2840;Todman, Jordan;RB;ind;h;det;0;3000
1;2016;5396;Murphy, Marcus;RB;nor;h;oak;0;3000
1;2016;2919;Reynolds, Chase;RB;lar;a;sfo;0;3000
1;2016;2940;Andrews, Antonio;RB;ten;h;min;0;3000
1;2016;2822;Sherman, Anthony;RB;kan;h;sdg;0;3000
1;2016;2863;Rainey, Bobby;RB;nyg;a;dal;0;3000
1;2016;5446;Drake, Kenyan;RB;mia;a;sea;0;3000
1;2016;3191;Smith, Rod;RB;dal;h;nyg;0;3000
1;2016;5413;Fowler, Jalston;RB;ten;h;min;0;3000
1;2016;2891;Davis, Knile;RB;kan;h;sdg;0;3100
1;2016;2881;Grimes, Jonathan;RB;hou;h;chi;0;3000
1;2016;5406;Ripkowski, Aaron;RB;gnb;a;jac;0;3000
1;2016;5468;Booker, Devontae;RB;den;h;car;-0.2;3300
1;2016;2495;Bush, Reggie;RB;buf;a;bal;-0.4;3500
1;2016;5091;Green, A.J.;WR;cin;a;nyj;39;8400
1;2016;5255;Cooks, Brandin;WR;nor;h;oak;36.4;7700
1;2016;3474;Brown, Antonio;WR;pit;a;was;35.6;9800
1;2016;5287;Snead, Willie;WR;nor;h;oak;35.2;4800
1;2016;3501;Fitzgerald, Larry;WR;ari;h;nwe;28.1;6300
1;2016;5254;Matthews, Jordan;WR;phi;h;cle;27.4;6700
1;2016;5376;Cooper, Amari;WR;oak;a;nor;24.7;7200
1;2016;5454;Fuller, Will;WR;hou;h;chi;24.7;3700
1;2016;5136;Baldwin, Doug;WR;sea;h;mia;24.2;6600
1;2016;5257;Benjamin, Kelvin;WR;car;a;den;21.1;5700
1;2016;5159;Sanu, Mohamed;WR;atl;h;tam;21;5100
1;2016;5253;Evans, Mike;WR;tam;a;atl;20.9;7400
1;2016;5424;Diggs, Stefon;WR;min;a;ten;20.2;4800
1;2016;3770;Jackson, DeSean;WR;was;h;pit;19.2;6100
1;2016;3809;Wallace, Mike;WR;bal;h;buf;19.2;4200
1;2016;5344;Moncrief, Donte;WR;ind;h;det;18.4;6000
1;2016;5420;Enunwa, Quincy;WR;nyj;h;cin;18.4;3800
1;2016;5478;Rogers, Eli;WR;pit;a;was;17.9;4200
1;2016;3872;Crabtree, Michael;WR;oak;a;nor;17.7;5500
1;2016;5153;Jeffery, Alshon;WR;chi;a;hou;17.5;7900
1;2016;3830;Maclin, Jeremy;WR;kan;h;sdg;17.2;6500
1;2016;5089;Jones, Julio;WR;atl;h;tam;16.6;9400
1;2016;5206;Hopkins, DeAndre;WR;hou;h;chi;16.4;8800
1;2016;3748;Royal, Eddie;WR;chi;a;hou;15.7;3200
1;2016;5378;Agholor, Nelson;WR;phi;h;cle;15.7;3500
1;2016;3826;Edelman, Julian;WR;nwe;a;ari;15.2;6100
1;2016;3751;Nelson, Jordy;WR;gnb;a;jac;15.2;7700
1;2016;5167;Hogan, Chris;WR;nwe;a;ari;15;3600
1;2016;5461;Sharpe, Tajae;WR;ten;h;min;14.6;3000
1;2016;5163;Beasley, Cole;WR;dal;h;nyg;14.5;3200
1;2016;5263;Adams, Davante;WR;gnb;a;jac;14;4300
1;2016;5151;Hilton, T.Y.;WR;ind;h;det;13.9;7500
1;2016;5384;Dorsett, Phillip;WR;ind;h;det;13.4;4500
1;2016;3900;Cruz, Victor;WR;nyg;a;dal;13.4;4000
1;2016;5456;Shepard, Sterling;WR;nyg;a;dal;13.3;4900
1;2016;5258;Robinson, Allen;WR;jac;h;gnb;13.2;8300
1;2016;3946;LaFell, Brandon;WR;cin;a;nyj;13.1;3900
1;2016;5111;Kerley, Jeremy;WR;sfo;h;lar;13.1;3000
1;2016;5335;Landry, Jarvis;WR;mia;a;sea;12.9;6000
1;2016;5125;Cobb, Randall;WR;gnb;a;jac;12.8;7600
1;2016;5168;Jones, Marvin;WR;det;a;ind;12.5;4600
1;2016;5198;Allen, Keenan;WR;sdg;a;kan;12.3;8000
1;2016;5459;Thomas, Michael;WR;nor;h;oak;11.8;4000
1;2016;5410;Crowder, Jamison;WR;was;h;pit;11.8;3800
1;2016;3902;Decker, Eric;WR;nyj;h;cin;11.7;6600
1;2016;5341;Hurns, Allen;WR;jac;h;gnb;11.5;5800
1;2016;3995;Tate, Golden;WR;det;a;ind;11.3;7300
1;2016;5323;Beckham Jr., Odell;WR;nyg;a;dal;11.3;9300
1;2016;3754;Garcon, Pierre;WR;was;h;pit;11.1;4400
1;2016;5209;Patton, Quinton;WR;sfo;h;lar;11;4000
1;2016;3824;Britt, Kenny;WR;lar;a;sfo;10.7;3900
1;2016;5186;Kearse, Jermaine;WR;sea;h;mia;10.7;3500
1;2016;5173;Benjamin, Travis;WR;sdg;a;kan;10.2;4100
1;2016;5408;Roberts, Seth;WR;oak;a;nor;9.9;3800
1;2016;3983;Sanders, Emmanuel;WR;den;h;car;9.9;5700
1;2016;1407;Pryor, Terrelle;WR;cle;a;phi;9.8;3000
1;2016;5333;Thielen, Adam;WR;min;a;ten;9.4;3000
1;2016;5432;Williams, Tyrell;WR;sdg;a;kan;9.1;3000
