,player,salary,team,position,opp,ceiling,floor,proj_points
0,Los Angeles Rams,2400,LAR,DST,CAR,,,8.02
1,Tennessee Titans,2600,TEN,DST,SDC,,,6.78
2,Carolina Panthers,3400,CAR,DST,LAR,,,8.72
3,San Francisco 49ers,2100,SFO,DST,NOS,,,4.28
4,New Orleans Saints,2300,NOS,DST,SFO,,,5.4
5,San Diego Chargers,3000,SDC,DST,TEN,,,8.56
6,Indianapolis Colts,2100,IND,DST,GBP,,,5.43
7,Buffalo Bills,2800,BUF,DST,SEA,,,7.8
8,Seattle Seahawks,3900,SEA,DST,BUF,,,10.98
9,Oakland Raiders,2700,OAK,DST,DEN,,,6.16
10,Denver Broncos,3700,DEN,DST,OAK,,,9.76
11,Green Bay Packers,2700,GBP,DST,IND,,,8.12
12,Baltimore Ravens,3300,BAL,DST,PIT,,,7.38
13,Pittsburgh Steelers,2900,PIT,DST,BAL,,,6.27
14,Cleveland Browns,2200,CLE,DST,DAL,,,5.55
15,New York Jets,2800,NYJ,DST,MIA,,,6.52
16,Dallas Cowboys,3400,DAL,DST,CLE,,,7.56
17,Tampa Bay Buccaneers,2500,TBB,DST,ATL,,,5.23
18,Atlanta Falcons,2700,ATL,DST,TBB,,,7.76
19,Miami Dolphins,3100,MIA,DST,NYJ,,,9
20,Philadelphia Eagles,3100,PHI,DST,NYG,,,9.69
21,Detroit Lions,2500,DET,DST,MIN,,,6.48
22,Minnesota Vikings,4000,MIN,DST,DET,,,13.06
23,Kansas City Chiefs,3500,KCC,DST,JAC,,,10.08
24,Jacksonville Jaguars,2300,JAC,DST,KCC,,,4.74
25,New York Giants,3200,NYG,DST,PHI,,,6.3
26,player,salary,team,pos,opp,ceil,floor,fpts
