,player,salary,team,position,opp,ceiling,floor,proj_points
0,San Diego Chargers,2900,SDC,DST,MIA,,,9.28
1,San Francisco 49ers,2100,SFO,DST,ARI,,,4.28
2,Miami Dolphins,2400,MIA,DST,SDC,,,7.12
3,Tennessee Titans,2400,TEN,DST,GBP,,,6.52
4,Washington Redskins,3000,WAS,DST,MIN,,,7.25
5,Green Bay Packers,3000,GBP,DST,TEN,,,7
6,Arizona Cardinals,3700,ARI,DST,SFO,,,12.16
7,Dallas Cowboys,2700,DAL,DST,PIT,,,5.43
8,Cincinnati Bengals,2900,CIN,DST,NYG,,,7.94
9,New York Giants,2900,NYG,DST,CIN,,,6.3
10,New England Patriots,3300,NEP,DST,SEA,,,6.78
11,Seattle Seahawks,3000,SEA,DST,NEP,,,7.99
12,Pittsburgh Steelers,2600,PIT,DST,DAL,,,5.55
13,Minnesota Vikings,3600,MIN,DST,WAS,,,11.48
14,Tampa Bay Buccaneers,2700,TBB,DST,CHI,,,5.54
15,Denver Broncos,3100,DEN,DST,NOS,,,8.66
16,New Orleans Saints,2200,NOS,DST,DEN,,,4.4
17,Philadelphia Eagles,2600,PHI,DST,ATL,,,9.04
18,Atlanta Falcons,2600,ATL,DST,PHI,,,6.24
19,Cleveland Browns,2400,CLE,DST,BAL,,,5.23
20,Baltimore Ravens,3700,BAL,DST,CLE,,,10.58
21,Houston Texans,3800,HOU,DST,JAC,,,8.42
22,Jacksonville Jaguars,2300,JAC,DST,HOU,,,5.74
23,Carolina Panthers,3200,CAR,DST,KCC,,,8.89
24,Chicago Bears,2500,CHI,DST,TBB,,,5.39
25,Kansas City Chiefs,3500,KCC,DST,CAR,,,7.54
26,New York Jets,2800,NYJ,DST,LAR,,,8.16
27,Los Angeles Rams,2900,LAR,DST,NYJ,,,8.78
28,player,salary,team,pos,opp,ceil,floor,fpts
