,player,salary,team,position,opp,ceiling,floor,proj_points
0,Jakeem Grant,3000,MIA,WR,SDC,3.2,0,1.6
1,Travis Benjamin,5100,SDC,WR,MIA,19.3844,3.1556,11.27
2,Kenny Stills,3700,MIA,WR,SDC,14.96,2.04,8.5
3,DeVante Parker,4300,MIA,WR,SDC,14.5624,2.8776,8.72
4,Harry Douglas,3000,TEN,WR,GBP,4.5582,1.8618,3.21
5,Jarvis Landry,7200,MIA,WR,SDC,22.168,10.432,16.3
6,Dontrelle Inman,3400,SDC,WR,MIA,15.0213,3.6387,9.33
7,Tyrell Williams,5700,SDC,WR,MIA,23.3772,5.6628,14.52
8,Jeremy Kerley,3700,SFO,WR,ARI,12.4179,3.2021,7.81
9,Rod Streater,3000,SFO,WR,ARI,5.2,0,2.6
10,Quinton Patton,3000,SFO,WR,ARI,12.4684,4.6116,8.54
11,Torrey Smith,3800,SFO,WR,ARI,12.702,1.898,7.3
12,Griff Whalen,3000,SDC,WR,MIA,3.22,0,1.61
13,Kendall Wright,4100,TEN,WR,GBP,13.8996,3.9204,8.91
14,Tajae Sharpe,3000,TEN,WR,GBP,12.617,3.663,8.14
15,DeSean Jackson,4800,WAS,WR,MIN,19.873,3.927,11.9
16,Pierre Garcon,3600,WAS,WR,MIN,14.4354,5.2046,9.82
17,Cordarrelle Patterson,3400,MIN,WR,WAS,17.2855,1.8145,9.55
18,Charles Johnson,3000,MIN,WR,WAS,5.4868,0.8932,3.19
19,Adam Thielen,3800,MIN,WR,WAS,15.8598,3.7202,9.79
20,Jamison Crowder,5000,WAS,WR,MIN,16.3594,4.4806,10.42
21,Ty Montgomery,6500,GBP,WR,TEN,22.7795,8.6405,15.71
22,Jordy Nelson,7500,GBP,WR,TEN,30.9504,8.7296,19.84
23,Rishard Matthews,4200,TEN,WR,GBP,17.8398,4.6002,11.22
24,Jeff Janis,3100,GBP,WR,TEN,9.28,0,4.64
25,Randall Cobb,6400,GBP,WR,TEN,23.2713,7.1487,15.21
26,Davante Adams,6300,GBP,WR,TEN,27.1624,8.5776,17.87
27,Larry Fitzgerald,7600,ARI,WR,SFO,26.6832,10.3768,18.53
28,Michael Floyd,3800,ARI,WR,SFO,5.324,3.476,4.4
29,Malcolm Mitchell,3000,NEP,WR,SEA,3.3696,1.3104,2.34
30,A.J. Green,8500,CIN,WR,NYG,31.6365,16.6635,24.15
31,Chris Hogan,4500,NEP,WR,SEA,13.1276,4.6124,8.87
32,Danny Amendola,3200,NEP,WR,SEA,8.7945,1.8655,5.33
33,Julian Edelman,6000,NEP,WR,SEA,17.9928,10.5672,14.28
34,Brandon LaFell,4000,CIN,WR,NYG,12.7305,6.1295,9.43
35,Tyler Boyd,3000,CIN,WR,NYG,8.2611,3.7989,6.03
36,Victor Cruz,3800,NYG,WR,CIN,10.8996,6.6804,8.79
37,Dwayne Harris,3000,NYG,WR,CIN,2.74,0,1.37
38,Sterling Shepard,4500,NYG,WR,CIN,15.867,8.733,12.3
39,Odell Beckham,8800,NYG,WR,CIN,30.045,10.015,20.03
40,James Wright,3000,CIN,WR,NYG,2.9,0,1.45
41,Paul Richardson,3000,SEA,WR,NEP,6.2972,0.6228,3.46
42,Tyler Lockett,3600,SEA,WR,NEP,13.559,1.341,7.45
43,Terrance Williams,3600,DAL,WR,PIT,15.197,3.003,9.1
44,Cole Beasley,5400,DAL,WR,PIT,16.2864,6.3336,11.31
45,Dez Bryant,7000,DAL,WR,PIT,23.8992,6.7408,15.32
46,J.J. Nelson,4200,ARI,WR,SFO,13.7625,8.2575,11.01
47,John Brown,4900,ARI,WR,SFO,17.864,7.656,12.76
48,Brice Butler,3500,DAL,WR,PIT,4.312,1.288,2.8
49,Antonio Brown,8900,PIT,WR,DAL,26.8741,17.5459,22.21
50,Doug Baldwin,5800,SEA,WR,NEP,23.9294,8.8506,16.39
51,Jermaine Kearse,3000,SEA,WR,NEP,13.685,2.415,8.05
52,Eli Rogers,3500,PIT,WR,DAL,10.2065,4.6935,7.45
53,Sammie Coates,4000,PIT,WR,DAL,18.778,4.122,11.45
54,Markus Wheaton,3000,PIT,WR,DAL,9.0958,3.3642,6.23
55,Stefon Diggs,6200,MIN,WR,WAS,25.5794,8.3006,16.94
56,Cecil Shorts,3000,TBB,WR,CHI,6.4296,0.4104,3.42
57,Emmanuel Sanders,6800,DEN,WR,NOS,24.3984,10.9616,17.68
58,Bennie Fowler,3000,DEN,WR,NOS,4.4361,1.1439,2.79
59,Demaryius Thomas,6700,DEN,WR,NOS,27.0246,9.9954,18.51
60,Dorial Green-Beckham,3000,PHI,WR,ATL,13.5548,0.8652,7.21
61,Nelson Agholor,3100,PHI,WR,ATL,13.056,2.304,7.68
62,Jordan Norwood,3000,DEN,WR,NOS,9.2852,1.8348,5.56
63,Brandin Cooks,7000,NOS,WR,DEN,23.0182,9.4018,16.21
64,DeAndre Hopkins,7100,HOU,WR,JAC,24.5315,5.5685,15.05
65,Will Fuller,5500,HOU,WR,JAC,18.7136,3.0464,10.88
66,Brandon Coleman,3000,NOS,WR,DEN,8.1954,2.2446,5.22
67,Michael Thomas,6100,NOS,WR,DEN,23.068,8.532,15.8
68,Willie Snead,5300,NOS,WR,DEN,22.6733,5.1467,13.91
69,Jordan Matthews,5900,PHI,WR,ATL,20.0392,7.0408,13.54
70,Aldrick Robinson,3000,ATL,WR,PHI,4.5504,0.1896,2.37
71,Rashard Higgins,3000,CLE,WR,BAL,2.3244,0.6556,1.49
72,Mike Wallace,6200,BAL,WR,CLE,22.736,8.624,15.68
73,Ricardo Louis,3000,CLE,WR,BAL,8.2436,2.8964,5.57
74,Andrew Hawkins,3200,CLE,WR,BAL,9.3783,5.1617,7.27
75,Terrelle Pryor,6100,CLE,WR,BAL,22.7374,7.7826,15.26
76,Kamar Aiken,3900,BAL,WR,CLE,5.8756,2.0644,3.97
77,Breshad Perriman,3600,BAL,WR,CLE,10.614,4.026,7.32
78,Mohamed Sanu,4600,ATL,WR,PHI,18.865,5.635,12.25
79,Justin Hardy,3000,ATL,WR,PHI,5.593,0.987,3.29
80,Julio Jones,9500,ATL,WR,PHI,35.3457,9.1143,22.23
81,Steve Smith,5500,BAL,WR,CLE,19.1247,6.8953,13.01
82,Corey Coleman,5100,CLE,WR,BAL,19.6668,4.6132,12.14
83,Braxton Miller,3000,HOU,WR,JAC,9.7686,2.2914,6.03
84,Allen Robinson,7000,JAC,WR,HOU,23.4396,7.2004,15.32
85,Devin Funchess,3200,CAR,WR,KCC,9.1266,2.3534,5.74
86,Philly Brown,3000,CAR,WR,KCC,8.8208,3.0992,5.96
87,Ted Ginn,3700,CAR,WR,KCC,12.1986,2.8614,7.53
88,Kelvin Benjamin,6800,CAR,WR,KCC,21.9232,10.3168,16.12
89,Tyreek Hill,3800,KCC,WR,CAR,10.5754,6.9046,8.74
90,Alshon Jeffery,6600,CHI,WR,TBB,22.1112,7.7688,14.94
91,Eddie Royal,3700,CHI,WR,TBB,14.645,5.555,10.1
92,Adam Humphries,3700,TBB,WR,CHI,13.2132,3.7268,8.47
93,Freddie Martino,3000,TBB,WR,CHI,7.8991,1.5609,4.73
94,Mike Evans,9000,TBB,WR,CHI,32.6592,12.7008,22.68
95,Josh Bellamy,3000,CHI,WR,TBB,3.72,0,1.86
96,Cameron Meredith,4400,CHI,WR,TBB,15.5974,1.5426,8.57
