,player,salary,team,position,opp,ceiling,floor,proj_points
0,Ed Dickson,2500,CAR,TE,LAR,4.47,1.49,2.98
1,Lance Kendricks,2900,LAR,TE,CAR,10.8712,6.2488,8.56
2,Delanie Walker,4600,TEN,TE,SDC,18.6184,8.7616,13.69
3,Anthony Fasano,2500,TEN,TE,SDC,3.535,0.505,2.02
4,Greg Olsen,6200,CAR,TE,LAR,20.3966,13.8834,17.14
5,Garrett Celek,2500,SFO,TE,NOS,5.8487,2.3313,4.09
6,Crockett Gillmore,2500,BAL,TE,PIT,7.4844,2.2356,4.86
7,Ladarius Green,2500,PIT,TE,BAL,11.5182,3.0618,7.29
8,Coby Fleener,3400,NOS,TE,SFO,16.4736,4.6464,10.56
9,Vance McDonald,2600,SFO,TE,NOS,9.4031,4.7369,7.07
10,Antonio Gates,3000,SDC,TE,TEN,16.4993,7.2407,11.87
11,Hunter Henry,3300,SDC,TE,TEN,8.58,2.42,5.5
12,Mychal Rivera,2500,OAK,TE,DEN,,,2.98
13,Charles Clay,2700,BUF,TE,SEA,9.4392,4.2408,6.84
14,Nick O'Leary,2500,BUF,TE,SEA,3.285,1.215,2.25
15,Jimmy Graham,5700,SEA,TE,BUF,17.9732,9.4668,13.72
16,Clive Walford,2500,OAK,TE,DEN,10.2008,2.2392,6.22
17,Jeff Heuerman,2500,DEN,TE,OAK,3.8896,1.8304,2.86
18,Jack Doyle,3600,IND,TE,GBP,14.8591,6.5209,10.69
19,Erik Swoope,2500,IND,TE,GBP,4.8372,2.1228,3.48
20,Richard Rodgers,2700,GBP,TE,IND,7.202,3.878,5.54
21,Virgil Green,2600,DEN,TE,OAK,8.8399,7.3801,8.11
22,Dennis Pitta,3800,BAL,TE,PIT,15.4154,10.0646,12.74
23,Jesse James,2800,PIT,TE,BAL,9.9218,4.9982,7.46
24,Gary Barnidge,3900,CLE,TE,DAL,14.5176,6.5224,10.52
25,Kellen Davis,2500,NYJ,TE,MIA,2.74,0,1.37
26,Brandon Bostick,2500,NYJ,TE,MIA,4.24,0,2.12
27,MarQueis Gray,2500,MIA,TE,NYJ,12.5154,3.8446,8.18
28,Geoff Swaim,2500,DAL,TE,CLE,3.066,1.134,2.1
29,Jason Witten,3700,DAL,TE,CLE,11.5373,8.8827,10.21
30,Levine Toilolo,2500,ATL,TE,TBB,4.3776,0.1824,2.28
31,Austin Hooper,2500,ATL,TE,TBB,12.6684,5.6916,9.18
32,Cameron Brate,3300,TBB,TE,ATL,16.206,5.994,11.1
33,Luke Stocker,2500,TBB,TE,ATL,3.86,0,1.93
34,Zach Ertz,3500,PHI,TE,NYG,10.348,5.572,7.96
35,Trey Burton,2500,PHI,TE,NYG,7.6588,1.6812,4.67
36,Demetrius Harris,2500,KCC,TE,JAC,2.6703,1.4697,2.07
37,Eric Ebron,3100,DET,TE,MIN,14.948,5.252,10.1
38,Kyle Rudolph,4000,MIN,TE,DET,18.0297,12.7903,15.41
39,Rhett Ellison,2500,MIN,TE,DET,3.44,0,1.72
40,Travis Kelce,5300,KCC,TE,JAC,18.5184,7.2016,12.86
41,Marcedes Lewis,2500,JAC,TE,KCC,6.1632,2.3968,4.28
42,Larry Donnell,2600,NYG,TE,PHI,8.4132,1.8468,5.13
43,Will Tye,2500,NYG,TE,PHI,6.9496,2.5704,4.76
44,Julius Thomas,3200,JAC,TE,KCC,15.151,6.649,10.9
45,player,salary,team,pos,opp,ceil,floor,fpts
